//称号ID	称号名	增加血量	增加攻击	增加防御	消耗荣耀点	消耗荣耀勋章数	荣耀勋章道具ID	ICON编号	描述	称号类型	称号背景图
41	富贵逼人	6914	1152	1152	18000000	100	190668	190668	运气也是实力的一部分，难道我是福星转世	2	ch02
42	没有不可能	7642	1274	1274	19000000	100	190669	190669	实力；运气；我不知道，我只知道没有我不能完成的事	2	ch02
43	中国好人	8406	1401	1401	20000000	100	190670	190670	人人为我，我为人人	2	ch02
44	为爱走天涯	9206	1534	1534	21000000	100	190671	190671	爱美人不爱江山，没有了爱，人生已经没有颜色	2	ch02
45	吸血鬼猎人	36	6	6	0	0	190655	190655	就吸血鬼吗，狼人，恶魔不来几只吗	1	ch03
46	猎魔人皇	109	18	18	1000000	0	190655	190655	兼职抓捕一切恶魔生物	1	ch03
47	暗夜之王	218	36	36	2000000	0	190655	190655	暗夜之中，无人挡我	1	ch03
48	黑暗主宰	364	61	61	3000000	0	190655	190655	黑暗的世界，我说了算	1	ch03
49	永恒神王	546	91	91	4000000	0	190655	190655	永恒不死，真的好吗	1	ch03
50	叫我土豪哥	764	127	127	5000000	100	190655	190655	土豪哥的真谛，足以彰显出任何土豪的光彩	1	ch01
51	高大上	1019	170	170	6000000	100	190656	190656	高端大气上档次，低调奢华内涵	1	ch01
52	宅男女神	1310	218	218	7000000	100	190657	190657	宅男心中最高贵的女神才是游戏中最靓丽的风景线	1	ch01
53	姐只爱帅哥	1638	273	273	8000000	100	190658	190658	土鳖犀利哥神马的不高过来，姐只爱帅哥	1	ch01
54	熊孩子	2001	334	334	9000000	100	190659	190659	可恨又可爱的熊孩子	1	ch01
55	暮光之城	2402	400	400	10000000	100	190660	190660	属于我的暮光之城，千秋万载不可改变	1	ch01
56	专注打酱油	2838	473	473	11000000	100	190661	190661	你们冲我先撤，我的专业，我的酱油	1	ch01
57	马到成功	3311	552	552	12000000	100	190662	190662	一马当先，马到成功，马年大吉	1	ch01
58	浪漫情人	3821	637	637	13000000	100	190663	190663	祝天下有情人终成眷属	1	ch01
59	单身情歌	4367	728	728	14000000	100	190664	190664	一时的孤单不代表一辈子的孤单，我在这里等待你的回来	1	ch01
60	爸爸去哪里	4949	825	825	15000000	100	190665	190665	爸比，你宽厚的肩膀是我永远的港湾，我爱你爸比	1	ch01
61	挥金如土	5568	928	928	16000000	100	190666	190666	金钱只是我的点缀，个性才是最大的财富	1	ch01
62	纸醉金迷	6223	1037	1037	17000000	100	190667	190667	什么样的生活才是我要的生活，你们永远不懂哥	1	ch01
63	富贵逼人	6914	1152	1152	18000000	100	190668	190668	运气也是实力的一部分，难道我是福星转世	1	ch02
64	没有不可能	7642	1274	1274	19000000	100	190669	190669	实力；运气；我不知道，我只知道没有我不能完成的事	1	ch02
65	中国好人	8406	1401	1401	20000000	100	190670	190670	人人为我，我为人人	1	ch02
66	为爱走天涯	9206	1534	1534	21000000	100	190671	190671	爱美人不爱江山，没有了爱，人生已经没有颜色	1	ch02
