//荣耀ID	荣耀名	荣耀类型	奖励游戏币	奖励金币	奖励荣耀	等级	连续登陆次数	在线时间	通关次数	杀怪数	游戏币数	元宝数	装备数	强化等级	升阶等级	升星等级	刻印等级	攻击力	变身数量	信仰技能数	背包数	完成荣耀数	条件索引	条件说明
46	亿万富豪	0	200000	0	122500	0	0	0	0	0	200000000	0	0	0	0	0	0	0	0	0	0	0	6	拥有游戏币200000000
47	大手大脚	0	150000	0	42000	0	0	0	0	0		1000	0	0	0	0	0	0	0	0	0	0	6	拥有金币1000
48	铺张浪费	0	250000	0	56000	0	0	0	0	0	0	10000	0	0	0	0	0	0	0	0	0	0	6	拥有金币10000
49	千金散尽	0	350000	0	84000	0	0	0	0	0	0	50000	0	0	0	0	0	0	0	0	0	0	6	拥有金币50000
50	挥霍无度	0	450000	0	98000	0	0	0	0	0	0	100000	0	0	0	0	0	0	0	0	0	0	6	拥有金币100000
51	挥金如土	0	550000	0	126000	0	0	0	0	0	0	500000	0	0	0	0	0	0	0	0	0	0	6	拥有金币500000
52	精打细算	0	650000	0	168000	0	0	0	0	0	0	1000000	0	0	0	0	0	0	0	0	0	0	6	拥有金币1000000
53	高富帅	0	750000	0	196000	0	0	0	0	0	0	5000000	0	0	0	0	0	0	0	0	0	0	6	拥有金币5000000
54	大土豪	0	850000	0	280000	0	0	0	0	0	0	10000000	0	0	0	0	0	0	0	0	0	0	6	拥有金币10000000
55	财神爷	0	950000	0	350000	0	0	0	0	0	0	50000000	0	0	0	0	0	0	0	0	0	0	6	拥有金币50000000
56	流浪者	0	50000	0	12600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	10	拥有20个包裹格数
57	编织口袋	0	80000	0	16800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	10	拥有30个包裹格数
58	环保袋	0	110000	0	25200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	10	拥有40个包裹格数
59	快递员	0	140000	0	29400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	10	拥有50个包裹格数
60	包裹达人	0	170000	0	37800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	10	拥有60个包裹格数
61	有分量的人	0	200000	0	50400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	10	拥有72个包裹格数
62	兢兢业业	0	30000	42	14700	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	11	完成10个荣耀
63	勤勤恳恳	0	50000	56	19600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	完成20个荣耀
64	爱岗敬业	0	80000	84	29400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	11	完成30个荣耀
65	埋头苦干	0	100000	98	34300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	11	完成40个荣耀
66	成就达人	0	120000	126	44100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	11	完成50个荣耀
67	成就收集家	0	140000	168	58800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	11	完成60个荣耀
68	功成名就	0	160000	196	68600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	70	11	完成70个荣耀
69	成就学家	0	180000	280	98000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	11	完成74个荣耀
