习得等级预计		编号	门派	名称	音效文件名	技能特效	受伤技能特效	缩放	高度	准备动作编号	动作编号	动作播放时间	对应武器	武功类型	触发方式	目标对象	中断概率	中断伤害倍数	攻击距离	攻击范围类型	消耗生命基数	消耗生命系数	消耗内力基数	消耗内力系数	消耗真气基数	消耗真气系数	出招时间	公共武功冷却时间	公共药品冷却时间	自身冷却时间	命中率	基础力道基数	基础力道系数	参数1（精通力道基数）	参数2（精通力道系数）	参数3（内功与外功的区别计算参数）	参数4（内功与外功的区别计算参数）	破防值基数	破防值系数	破防出现概率	生命伤害类型	内力伤害类型	真气伤害类型	熟练度基数	熟练度系数	buff编号1	buff触发几率1	buff编号2	buff触发几率2	技能说明
45	群攻型(内)	31	0	般若禅掌	1.wav	八卦剑法	0	1	0	0	63	1500	2	1	0	7	0	0	4	4	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
50	群攻型(内)	32	0	大摔碑手	0.wav	八卦剑法	0	1	0	0	64	1500	2	1	0	7	0	0	4	5	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
55	群攻型(内)	33	0	波罗密手	1.wav	八卦剑法	0	1	0	0	65	1500	2	1	0	7	0	0	4	6	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
60	群攻型(内)	34	0	千叶如来手	0.wav	八卦剑法	0	1	0	0	66	1500	2	1	0	7	0	0	4	7	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
65	群攻型(内)	35	0	补天劫手	1.wav	八卦剑法	0	1	0	0	67	1500	2	1	0	7	0	0	4	8	0	0	42	500	0	0	0	1500	0	4000	10000	5	3500	4000	40	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
1	控制型	36	0	点穴截脉	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	13147	24502500	16	100	0	0	附加BUFF使目标对象不能执行所有操作
1	控制型	37	0	四封四闭	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	13147	24502500	17	100	0	0	目标对象不能攻击
1	控制型	38	0	反转乾坤	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	15840	24502500	29	100	0	0	附加BUFF使目标外功基础和内功基础数值互换
1	控制型	39	0	反转阴阳	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	15840	24502500	30	100	0	0	附加BUFF使目标外防基础和内防基础数值互换
1	控制型	40	0	悬丝引气	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	18	100	0	0	附加BUFF使目标真气值按比例减少
1	控制型	41	0	空手白刃	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	19	100	0	0	附加BUFF使目标对象武器失效
1	控制型	42	0	脱袍卸甲	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	20	100	0	0	附加BUFF使目标对象防具失效
1	控制型	43	0	狮子吼	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	158400	24502500	14	100	0	0	附加BUFF使目标对象往后退三格，如有阻挡则失效
1	控制型	44	0	凌空渡虚	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	158400	24502500	15	100	0	0	瞬移至目标对象自身朝向的旁边
1	控制型	45	0	涡旋劲	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	79200	24502500	21	100	0	0	附加BUFF使目标对象迟缓
1	控制型	46	0	幻魔相	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	39600	24502500	24	100	0	0	附加BUFF使目标对象的身法下降，命中率降低
1	控制型	47	0	移山压顶	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	26	100	0	0	附加BUFF使目标对象不能移动跳跃，但可使用武功
1	控制型	48	0	千斤坠	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	1000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	79200	24502500	23	100	0	0	附加BUFF使目标对象不能跳跃
1	辅助型	49	0	斩铁劲	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	-1	0	0	0	0	10	0	0	1500	0	1000	10000	0	0	0	0	0	0	0	0	0	1	0	0	158400	24502500	27	100	0	0	附加自身外功基础增加
1	辅助型	50	0	岩打劲	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	-1	0	0	0	0	10	0	0	1500	0	1000	10000	0	0	0	0	0	0	0	0	0	1	0	0	158400	24502500	28	100	0	0	附加自身内功基础增加
1	辅助型	51	0	回春术	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	-1	0	0	0	0	10	0	0	1500	0	1000	10000	0	0	0	0	0	0	0	0	0	1	0	0	7920	24502500	2	100	0	0	附加自身徐徐恢复生命
1	辅助型	52	0	回天术	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	-1	0	0	0	0	10	0	0	1500	0	1000	10000	0	0	0	0	0	0	0	0	0	1	0	0	7920	24502500	8	100	0	0	自身一次性恢复生命
1	普通攻击	53	1	峨眉基本攻击	0.wav	峨眉/普通攻击	0	1	0	0	50	1300	-1	2	0	6	0	0	180	0	0	0	0	0	0	0	0	0	0	0	10000	5	4500	1250	12	10000	0	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
5	伤害输出型(外)	54	1	顺刺	1.wav	峨眉/顺刺	0	1	0	0	53	1067	5	0	0	6	0	0	180	0	0	0	6	0	0	0	0	1500	0	0	10000	5	4500	2000	20	10000	0	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
15	伤害输出型(外)	55	1	逆刺	0.wav	八卦剑法	0	1	0	0	54	3330	5	0	0	6	0	0	180	0	0	0	12	500	0	0	0	1500	0	5000	10000	5	4500	3000	30	10000	0	2	0	0	1	0	0	518400	24502500	0	0	0	0	0
25	伤害输出型(外)	56	1	叠刺	1.wav	八卦剑法	0	1	0	0	55	1500	5	0	0	6	0	0		0	0	0	18	500	0	0	0	1500	0	7500	10000	5	4500	4000	40	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
10	伤害输出型(外)	57	1	刺.透骨	0.wav	八卦剑法	0	1	0	0	51	1500	5	0	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	5000	10000	5	5000	4000	40	10000	0	0	0	0	1	0	0	518400	24502500	0	0	0	0	0
15	伤害输出型(外)	58	1	刺.寸芒	1.wav	八卦剑法	0	1	0	0	52	1500	5	0	0	6	0	0	4	0	0	0	24	500	0	0	0	1500	0	7500	10000	5	5000	6000	60	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
20	伤害输出型(外)	59	1	挑霜刺	1.wav	峨眉/挑霜刺	0	1	0	0	56	1800	5	0	0	6	0	0	4	0	0	0	10	500	0	0	0	1500	0	0	10000	5	4000	2000	20	10000	0	0	0	0	1	0	0	2304000	24502500	0	0	0	0	0
25	伤害输出型(外)	60	1	分水刺	0.wav	八卦剑法	0	1	0	0	57	1500	5	0	0	6	0	0	4	0	0	0	16	500	0	0	0	1500	0	5000	10000	5	4000	3000	30	10000	0	2	0	0	1	0	0	691200	24502500	0	0	0	0	0
30	伤害输出型(外)	61	1	穿云刺	1.wav	八卦剑法	0	1	0	0	58	1500	5	0	0	6	0	0	4	0	0	0	20	500	0	0	0	1500	0	7500	10000	5	4000	4000	40	10000	0	0	0	0	1	0	0	460800	24502500	0	0	0	0	0
35	伤害输出型(外)	62	1	裂天刺	0.wav	八卦剑法	0	1	0	0	59	1500	5	0	0	6	0	0	4	0	0	0	26	500	0	0	0	1500	0	10000	10000	5	4000	6000	60	10000	0	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
30	群攻型(外)	63	1	天问刺法.问天何寿	1.wav	八卦剑法	0	1	0	0	60	1500	5	0	0	7	0	0	4	1	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	10000	0	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
35	群攻型(外)	64	1	天问刺法.问地何极	0.wav	八卦剑法	0	1	0	0	61	1500	5	0	0	7	0	0	4	2	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	10000	0	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
40	群攻型(外)	65	1	天问刺法.生亦何欢	1.wav	八卦剑法	0	1	0	0	62	1500	5	0	0	7	0	0	4	3	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
45	群攻型(外)	66	1	天问刺法.死亦何苦	0.wav	八卦剑法	0	1	0	0	63	1500	5	0	0	7	0	0	4	4	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
50	群攻型(外)	67	1	天问刺法.人生几何	1.wav	八卦剑法	0	1	0	0	64	1500	5	0	0	7	0	0	4	5	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
55	群攻型(外)	68	1	天问刺法.轮回安在	0.wav	八卦剑法	0	1	0	0	65	1500	5	0	0	7	0	0	4	6	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
60	群攻型(外)	69	1	天问刺法.情为何物	1.wav	八卦剑法	0	1	0	0	66	1500	5	0	0	7	0	0	4	7	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
65	群攻型(外)	70	1	天问刺法.苍生何辜	0.wav	八卦剑法	0	1	0	0	67	1500	5	0	0	7	0	0	4	8	0	0	42	500	0	0	0	1500	0	4000	10000	5	3500	4000	40	10000	0	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
5	伤害输出型(内)	71	1	相思吟	0.wav	八卦剑法	0	1	0	0	53	1500	6	1	0	6	0	0	4	0	0	0	6	0	0	0	0	1500	0	0	10000	5	4500	2000	20	9000	18	0	0	0	1	0	0	1728000	24502500	0	0	0	0	0
15	伤害输出型(内)	72	1	风月吟	1.wav	八卦剑法	0	1	0	0	54	1500	6	1	0	6	0	0	4	0	0	0	12	500	0	0	0	1500	0	5000	10000	5	4500	3000	30	9000	18	2	0	0	1	0	0	518400	24502500	0	0	0	0	0
25	伤害输出型(内)	73	1	葬花吟	0.wav	八卦剑法	0	1	0	0	55	1500	6	1	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	7500	10000	5	4500	4000	40	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
10	伤害输出型(内)	74	1	惊鸿律	1.wav	八卦剑法	0	1	0	0	51	1500	6	1	0	6	0	0	4	0	0	0	18	500	0	0	0	1500	0	5000	10000	5	5000	4000	40	9000	18	0	0	0	1	0	0	518400	24502500	0	0	0	0	0
15	伤害输出型(内)	75	1	天籁音	0.wav	八卦剑法	0	1	0	0	52	1500	6	1	0	6	0	0	4	0	0	0	24	500	0	0	0	1500	0	7500	10000	5	5000	6000	60	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
20	伤害输出型(内)	76	1	绕梁.庄王恨	0.wav	八卦剑法	0	1	0	0	56	1500	6	1	0	6	0	0	4	0	0	0	10	500	0	0	0	1500	0	0	10000	5	4000	2000	20	9000	18	0	0	0	1	0	0	2304000	24502500	0	0	0	0	0
25	伤害输出型(内)	77	1	绿绮.凤求凰	1.wav	八卦剑法	0	1	0	0	57	1500	6	1	0	6	0	0	4	0	0	0	16	500	0	0	0	1500	0	5000	10000	5	4000	3000	30	9000	18	2	0	0	1	0	0	691200	24502500	0	0	0	0	0
30	伤害输出型(内)	78	1	焦尾.懊恼曲	0.wav	八卦剑法	0	1	0	0	58	1500	6	1	0	6	0	0	4	0	0	0	20	500	0	0	0	1500	0	7500	10000	5	4000	4000	40	9000	18	0	0	0	1	0	0	460800	24502500	0	0	0	0	0
35	伤害输出型(内)	79	1	古曲.广陵散	1.wav	八卦剑法	0	1	0	0	59	1500	6	1	0	6	0	0	4	0	0	0	26	500	0	0	0	1500	0	10000	10000	5	4000	6000	60	9000	18	0	0	0	1	0	0	345600	24502500	0	0	0	0	0
30	群攻型(内)	80	1	碧海升潮曲	0.wav	八卦剑法	0	1	0	0	60	1500	6	1	0	7	0	0	4	1	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	9000	18	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
35	群攻型(内)	81	1	浮华易逝曲	1.wav	八卦剑法	0	1	0	0	61	1500	6	1	0	7	0	0	4	2	0	0	20	500	0	0	0	1500	0	3000	10000	5	3500	1250	12	9000	18	0	0	0	1	0	0	1440000	24502500	0	0	0	0	0
40	群攻型(内)	82	1	锦绣成灰曲	0.wav	八卦剑法	0	1	0	0	62	1500	6	1	0	7	0	0	4	3	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
45	群攻型(内)	83	1	花自凋零曲	1.wav	八卦剑法	0	1	0	0	63	1500	6	1	0	7	0	0	4	4	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
50	群攻型(内)	84	1	将军白发曲	0.wav	八卦剑法	0	1	0	0	64	1500	6	1	0	7	0	0	4	5	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
55	群攻型(内)	85	1	红颜枯骨曲	1.wav	八卦剑法	0	1	0	0	65	1500	6	1	0	7	0	0	4	6	0	0	26	500	0	0	0	1500	0	4000	10000	5	3500	2000	20	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
60	群攻型(内)	86	1	三生尘梦曲	0.wav	八卦剑法	0	1	0	0	66	1500	6	1	0	7	0	0	4	7	0	0	32	500	0	0	0	1500	0	4000	10000	5	3500	3000	30	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
65	群攻型(内)	87	1	刹那芳华曲	1.wav	八卦剑法	0	1	0	0	67	1500	6	1	0	7	0	0	4	8	0	0	42	500	0	0	0	1500	0	4000	10000	5	3500	4000	40	9000	18	0	0	0	1	0	0	1080000	24502500	0	0	0	0	0
1	控制型	88	1	点穴截脉	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	361445	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	13147	24502500	16	100	0	0	附加BUFF使目标对象不能执行所有操作
1	控制型	89	1	四封四闭	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	361445	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	13147	24502500	17	100	0	0	目标对象不能攻击
1	控制型	90	1	反转乾坤	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	300000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	15840	24502500	29	100	0	0	附加BUFF使目标外功基础和内功基础数值互换
1	控制型	91	1	反转阴阳	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	300000	10000	5	1250	1250	12	10000	0	0	0	0	1	0	0	15840	24502500	30	100	0	0	附加BUFF使目标外防基础和内防基础数值互换
1	控制型	92	1	悬丝引气	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	300000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	18	100	0	0	附加BUFF使目标真气值按比例减少
1	控制型	93	1	空手白刃	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	300000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	19	100	0	0	附加BUFF使目标对象武器失效
1	控制型	94	1	脱袍卸甲	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	300000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	15840	24502500	20	100	0	0	附加BUFF使目标对象防具失效
1	控制型	95	1	狮子吼	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	30000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	158400	24502500	14	100	0	0	附加BUFF使目标对象往后退三格，如有阻挡则失效
1	控制型	96	1	凌空渡虚	0.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	30000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	158400	24502500	15	100	0	0	瞬移至目标对象自身朝向的旁边
1	控制型	97	1	涡旋劲	1.wav	八卦剑法	0	1	0	0	68	1500	-1	2	0	6	0	0	4	0	0	0	2	500	0	0	0	1500	0	60000	10000	5	1250	2000	20	10000	0	0	0	0	1	0	0	79200	24502500	21	100	0	0	附加BUFF使目标对象迟缓
