名称	编号（穴道）	编号（物品）	生命上限	内力上限	真气上限	生命恢复量	内力恢复量	真气恢复量	外功基础	外功精通	内功基础	内功精通	外防基础	外防精通	内防基础	内防精通	身法	杀气	冲穴需要心法
少冲	46	7034	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20000
筑宾	47	7035	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	8000
阴维脉	63	7036	20	11	0	0	4	0	7	0	7	0	0	0	7	0	2	0	0
申脉	64	7037	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	30000
仆参	65	7038	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16000
跗阳	66	7039	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7200
居髎	67	7040	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15400
臑俞	68	7041	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	3200
肩髃	69	7042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3200
巨骨	70	7043	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1200
地仓	71	7044	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400
巨髎	72	7045	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	2400
承泣	73	7046	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2400
风池	74	7047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16000
攒竹 	75	7048	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16000
眉冲	76	7049	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	7200
曲差	77	7050	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400
五处	78	7051	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
承光	79	7052	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
通天	80	7053	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600
络却	81	7054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2400
玉枕	82	7055	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
天柱	83	7056	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3600
承山 	84	7057	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
飞扬	85	7058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3600
昆仑	86	7060	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	7200
阳蹻脉	95	7061	16	8	0	0	0	0	8	0	6	0	0	0	6	0	0	0	0
带脉	96	7062	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	2000
五枢	97	7063	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
维道	98	7064	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3600
天冲	99	7065	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
浮白	100	7066	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	24000
头窍阴	101	7067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1200
完骨	102	7068	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
本神	103	7069	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	1200
阳白	104	7070	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
头临泣	105	7071	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2400
目窗	106	7072	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	2400
正营	107	7073	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2400
承灵	108	7074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7200
脑空	109	7075	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
外丘  	110	7076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16000
光明	111	7077	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	10800
阳辅	112	7078	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
悬钟	113	7079	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	7200
丘墟	114	7080	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	10800
带脉	127	7081	21	10	0	0	4	0	9	0	8	0	8	0	0	0	0	0	0
金门	128	7082	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1200
阳交	129	7083	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
臑俞	130	7084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1200
天髎	131	7085	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800
肩井	132	7086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	4800
头维	133	7087	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4800
本神	134	7088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2000
阳白	135	7089	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	30000
头临泣	136	7090	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	14400
目窗	137	7091	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
正营	138	7092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1200
承灵	139	7093	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1200
脑空	140	7094	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	8000
风池	141	7095	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
风府	142	7096	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7200
哑门	143	7097	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3600
云门	144	7098	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
尺泽  	145	7099	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
孔最	146	7100	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	3600
列缺	147	7101	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
经渠	148	7102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	8000
太渊	149	7103	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8000
鱼际	150	7104	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	16000
少商	151	7105	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	2000
阳维脉	159	7106	17	10	0	0	2	0	0	0	6	0	9	0	0	0	0	0	0
会阴	160	7107	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	36000
阴交	161	7108	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	36000
气冲	162	7109	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
横骨	163	7110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	7200
大赫	164	7111	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
气穴	165	7112	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	7200
四满	166	7113	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1200
中注	167	7114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1200
肓俞	168	7115	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
商曲	169	7116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	4800
石关	170	7117	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4800
阴都	171	7118	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	4800
通谷	172	7119	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	16000
幽门	173	7120	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
关门	174	7121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7200
太乙 	175	7122	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
滑肉门	176	7123	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24000
天枢	177	7124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	24000
外陵	178	7125	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	10800
大巨	179	7126	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
水道	180	7127	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36000
归来	181	7128	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36000
水突	182	7129	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	16000
气舍	183	7130	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	16000
冲脉	191	7131	17	8	0	0	2	0	5	0	8	0	9	0	0	0	0	0	0
长强穴	192	7132	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1200
腰俞	193	7133	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	1200
阳关入命门	194	7134	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1200
上行悬枢	195	7135	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36000
脊中	196	7136	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36000
至中枢	197	7137	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	16000
筋缩	198	7138	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
至阳归灵台	199	7139	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4800
神道	200	7140	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800
身柱	201	7141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	4800
陶道开	202	7142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	16000
大椎	203	7143	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	16000
哑门连风府	204	7144	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7200
脑户	205	7145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	7200
强间	206	7146	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22000
后顶排	207	7147	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22000
百会	208	7148	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
前顶通囟会	209	7149	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10800
上星	210	7150	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	36000
神庭	211	7151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	16000
素	212	7152	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	10800
水沟	213	7153	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
兑端	214	7154	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	22000
龈交	215	7155	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	10800
督脉	223	7156	29	15	0	0	8	0	9	0	9	0	9	0	9	0	0	0	0
曲骨	224	7157	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	16000
中极	225	7158	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	16000
关元	226	7159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	10400
下脘	227	7160	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7200
中脘	228	7161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	22000
上脘	229	7162	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	22000
天突	230	7163	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	14400
廉泉	231	7164	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
承浆	232	7165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	22000
大钟	233	7166	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800
水泉	234	7167	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22000
大赫	235	7168	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	16000
灵墟	236	7169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	14400
箕门	237	7170	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	7200
涌泉	238	7171	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600
神封	239	7172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	22000
地机	240	7173	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400
血海	241	7174	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10800
腹通谷	242	7175	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	30000
步廊  	243	7176	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	36000
神藏	244	7177	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400
俞府	245	7178	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
复溜	246	7179	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14400
阴陵泉	247	7180	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	30000
任脉	255	7181	29	20	0	0	8	0	10	0	9	0	9	0	0	0	0	0	0
神聪	512	7182	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	16000
印堂	513	7183	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	16000
鱼腰	514	7184	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	7200
太阳	515	7185	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	7200
耳尖	516	7186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	16000
球后	517	7187	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30000
金津	518	7188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7200
玉液	519	7189	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	7200
翳明	520	7190	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10800
定喘	521	7191	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	16000
夹脊	522	7192	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16000
腰奇	523	7193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	16000
二白	524	7194	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36000
腰痛点	525	7195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	36000
八邪	526	7196	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20000
四缝	527	7197	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	16000
十宣	528	7198	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1600
鹤顶	529	7199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	90000
百虫窝	530	7200	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4800
膝眼	531	7201	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	90000
胆囊	532	7202	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	36000
阑尾	533	7203	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	20000
八风	534	7204	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	16000
经外奇脉	543	7205	18	9	0	0	2	0	25	0	24	0	25	0	25	0	0	0	20000
小周天	256	7206	150	80	0	0	16	0	25	0	32	0	32	0	40	0	6	15	16000
