//编号	名称	外观编号&头像编号	等级	生命	内力	势力	非战斗移动速度	战斗移动速度	重生时间（毫秒）	可视距离	身体模型大小	自由活动范围	追踪范围	攻击值	防御值	闪避值	暴击值	攻击速度	怪物类型	攻击类型	携带经验	携带真气	血怪变身几率	攻怪变身几率	防怪变身几率	攻击间隔（间隔）	杀怪任务分组	逃跑条件	追击停止条件	移动类型	搜索目标间隔	停留时间下限	停留时间上限	技能ID	技能ID	技能ID	技能ID	技能ID
//【主城】	编号1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
57	不死僧	24	9	608	132	0	200	300	10000	500	100	400	10000	84	59	45	28	3000	0	1	126	211	10	20	30	2000	57	0	0	1	5000	15	25	12000	12000	12000	12000	12000
58	铁沙门喽罗	24	10	683	146	0	200	300	10000	500	100	400	10000	94	65	50	32	3000	0	1	126	211	10	20	30	2000	58	0	0	1	5000	15	25	12000	12000	12000	12000	12000
59	铁沙门弟子	24	11	760	160	0	200	300	10000	500	100	400	10000	104	72	56	36	3000	0	1	133	222	10	20	30	2000	59	0	0	1	5000	15	25	12000	12000	12000	12000	12000
60	铁沙门堂主	24	13	918	188	0	200	300	10000	500	100	400	10000	124	85	67	43	3000	0	1	139	233	10	20	30	2000	60	0	0	1	5000	15	25	12000	12000	12000	12000	12000
61	铁沙门掌教	24	12	838	174	0	200	300	10000	500	100	400	10000	114	78	61	39	3000	0	1	146	244	10	20	30	2000	61	0	0	1	5000	15	25	12000	12000	12000	12000	12000
62	三毒手	24	13	918	188	0	200	300	10000	500	100	400	10000	124	85	67	43	3000	0	1	146	244	10	20	30	2000	62	0	0	1	5000	15	25	12000	12000	12000	12000	12000
63	五毒手	24	13	918	188	0	200	300	10000	500	100	400	10000	124	85	67	43	3000	0	1	152	254	10	20	30	2000	63	0	0	1	5000	15	25	12000	12000	12000	12000	12000
64	千毒手	24	16	1168	233	0	200	300	10000	500	100	400	10000	157	106	85	55	3000	0	1	158	264	10	20	30	2000	64	0	0	1	5000	15	25	12000	12000	12000	12000	12000
65	还玉楼杀手	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	152	254	10	20	30	2000	65	0	0	1	5000	15	25	12000	12000	12000	12000	12000
66	银牌杀手	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	158	264	10	20	30	2000	66	0	0	1	5000	15	25	12000	12000	12000	12000	12000
67	金牌杀手	24	16	1168	233	0	200	300	10000	500	100	400	10000	157	106	85	55	3000	0	1	164	274	10	20	30	2000	67	0	0	1	5000	15	25	12000	12000	12000	12000	12000
68	黑衣刀仆	24	14	1000	203	0	200	300	10000	500	100	400	10000	135	92	73	47	3000	0	1	152	254	10	20	30	2000	68	0	0	1	5000	15	25	12000	12000	12000	12000	12000
69	红衣刀客	24	14	1000	203	0	200	300	10000	500	100	400	10000	135	92	73	47	3000	0	1	158	264	10	20	30	2000	69	0	0	1	5000	15	25	12000	12000	12000	12000	12000
70	紫衣刀师	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	164	274	10	20	30	2000	70	0	0	1	5000	15	25	12000	12000	12000	12000	12000
71	金童	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	158	264	10	20	30	2000	71	0	0	1	5000	15	25	12000	12000	12000	12000	12000
72	玉女	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	158	264	10	20	30	2000	72	0	0	1	5000	15	25	12000	12000	12000	12000	12000
73	纱衣剑客	24	17	1255	249	0	200	300	10000	500	100	400	10000	168	113	91	59	3000	0	1	169	283	10	20	30	2000	73	0	0	1	5000	15	25	12000	12000	12000	12000	12000
74	纱衣剑师	24	17	1255	249	0	200	300	10000	500	100	400	10000	168	113	91	59	3000	0	1	175	293	10	20	30	2000	74	0	0	1	5000	15	25	12000	12000	12000	12000	12000
75	纱衣高手	24	18	1344	265	0	200	300	10000	500	100	400	10000	180	120	97	63	3000	0	1	181	302	10	20	30	2000	75	0	0	1	5000	15	25	12000	12000	12000	12000	12000
76	黑圣	24	18	1344	265	0	200	300	10000	500	100	400	10000	180	120	97	63	3000	0	1	181	302	10	20	30	2000	76	0	0	1	5000	15	25	12000	12000	12000	12000	12000
77	白圣	24	19	1434	281	0	200	300	10000	500	100	400	10000	191	128	103	67	3000	0	1	181	302	10	20	30	2000	77	0	0	1	5000	15	25	12000	12000	12000	12000	12000
78	红圣	24	20	1526	298	0	200	300	10000	500	100	400	10000	203	136	110	72	3000	0	1	181	302	10	20	30	2000	78	0	0	1	5000	15	25	12000	12000	12000	12000	12000
79	蒙面道人	24	7	463	106	0	200	300	10000	500	100	400	10000	65	47	34	22	3000	0	1	96	161	10	20	30	2000	79	0	0	1	5000	15	25	12000	12000	12000	12000	12000
80	邪道人	24	8	535	119	0	200	300	10000	500	100	400	10000	74	53	40	25	3000	0	1	104	174	10	20	30	2000	80	0	0	1	5000	15	25	12000	12000	12000	12000	12000
81	成年猴子	24	1	2	1	0	200	300	10000	500	100	400	10000	0	0	0	0	3000	0	1	0	0	10	20	30	2000	81	0	0	1	5000	15	25	12000	12000	12000	12000	12000
82	青蛇	24	15	1083	218	0	200	300	10000	500	100	400	10000	146	99	78	51	3000	0	1	152	254	10	20	30	2000	82	0	0	1	5000	15	25	12000	12000	12000	12000	12000
83	老山兔	24	1	2	1	0	200	300	10000	500	100	400	10000	0	0	0	0	3000	0	1	0	0	10	20	30	2000	83	0	0	1	5000	15	25	12000	12000	12000	12000	12000
84	喇牙蜘蛛	24	16	1168	233	0	200	300	10000	500	100	400	10000	157	106	85	55	3000	0	1	158	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
85	普头陀首领	24	20	45528	14112	0	200	300	10000	500	499	400	10000	420	51	190	131	3000	2	1	905	254	10	20	30	2000	82	0	0	1	5000	15	25	12000	12000	12000	12000	12000
86	噬血僧	24	20	1983720	614880	0	200	300	10000	500	499	400	10000	588	51	220	172	3000	0	1	1810	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
87	铁沙门首领	24	20	45528	14112	0	200	300	10000	500	499	400	10000	420	51	190	131	3000	0	1	905	161	10	20	30	2000	83	0	0	1	5000	15	25	12000	12000	12000	12000	12000
88	纱衣剑首领	24	20	45528	14112	0	200	300	10000	500	499	400	10000	420	51	190	131	3000	0	1	905	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
//【天福山】	编号201-300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
201	暗哨	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	201	0	0	0	5000	15	25	12000	12000	12000	12000	12000
202	外围弟子	23	21	1620	315	0	200	300	10000	500	100	400	10000	216	144	117	76	3000	0	1	186	394	10	20	30	2000	202	0	0	1	5000	15	25	12000	12000	12000	12000	12000
203	投石弟子	23	21	1620	315	0	200	300	10000	500	100	400	10000	216	144	117	76	3000	0	1	186	394	10	20	30	2000	203	0	0	1	5000	15	25	12000	12000	12000	12000	12000
204	泰山帮喽罗	23	22	1715	332	0	200	300	10000	500	100	400	10000	228	151	123	80	3000	0	1	191	394	10	20	30	2000	204	0	0	1	5000	15	25	12000	12000	12000	12000	12000
205	铜锤护卫	23	22	1715	332	0	200	300	10000	500	100	400	10000	228	151	123	80	3000	0	1	191	404	10	20	30	2000	205	0	0	1	5000	15	25	12000	12000	12000	12000	12000
206	泰山帮堂主	23	23	1812	349	0	200	300	10000	500	100	400	10000	241	160	130	85	3000	0	1	196	404	10	20	30	2000	206	0	0	1	5000	15	25	12000	12000	12000	12000	12000
207	驭狐弟子	23	23	1812	349	0	200	300	10000	500	100	400	10000	241	160	130	85	3000	0	1	196	414	10	20	30	2000	207	0	0	1	5000	15	25	12000	12000	12000	12000	12000
208	驭狼弟子	23	23	1812	349	0	200	300	10000	500	100	400	10000	241	160	130	85	3000	0	1	196	414	10	20	30	2000	208	0	0	1	5000	15	25	12000	12000	12000	12000	12000
209	火狐卫	23	24	1911	367	0	200	300	10000	500	100	400	10000	253	168	137	90	3000	0	1	201	414	10	20	30	2000	209	0	0	1	5000	15	25	12000	12000	12000	12000	12000
210	豺狼卫	23	24	1911	367	0	200	300	10000	500	100	400	10000	253	168	137	90	3000	0	1	201	424	10	20	30	2000	210	0	0	1	5000	15	25	12000	12000	12000	12000	12000
211	驭兽殿殿主	23	25	2011	385	0	200	300	10000	500	100	400	10000	266	176	144	94	3000	0	1	206	424	10	20	30	2000	211	0	0	1	5000	15	25	12000	12000	12000	12000	12000
212	大刀土匪	23	25	2011	385	0	200	300	10000	500	100	400	10000	266	176	144	94	3000	0	1	206	424	10	20	30	2000	212	0	0	1	5000	15	25	12000	12000	12000	12000	12000
213	长矛土匪	23	25	2011	385	0	200	300	10000	500	100	400	10000	266	176	144	94	3000	0	1	206	433	10	20	30	2000	213	0	0	1	5000	15	25	12000	12000	12000	12000	12000
214	拳霸	23	26	2113	403	0	200	300	10000	500	100	400	10000	280	185	152	99	3000	0	1	211	433	10	20	30	2000	214	0	0	1	5000	15	25	12000	12000	12000	12000	12000
215	元廷鹰护	23	26	2113	403	0	200	300	10000	500	100	400	10000	280	185	152	99	3000	0	1	211	443	10	20	30	2000	215	0	0	1	5000	15	25	12000	12000	12000	12000	12000
216	元廷虎护	23	26	2113	403	0	200	300	10000	500	100	400	10000	280	185	152	99	3000	0	1	211	443	10	20	30	2000	216	0	0	1	5000	15	25	12000	12000	12000	12000	12000
217	鹰护将	23	27	2217	422	0	200	300	10000	500	100	400	10000	293	193	159	104	3000	0	1	216	443	10	20	30	2000	217	0	0	1	5000	15	25	12000	12000	12000	12000	12000
218	虎护将	23	27	2217	422	0	200	300	10000	500	100	400	10000	293	193	159	104	3000	0	1	216	452	10	20	30	2000	218	0	0	1	5000	15	25	12000	12000	12000	12000	12000
219	查干巴拉	23	28	2323	441	0	200	300	10000	500	100	400	10000	307	202	166	109	3000	0	1	221	452	10	20	30	2000	219	0	0	1	5000	15	25	12000	12000	12000	12000	12000
220	黑玉堂弟子	23	28	2323	441	0	200	300	10000	500	100	400	10000	307	202	166	109	3000	0	1	221	462	10	20	30	2000	220	0	0	1	5000	15	25	12000	12000	12000	12000	12000
221	火龙堂弟子	23	28	2323	441	0	200	300	10000	500	100	400	10000	307	202	166	109	3000	0	1	221	462	10	20	30	2000	221	0	0	1	5000	15	25	12000	12000	12000	12000	12000
222	黑玉堂长老	23	29	2430	460	0	200	300	10000	500	100	400	10000	321	211	174	114	3000	0	1	226	462	10	20	30	2000	222	0	0	1	5000	15	25	12000	12000	12000	12000	12000
223	火龙堂长老	23	29	2430	460	0	200	300	10000	500	100	400	10000	321	211	174	114	3000	0	1	226	462	10	20	30	2000	223	0	0	1	5000	15	25	12000	12000	12000	12000	12000
224	尸衣杀手	23	30	2539	480	0	200	300	10000	500	100	400	10000	335	220	182	119	3000	0	1	230	443	10	20	30	2000	224	0	0	1	5000	15	25	12000	12000	12000	12000	12000
225	尸衣护卫	23	30	2539	480	0	200	300	10000	500	100	400	10000	335	220	182	119	3000	0	1	230	373	10	20	30	2000	225	0	0	1	5000	15	25	12000	12000	12000	12000	12000
226	鬼哭嚎	23	30	2539	480	0	200	300	10000	500	100	400	10000	335	220	182	119	3000	0	1	230	462	10	20	30	2000	226	0	0	1	5000	15	25	12000	12000	12000	12000	12000
227	门柱	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	227	0	0	0	5000	15	25	12000	12000	12000	12000	12000
228	巴特尔	23	28	2323	441	0	200	300	10000	500	100	400	10000	307	202	166	109	3000	0	1	221	10	10	20	30	2000	228	0	0	1	5000	15	25	12000	12000	12000	12000	12000
229	柳如风	23	21	1620	315	0	200	300	10000	500	100	400	10000	216	144	117	76	3000	0	1	186	10	10	20	30	2000	229	0	0	1	5000	15	25	12000	12000	12000	12000	12000
230	药笼	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	230	0	0	0	5000	15	25	12000	12000	12000	12000	12000
231	营房	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	231	0	0	0	5000	15	25	12000	12000	12000	12000	12000
232	坛子	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	232	0	0	0	5000	15	25	12000	12000	12000	12000	12000
233	棕熊 	23	23	1812	349	0	200	300	10000	500	100	400	10000	241	160	130	85	3000	0	1	196	462	10	20	30	2000	233	0	0	1	5000	15	25	12000	12000	12000	12000	12000
234	老年棕熊	23	24	1911	367	0	200	300	10000	500	100	400	10000	253	168	137	90	3000	0	1	201	462	10	20	30	2000	234	0	0	1	5000	15	25	12000	12000	12000	12000	12000
235	野猪	23	21	1620	315	0	200	300	10000	500	100	400	10000	216	144	117	76	3000	0	1	186	462	10	20	30	2000	235	0	0	1	5000	15	25	12000	12000	12000	12000	12000
236	老山皮野猪	23	22	1715	332	0	200	300	10000	500	100	400	10000	228	151	123	80	3000	0	1	191	462	10	20	30	2000	236	0	0	1	5000	15	25	12000	12000	12000	12000	12000
237	黑寡妇  	23	26	2113	403	0	200	300	10000	500	100	400	10000	280	185	152	99	3000	0	1	211	462	10	20	30	2000	237	0	0	1	5000	15	25	12000	12000	12000	12000	12000
238	斧手	23	10	683	146	0	200	300	10000	500	100	400	10000	94	65	50	32	3000	0	1	119	199	10	20	30	2000	238	0	0	1	5000	15	25	12000	12000	12000	12000	12000
239	镰钩手 	23	11	760	160	0	200	300	10000	500	100	400	10000	104	72	56	36	3000	0	1	126	462	10	20	30	2000	239	0	0	1	5000	15	25	12000	12000	12000	12000	12000
240	天龙堂弟子	23	12	838	174	0	200	300	10000	500	100	400	10000	114	78	61	39	3000	0	1	133	462	10	20	30	2000	240	0	0	1	5000	15	25	12000	12000	12000	12000	12000
241	无霸	23	12	838	174	0	200	300	10000	500	100	400	10000	114	78	61	39	3000	0	1	133	462	10	20	30	2000	241	0	0	1	5000	15	25	12000	12000	12000	12000	12000
242	十人杀(boss)	23	30	3606320	810080	0	200	300	10000	500	250	400	10000	798	87	308	197	3000	0	1	2300	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
243	火狐卫首领	23	30	82768	18592	0	200	300	10000	500	499	400	10000	570	87	266	150	3000	0	1	1150	254	10	20	30	2000	82	0	0	1	5000	15	25	12000	12000	12000	12000	12000
244	尸衣杀手首领	23	30	82768	18592	0	200	300	10000	500	499	400	10000	570	87	266	150	3000	0	1	1150	161	10	20	30	2000	83	0	0	1	5000	15	25	12000	12000	12000	12000	12000
245	长矛土匪首领	23	30	82768	18592	0	200	300	10000	500	499	400	10000	570	87	266	150	3000	0	1	1150	264	10	20	30	2000	84	0	0	1	5000	15	25	12001	12001	12008	12008	12008
//【黑龙滩】	编号301-400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
301	鳄鱼	24	31	2650	500	0	200	300	10000	500	100	400	10000	350	230	190	125	3000	0	1	235	443	10	20	30	2000	301	0	0	1	5000	15	25	12000	12000	12000	12000	12000
302	栅栏	24	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	0	0	2	1	1	10	20	30	2000	302	0	0	0	5000	15	25	12000	12000	12000	12000	12000
303	巨鲸帮喽罗	24	31	2650	500	0	200	300	10000	500	100	400	10000	350	230	190	125	3000	0	1	235	10	10	20	30	2000	303	0	0	1	5000	15	25	12000	12000	12000	12000	12000
304	巨鲸帮护法	24	32	2762	520	0	200	300	10000	500	100	400	10000	364	239	197	130	3000	0	1	240	10	10	20	30	2000	304	0	0	1	5000	15	25	12000	12000	12000	12000	12000
305	色目士兵	24	32	2762	520	0	200	300	10000	500	100	400	10000	364	239	197	130	3000	0	1	240	10	10	20	30	2000	305	0	0	1	5000	15	25	12000	12000	12000	12000	12000
306	色目首领	24	33	2876	540	0	200	300	10000	500	100	400	10000	379	248	206	135	3000	0	1	244	10	10	20	30	2000	306	0	0	1	5000	15	25	12000	12000	12000	12000	12000
307	暗探	24	33	2876	540	0	200	300	10000	500	100	400	10000	379	248	206	135	3000	0	1	244	10	10	20	30	2000	307	0	0	1	5000	15	25	12000	12000	12000	12000	12000
308	死士	24	33	2876	540	0	200	300	10000	500	100	400	10000	379	248	206	135	3000	0	1	244	10	10	20	30	2000	308	0	0	1	5000	15	25	12000	12000	12000	12000	12000
309	雄鹰暗探	24	34	2992	561	0	200	300	10000	500	100	400	10000	394	258	214	141	3000	0	1	248	10	10	20	30	2000	309	0	0	1	5000	15	25	12000	12000	12000	12000	12000
310	黑营死士	24	34	2992	561	0	200	300	10000	500	100	400	10000	394	258	214	141	3000	0	1	248	10	10	20	30	2000	310	0	0	1	5000	15	25	12000	12000	12000	12000	12000
311	尸衣教弟子	24	35	3109	582	0	200	300	10000	500	100	400	10000	409	268	222	146	3000	0	1	253	10	10	20	30	2000	311	0	0	1	5000	15	25	12000	12000	12000	12000	12000
312	尸衣教恶徒	24	36	3228	603	0	200	300	10000	500	100	400	10000	425	278	231	152	3000	0	1	257	10	10	20	30	2000	312	0	0	1	5000	15	25	12000	12000	12000	12000	12000
313	死士头目	24	35	3109	582	0	200	300	10000	500	100	400	10000	409	268	222	146	3000	0	1	253	10	10	20	30	2000	313	0	0	1	5000	15	25	12000	12000	12000	12000	12000
314	尸衣教教众	24	36	3228	603	0	200	300	10000	500	100	400	10000	425	278	231	152	3000	0	1	257	10	10	20	30	2000	314	0	0	1	5000	15	25	12000	12000	12000	12000	12000
315	柱子	24	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	315	0	0	1	5000	15	25	12000	12000	12000	12000	12000
316	拦网	24	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	316	0	0	1	5000	15	25	12000	12000	12000	12000	12000
317	尸衣教药师	24	37	3349	625	0	200	300	10000	500	100	400	10000	440	288	239	157	3000	0	1	261	10	10	20	30	2000	317	0	0	1	5000	15	25	12000	12000	12000	12000	12000
318	骨巫	24	37	3349	625	0	200	300	10000	500	100	400	10000	440	288	239	157	3000	0	1	261	10	10	20	30	2000	318	0	0	1	5000	15	25	12000	12000	12000	12000	12000
319	元廷长刀兵	24	38	3472	647	0	200	300	10000	500	100	400	10000	456	298	248	163	3000	0	1	266	10	10	20	30	2000	319	0	0	1	5000	15	25	12000	12000	12000	12000	12000
320	岩鳄	24	38	3472	647	0	200	300	10000	500	100	400	10000	456	298	248	163	3000	0	1	266	10	10	20	30	2000	320	0	0	1	5000	15	25	12000	12000	12000	12000	12000
321	大嘴岩鳄	24	39	3596	669	0	200	300	10000	500	100	400	10000	473	308	257	169	3000	0	1	270	10	10	20	30	2000	321	0	0	1	5000	15	25	12000	12000	12000	12000	12000
322	元廷骑兵	24	39	3596	669	0	200	300	10000	500	100	400	10000	473	308	257	169	3000	0	1	270	10	10	20	30	2000	322	0	0	1	5000	15	25	12000	12000	12000	12000	12000
323	圆月刀卫	24	40	3722	692	0	200	300	10000	500	100	400	10000	489	319	265	175	3000	0	1	457	10	10	20	30	2000	323	0	0	1	5000	15	25	12000	12000	12000	12000	12000
324	骁骑卫	24	40	3722	692	0	200	300	10000	500	100	400	10000	489	319	265	175	3000	0	1	457	10	10	20	30	2000	324	0	0	1	5000	15	25	12000	12000	12000	12000	12000
325	大统领	24	40	3722	692	0	200	300	10000	500	100	400	10000	489	319	265	175	3000	0	1	457	10	10	20	30	2000	325	0	0	1	5000	15	25	12000	12000	12000	12000	12000
326	巨熊	24	40	3722	692	0	200	300	10000	500	100	400	10000	489	319	265	175	3000	0	1	457	10	10	20	30	2000	326	0	0	1	5000	15	25	12000	12000	12000	12000	12000
327	投石炮	24	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	327	0	0	1	5000	15	25	12000	12000	12000	12000	12000
328	十人杀(boss)	24	40	5858440	1005280	0	200	300	10000	500	250	400	10000	1008	130	396	222	3000	0	1	4570	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
329	五人杀(boss)	24	40	134456	23072	0	200	300	10000	500	250	400	10000	720	130	342	169	3000	0	1	2285	254	10	20	30	2000	82	0	0	1	5000	15	25	12000	12000	12000	12000	12000
330	五人杀(boss)	24	40	134456	23072	0	200	300	10000	500	250	400	10000	720	130	342	169	3000	0	1	2285	161	10	20	30	2000	83	0	0	1	5000	15	25	12000	12000	12000	12000	12000
331	五人杀(boss)	24	40	134456	23072	0	200	300	10000	500	250	400	10000	720	130	342	169	3000	0	1	2285	264	10	20	30	2000	84	0	0	1	5000	15	25	12000	12000	12000	12000	12000
332	内应	24	33	2876	540	0	200	300	10000	500	100	400	10000	379	248	206	135	3000	0	1	244	10	10	20	30	2000	332	0	0	1	5000	15	25	12000	12000	12000	12000	12000
//【无极岛】	编号401-500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
401	修罗	23	41	3885	721	0	200	300	10000	500	100	400	10000	510	333	277	183	3000	0	1	603	10	10	20	30	2000	401	0	0	1	5000	15	25	12000	12000	12000	12000	12000
402	黑修罗	23	41	3885	721	0	200	300	10000	500	100	400	10000	510	333	277	183	3000	0	1	603	10	10	20	30	2000	402	0	0	1	5000	15	25	12000	12000	12000	12000	12000
403	铁甲蟹	23	42	4051	751	0	200	300	10000	500	100	400	10000	532	346	289	190	3000	0	1	603	10	10	20	30	2000	403	0	0	1	5000	15	25	12000	12000	12000	12000	12000
404	玄冥岛弟子	23	42	4051	751	0	200	300	10000	500	100	400	10000	532	346	289	190	3000	0	1	603	10	10	20	30	2000	404	0	0	1	5000	15	25	12000	12000	12000	12000	12000
405	岛蛛	23	41	3885	721	0	200	300	10000	500	100	400	10000	510	333	277	183	3000	0	1	603	10	10	20	30	2000	405	0	0	1	5000	15	25	12000	12000	12000	12000	12000
406	黑牙毒蛛	23	42	4051	751	0	200	300	10000	500	100	400	10000	532	346	289	190	3000	0	1	603	10	10	20	30	2000	406	0	0	1	5000	15	25	12000	12000	12000	12000	12000
407	虬龙洞弟子	23	42	4051	751	0	200	300	10000	500	100	400	10000	532	346	289	190	3000	0	1	603	10	10	20	30	2000	407	0	0	1	5000	15	25	12000	12000	12000	12000	12000
408	玄冥岛高手	23	43	4220	782	0	200	300	10000	500	100	400	10000	554	361	301	198	3000	0	1	603	10	10	20	30	2000	408	0	0	1	5000	15	25	12000	12000	12000	12000	12000
409	雄霸天	23	43	4220	782	0	200	300	10000	500	100	400	10000	554	361	301	198	3000	0	1	603	10	10	20	30	2000	409	0	0	1	5000	15	25	12000	12000	12000	12000	12000
410	稻草机关人	23	44	4393	813	0	200	300	10000	500	100	400	10000	576	375	313	207	3000	0	1	603	10	10	20	30	2000	410	0	0	1	5000	15	25	12000	12000	12000	12000	12000
411	虬龙洞高手	23	43	4220	782	0	200	300	10000	500	100	400	10000	554	361	301	198	3000	0	1	603	10	10	20	30	2000	411	0	0	1	5000	15	25	12000	12000	12000	12000	12000
412	青竹机关人	23	44	4393	813	0	200	300	10000	500	100	400	10000	576	375	313	207	3000	0	1	603	10	10	20	30	2000	412	0	0	1	5000	15	25	12000	12000	12000	12000	12000
413	巨猴	23	44	4393	813	0	200	300	10000	500	100	400	10000	576	375	313	207	3000	0	1	603	10	10	20	30	2000	413	0	0	1	5000	15	25	12000	12000	12000	12000	12000
414	铁竹机关人	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	414	0	0	1	5000	15	25	12000	12000	12000	12000	12000
415	机关	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	415	0	0	1	5000	15	25	12000	12000	12000	12000	12000
416	机关巨兽	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	416	0	0	1	5000	15	25	12000	12000	12000	12000	12000
417	黑竹机关人	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	417	0	0	1	5000	15	25	12000	12000	12000	12000	12000
418	巨石	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	418	0	0	1	5000	15	25	12000	12000	12000	12000	12000
419	海外高手	23	45	4569	844	0	200	300	10000	500	100	400	10000	599	390	326	215	3000	0	1	603	10	10	20	30	2000	419	0	0	1	5000	15	25	12000	12000	12000	12000	12000
421	血盆	23	1	2000	0	0	200	300	10000	500	100	400	0	0	0	0	0	3000	0	1	603	10	10	20	30	2000	421	0	0	0	5000	15	25	12000	12000	12000	12000	12000
