技能名称	编号	类型	学习等级	学习金钱	学习任务1	学习任务2	学习任务3	关联武功1	关联武功1等级	关联武功2	关联武功2等级	关联武功3	关联武功3等级	关联武功4	关联武功4等级	武器	动作ID	特效名字	特效高度	声音
恒河大手印	27	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10090	59	降龙十八掌	20	0.wav
韦陀掌	28	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10090	60	降龙十八掌	20	0.wav
龙旋掌	29	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10090	61	降龙十八掌	20	0.wav
推山掌	30	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10090	62	降龙十八掌	20	0.wav
般若禅掌	31	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10090	63	降龙十八掌	20	0.wav
大摔碑手	32	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10090	64	降龙十八掌	20	0.wav
波罗密手	33	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10090	65	降龙十八掌	20	0.wav
千叶如来手	34	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10090	66	降龙十八掌	20	0.wav
补天劫手	35	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10090	67	降龙十八掌	20	0.wav
点穴截脉	36	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
四封四闭	37	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
反转乾坤	38	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
反转阴阳	39	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
悬丝引气	40	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
空手白刃	41	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
脱袍卸甲	42	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
狮子吼	43	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
凌空渡虚	44	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
涡旋劲	45	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
幻魔相	46	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
移山压顶	47	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
千斤坠	48	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
斩铁劲	49	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
岩打劲	50	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
回春术	51	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
回天术	52	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10090	68	降龙十八掌	20	0.wav
峨眉基本攻击	53	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10378	50	降龙十八掌	20	0.wav
顺刺	54	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10378	53	降龙十八掌	20	0.wav
逆刺	55	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10378	54	降龙十八掌	20	0.wav
叠刺	56	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10378	55	降龙十八掌	20	0.wav
刺.透骨	57	1	11	0	0	0	0	0	0	0	0	0	0	0	0	10378	51	降龙十八掌	20	0.wav
刺.寸芒	58	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10378	52	降龙十八掌	20	0.wav
挑霜刺	59	1	7	0	0	0	0	0	0	0	0	0	0	0	0	10378	56	降龙十八掌	20	0.wav
分水刺	60	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10378	57	降龙十八掌	20	0.wav
穿云刺	61	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10378	58	降龙十八掌	20	0.wav
裂天刺	62	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10378	59	降龙十八掌	20	0.wav
天问刺法.问天何寿	63	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10378	60	降龙十八掌	20	0.wav
天问刺法.问地何极	64	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10378	61	降龙十八掌	20	0.wav
天问刺法.生亦何欢	65	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10378	62	降龙十八掌	20	0.wav
天问刺法.死亦何苦	66	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10378	63	降龙十八掌	20	0.wav
天问刺法.人生几何	67	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10378	64	降龙十八掌	20	0.wav
天问刺法.轮回安在	68	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10378	65	降龙十八掌	20	0.wav
天问刺法.情为何物	69	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10378	66	降龙十八掌	20	0.wav
天问刺法.苍生何辜	70	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10378	67	降龙十八掌	20	0.wav
相思吟	71	1	12	0	0	0	0	0	0	0	0	0	0	0	0	10450	53	降龙十八掌	20	0.wav
风月吟	72	1	13	0	0	0	0	0	0	0	0	0	0	0	0	10450	54	降龙十八掌	20	0.wav
葬花吟	73	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10450	55	降龙十八掌	20	0.wav
惊鸿律	74	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10450	51	降龙十八掌	20	0.wav
天籁音	75	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10450	52	降龙十八掌	20	0.wav
绕梁.庄王恨	76	1	14	0	0	0	0	0	0	0	0	0	0	0	0	10450	56	降龙十八掌	20	0.wav
绿绮.凤求凰	77	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10450	57	降龙十八掌	20	0.wav
焦尾.懊恼曲	78	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10450	58	降龙十八掌	20	0.wav
古曲.广陵散	79	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10450	59	降龙十八掌	20	0.wav
碧海升潮曲	80	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10450	60	降龙十八掌	20	0.wav
浮华易逝曲	81	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10450	61	降龙十八掌	20	0.wav
锦绣成灰曲	82	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10450	62	降龙十八掌	20	0.wav
花自凋零曲	83	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10450	63	降龙十八掌	20	0.wav
将军白发曲	84	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10450	64	降龙十八掌	20	0.wav
红颜枯骨曲	85	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10450	65	降龙十八掌	20	0.wav
三生尘梦曲	86	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10450	66	降龙十八掌	20	0.wav
刹那芳华曲	87	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10450	67	降龙十八掌	20	0.wav
点穴截脉	88	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
四封四闭	89	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
反转乾坤	90	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
反转阴阳	91	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
悬丝引气	92	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
空手白刃	93	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
脱袍卸甲	94	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
狮子吼	95	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
凌空渡虚	96	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
涡旋劲	97	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
幻魔相	98	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
移山压顶	99	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
千斤坠	100	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
斩铁劲	101	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
岩打劲	102	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
回春术	103	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
回天术	104	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10450	68	降龙十八掌	20	0.wav
武当基本攻击	105	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10180	50	降龙十八掌	20	0.wav
仗剑式	106	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10180	53	降龙十八掌	20	0.wav
落剑式	107	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10180	54	降龙十八掌	20	0.wav
破剑式	108	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10180	55	降龙十八掌	20	0.wav
万剑诀	109	1	11	0	0	0	0	0	0	0	0	0	0	0	0	10180	51	降龙十八掌	20	0.wav
天剑伦	110	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10180	52	降龙十八掌	20	0.wav
八卦剑法	111	1	7	0	0	0	0	0	0	0	0	0	0	0	0	10180	56	降龙十八掌	20	0.wav
试胆剑	112	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10180	57	降龙十八掌	20	0.wav
炼心剑	113	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10180	58	降龙十八掌	20	0.wav
锻神剑	114	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10180	59	降龙十八掌	20	0.wav
紫盖剑法	115	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10180	60	降龙十八掌	20	0.wav
石廪剑法	116	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10180	61	降龙十八掌	20	0.wav
天柱剑法	117	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10180	62	降龙十八掌	20	0.wav
太极剑法	118	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10180	63	降龙十八掌	20	0.wav
阴阳两仪剑	119	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10180	64	降龙十八掌	20	0.wav
太乙分光剑	120	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10180	65	降龙十八掌	20	0.wav
混沌太初剑	121	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10180	66	降龙十八掌	20	0.wav
周流六虚剑	122	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10180	67	降龙十八掌	20	0.wav
谪仙笔	123	1	12	0	0	0	0	0	0	0	0	0	0	0	0	10270	53	降龙十八掌	20	0.wav
游仙笔	124	1	13	0	0	0	0	0	0	0	0	0	0	0	0	10270	54	降龙十八掌	20	0.wav
飞仙笔	125	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10270	55	降龙十八掌	20	0.wav
万物慑服	126	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10270	51	降龙十八掌	20	0.wav
天地不仁	127	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10270	52	降龙十八掌	20	0.wav
落笔生辉	128	1	14	0	0	0	0	0	0	0	0	0	0	0	0	10270	56	降龙十八掌	20	0.wav
妙笔生花	129	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10270	57	降龙十八掌	20	0.wav
笔扫千军	130	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10270	58	降龙十八掌	20	0.wav
笔下乾坤	131	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10270	59	降龙十八掌	20	0.wav
青史.太宗定唐	132	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10270	60	降龙十八掌	20	0.wav
青史.始皇扬鞭	133	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10270	61	降龙十八掌	20	0.wav
青史.神农挥锄	134	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10270	62	降龙十八掌	20	0.wav
青史.轩辕登岳	135	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10270	63	降龙十八掌	20	0.wav
兰亭集序	136	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10270	64	降龙十八掌	20	0.wav
太平清领书	137	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10270	65	降龙十八掌	20	0.wav
易经	138	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10270	66	降龙十八掌	20	0.wav
无字天书	139	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10270	67	降龙十八掌	20	0.wav
点穴截脉	140	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
四封四闭	141	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
反转乾坤	142	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
反转阴阳	143	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
悬丝引气	144	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
空手白刃	145	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
脱袍卸甲	146	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
狮子吼	147	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
凌空渡虚	148	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
涡旋劲	149	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
幻魔相	150	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
移山压顶	151	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
千斤坠	152	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
斩铁劲	153	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
岩打劲	154	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
回春术	155	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
回天术	156	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10270	68	降龙十八掌	20	0.wav
圣火基本攻击	157	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10540	50	降龙十八掌	20	0.wav
追命刀	158	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10540	53	降龙十八掌	20	0.wav
摄魂刀	159	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10540	54	降龙十八掌	20	0.wav
弑神刀	160	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10540	55	降龙十八掌	20	0.wav
饮血刃	161	1	11	0	0	0	0	0	0	0	0	0	0	0	0	10540	51	降龙十八掌	20	0.wav
杀生刃	162	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10540	52	降龙十八掌	20	0.wav
定波气旋斩	163	1	7	0	0	0	0	0	0	0	0	0	0	0	0	10540	56	降龙十八掌	20	0.wav
截江气旋斩	164	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10540	57	降龙十八掌	20	0.wav
逆流气旋斩	165	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10540	58	降龙十八掌	20	0.wav
断浪气旋斩	166	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10540	59	降龙十八掌	20	0.wav
残阳刀	167	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10540	60	降龙十八掌	20	0.wav
归尘刀	168	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10540	61	降龙十八掌	20	0.wav
狂澜刀	169	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10540	62	降龙十八掌	20	0.wav
燕返刀	170	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10540	63	降龙十八掌	20	0.wav
五虎断门刀	171	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10540	64	降龙十八掌	20	0.wav
镇海封潮刀	172	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10540	65	降龙十八掌	20	0.wav
龙战黄泉刀	173	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10540	66	降龙十八掌	20	0.wav
蚩尤灭世刀	174	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10540	67	降龙十八掌	20	0.wav
干戈起	175	1	12	0	0	0	0	0	0	0	0	0	0	0	0	10630	53	降龙十八掌	20	0.wav
血流红	176	1	13	0	0	0	0	0	0	0	0	0	0	0	0	10630	54	降龙十八掌	20	0.wav
霸业成	177	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10630	55	降龙十八掌	20	0.wav
天子望气	178	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10630	51	降龙十八掌	20	0.wav
谈笑杀人	179	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10630	52	降龙十八掌	20	0.wav
戮戟.十方界	180	1	14	0	0	0	0	0	0	0	0	0	0	0	0	10630	56	降龙十八掌	20	0.wav
戮戟.百人斩	181	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10630	57	降龙十八掌	20	0.wav
戮戟.千山横	182	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10630	58	降龙十八掌	20	0.wav
戮戟.万骨枯	183	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10630	59	降龙十八掌	20	0.wav
一夫当关	184	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10630	60	降龙十八掌	20	0.wav
三军易辟	185	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10630	61	降龙十八掌	20	0.wav
血战八方	186	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10630	62	降龙十八掌	20	0.wav
横扫千军	187	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10630	63	降龙十八掌	20	0.wav
裂地摧城	188	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10630	64	降龙十八掌	20	0.wav
杀身成仁	189	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10630	65	降龙十八掌	20	0.wav
以杀止杀	190	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10630	66	降龙十八掌	20	0.wav
遇佛杀佛	191	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10630	67	降龙十八掌	20	0.wav
点穴截脉	192	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
四封四闭	193	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
反转乾坤	194	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
反转阴阳	195	1	100	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
悬丝引气	196	1	110	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
空手白刃	197	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
脱袍卸甲	198	1	90	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
狮子吼	199	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
凌空渡虚	200	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
涡旋劲	201	1	80	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
幻魔相	202	1	70	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
移山压顶	203	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
千斤坠	204	1	60	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
斩铁劲	205	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
岩打劲	206	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
回春术	207	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
回天术	208	1	140	0	0	0	0	0	0	0	0	0	0	0	0	10630	68	降龙十八掌	20	0.wav
星宿基本攻击	209	1	1	0	0	0	0	0	0	0	0	0	0	0	0	10720	50	降龙十八掌	20	0.wav
疾风钩	210	1	12	0	0	0	0	0	0	0	0	0	0	0	0	10720	53	降龙十八掌	20	0.wav
乱影钩	211	1	13	0	0	0	0	0	0	0	0	0	0	0	0	10720	54	降龙十八掌	20	0.wav
朔光钩	212	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10720	55	降龙十八掌	20	0.wav
花开一瞬	213	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10720	51	降龙十八掌	20	0.wav
玉老千年	214	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10720	52	降龙十八掌	20	0.wav
星罗.昊天	215	1	14	0	0	0	0	0	0	0	0	0	0	0	0	10720	56	降龙十八掌	20	0.wav
星罗.炎天	216	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10720	57	降龙十八掌	20	0.wav
星罗.苍天	217	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10720	58	降龙十八掌	20	0.wav
星罗.钧天	218	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10720	59	降龙十八掌	20	0.wav
星宿钩法.玄武	219	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10720	60	降龙十八掌	20	0.wav
星宿钩法.朱雀	220	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10720	61	降龙十八掌	20	0.wav
星宿钩法.白虎	221	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10720	62	降龙十八掌	20	0.wav
星宿钩法.青龙	222	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10720	63	降龙十八掌	20	0.wav
七杀乱世	223	1	50	0	0	0	0	0	0	0	0	0	0	0	0	10720	64	降龙十八掌	20	0.wav
破军纵横	224	1	85	0	0	0	0	0	0	0	0	0	0	0	0	10720	65	降龙十八掌	20	0.wav
贪狼无尽	225	1	95	0	0	0	0	0	0	0	0	0	0	0	0	10720	66	降龙十八掌	20	0.wav
天下易主	226	1	105	0	0	0	0	0	0	0	0	0	0	0	0	10720	67	降龙十八掌	20	0.wav
卧云舞	227	1	2	0	0	0	0	0	0	0	0	0	0	0	0	10810	53	降龙十八掌	20	0.wav
枕月舞	228	1	16	0	0	0	0	0	0	0	0	0	0	0	0	10810	54	降龙十八掌	20	0.wav
摘星舞	229	1	40	0	0	0	0	0	0	0	0	0	0	0	0	10810	55	降龙十八掌	20	0.wav
飞星传恨	230	1	11	0	0	0	0	0	0	0	0	0	0	0	0	10810	51	降龙十八掌	20	0.wav
流星火雨	231	1	75	0	0	0	0	0	0	0	0	0	0	0	0	10810	52	降龙十八掌	20	0.wav
弥气飘踪舞	232	1	7	0	0	0	0	0	0	0	0	0	0	0	0	10810	56	降龙十八掌	20	0.wav
踏月留香舞	233	1	65	0	0	0	0	0	0	0	0	0	0	0	0	10810	57	降龙十八掌	20	0.wav
乘风蹈海舞	234	1	30	0	0	0	0	0	0	0	0	0	0	0	0	10810	58	降龙十八掌	20	0.wav
十六天魔舞	235	1	55	0	0	0	0	0	0	0	0	0	0	0	0	10810	59	降龙十八掌	20	0.wav
星光惹尘埃	236	1	20	0	0	0	0	0	0	0	0	0	0	0	0	10810	60	降龙十八掌	20	0.wav
星雨洗秋池	237	1	25	0	0	0	0	0	0	0	0	0	0	0	0	10810	61	降龙十八掌	20	0.wav
星潮击岸坠	238	1	35	0	0	0	0	0	0	0	0	0	0	0	0	10810	62	降龙十八掌	20	0.wav
星破楚天界	239	1	45	0	0	0	0	0	0	0	0	0	0	0	0	10810	63	降龙十八掌	20	0.wav
