//ÐÅÑö	Ö÷ÉñÐòºÅ	ÐÇËÞÐòºÅ	ÉúÃüÔö¼ÓÖµ	¾«Á¦Ôö¼ÓÖµ	ÌåÁ¦Ôö¼ÓÖµ	ÃüÖÐÔö¼ÓÖµ	¹¥»÷Ôö¼ÓÖµ	·ÀÓùÔö¼ÓÖµ	±©»÷Ôö¼ÓÖµ	ÆÆ»÷Ôö¼ÓÖµ	´©´ÌÔö¼ÓÖµ	¿¹±©Ôö¼ÓÖµ	¿¹ÆÆÔö¼ÓÖµ	¿¹´©Ôö¼ÓÖµ	ÉÁ±ÜÔö¼ÓÖµ	³É¹¦ÂÊ%	Òø±ÒÏûºÄ	×©Ê¯ÏûºÄ	µÀ¾ßÏûºÄ	ÃèÊö	Íæ¼ÒVIPµÈ¼¶	Ö÷Éñ¼¼ÄÜID	ÏûºÄÐÅÑöÖ®Á¦£¨ÕæÆø£©
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	2	13	52	0	0	0	0	0	0	0	0	0	0	0	0	89	7160	9	0	0	0	20002	3745
ÐÇËÞ2	2	14	0	0	0	0	17	0	0	0	0	0	0	0	0	88	10740	9	0	0	0	20002	7495
ÐÇËÞ3	2	15	0	0	0	0	0	17	0	0	0	0	0	0	0	86	14325	9	0	0	0	20002	14995
ÐÇËÞ4	2	16	52	0	0	0	0	0	0	0	0	0	0	0	0	84	25070	9	0	0	0	20002	22490
ÐÇËÞ5	2	17	0	0	0	8	0	0	0	0	0	0	0	0	0	81	35815	9	0	0	0	20002	37485
ÐÇËÞ6	2	18	0	0	0	0	0	0	0	0	0	0	0	0	8	78	42975	9	0	0	0	20002	52480
ÐÇËÞ7	2	19	52	0	0	0	0	0	0	0	0	0	0	0	0	74	57305	9	0	0	0	20002	63725
ÐÇËÞ8	2	20	0	0	0	0	17	0	0	0	0	0	0	0	0	69	71630	9	0	0	0	20002	74975
ÐÇËÞ9	2	21	0	0	0	0	0	17	0	0	0	0	0	0	0	64	78795	9	0	0	0	20002	82470
ÐÇËÞ10	2	22	52	0	0	0	0	0	0	0	0	0	0	0	0	58	100285	9	0	0	0	20002	104965
ÐÇËÞ11	2	23	0	0	0	8	0	0	0	0	0	0	0	0	0	52	128935	9	0	0	0	20002	134955
ÐÇËÞ12	2	24	0	0	0	0	0	0	0	0	0	0	0	0	8	45	143265	9	0	0	0	20002	149950
//¹þµÏË¹£¨Hades£©	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	3	25	79	0	0	0	0	0	0	0	0	0	0	0	0	79	9550	9	0	0	0	20003	7495
ÐÇËÞ2	3	26	0	0	0	0	26	0	0	0	0	0	0	0	0	78	14325	9	0	0	0	20003	14995
ÐÇËÞ3	3	27	0	0	0	0	0	26	0	0	0	0	0	0	0	76	19100	9	0	0	0	20003	29990
ÐÇËÞ4	3	28	79	0	0	0	0	0	0	0	0	0	0	0	0	74	33425	9	0	0	0	20003	44985
ÐÇËÞ5	3	29	0	0	0	13	0	0	0	0	0	0	0	0	0	71	47755	9	0	0	0	20003	74975
ÐÇËÞ6	3	30	0	0	0	0	0	0	0	0	0	0	0	0	13	68	57305	9	0	0	0	20003	104965
ÐÇËÞ7	3	31	79	0	0	0	0	0	0	0	0	0	0	0	0	64	76405	9	0	0	0	20003	127455
ÐÇËÞ8	3	32	0	0	0	0	26	0	0	0	0	0	0	0	0	60	95510	9	0	0	0	20003	149950
ÐÇËÞ9	3	33	0	0	0	0	0	26	0	0	0	0	0	0	0	55	105060	9	0	0	0	20003	164945
ÐÇËÞ10	3	34	79	0	0	0	0	0	0	0	0	0	0	0	0	50	133710	9	0	0	0	20003	209930
ÐÇËÞ11	3	35	0	0	0	13	0	0	0	0	0	0	0	0	0	44	171915	9	0	0	0	20003	269910
ÐÇËÞ12	3	36	0	0	0	0	0	0	0	0	0	0	0	0	13	38	191020	9	0	0	0	20003	299900
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	4	37	105	0	0	0	0	0	0	0	0	0	0	0	0	74	16710	9	0	0	0	20004	11245
ÐÇËÞ2	4	38	0	0	0	0	35	0	0	0	0	0	0	0	0	73	25070	9	0	0	0	20004	22490
ÐÇËÞ3	4	39	0	0	0	0	0	35	0	0	0	0	0	0	0	71	33425	9	0	0	0	20004	44985
ÐÇËÞ4	4	40	105	0	0	0	0	0	0	0	0	0	0	0	0	69	58500	9	0	0	0	20004	67475
ÐÇËÞ5	4	41	0	0	0	17	0	0	0	0	0	0	0	0	0	66	83570	9	0	0	0	20004	112460
ÐÇËÞ6	4	42	0	0	0	0	0	0	0	0	0	0	0	0	17	63	100285	9	0	0	0	20004	157445
ÐÇËÞ7	4	43	105	0	0	0	0	0	0	0	0	0	0	0	0	59	133710	9	0	0	0	20004	191185
ÐÇËÞ8	4	44	0	0	0	0	35	0	0	0	0	0	0	0	0	55	167140	9	0	0	0	20004	224925
ÐÇËÞ9	4	45	0	0	0	0	0	35	0	0	0	0	0	0	0	50	183855	9	0	0	0	20004	247420
ÐÇËÞ10	4	46	105	0	0	0	0	0	0	0	0	0	0	0	0	45	234000	9	0	0	0	20004	314895
ÐÇËÞ11	4	47	0	0	0	17	0	0	0	0	0	0	0	0	0	39	300855	9	0	0	0	20004	404865
ÐÇËÞ12	4	48	0	0	0	0	0	0	0	0	0	0	0	0	17	33	334285	9	0	0	0	20004	449850
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	5	49	131	0	0	0	0	0	0	0	0	0	0	0	0	69	23875	9	0	0	0	20005	18740
ÐÇËÞ2	5	50	0	0	0	0	43	0	0	0	0	0	0	0	0	68	35815	9	0	0	0	20005	37485
ÐÇËÞ3	5	51	0	0	0	0	0	43	0	0	0	0	0	0	0	66	47755	9	0	0	0	20005	74975
ÐÇËÞ4	5	52	131	0	0	0	0	0	0	0	0	0	0	0	0	64	83570	9	0	0	0	20005	112460
ÐÇËÞ5	5	53	0	0	0	21	0	0	0	0	0	0	0	0	0	61	119385	9	0	0	0	20005	187435
ÐÇËÞ6	5	54	0	0	0	0	0	0	0	0	0	0	0	0	21	58	143265	9	0	0	0	20005	262415
ÐÇËÞ7	5	55	131	0	0	0	0	0	0	0	0	0	0	0	0	54	191020	9	0	0	0	20005	318645
ÐÇËÞ8	5	56	0	0	0	0	43	0	0	0	0	0	0	0	0	50	238775	9	0	0	0	20005	374875
ÐÇËÞ9	5	57	0	0	0	0	0	43	0	0	0	0	0	0	0	45	262650	9	0	0	0	20005	412365
ÐÇËÞ10	5	58	131	0	0	0	0	0	0	0	0	0	0	0	0	40	334285	9	0	0	0	20005	524830
ÐÇËÞ11	5	59	0	0	0	21	0	0	0	0	0	0	0	0	0	34	429795	9	0	0	0	20005	674780
ÐÇËÞ12	5	60	0	0	0	0	0	0	0	0	0	0	0	0	21	28	477550	9	0	0	0	20005	749755
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	6	61	158	0	0	0	0	0	0	0	0	0	0	0	0	64	28650	9	0	0	0	20006	26240
ÐÇËÞ2	6	62	0	0	0	0	52	0	0	0	0	0	0	0	0	63	42975	9	0	0	0	20006	52480
ÐÇËÞ3	6	63	0	0	0	0	0	52	0	0	0	0	0	0	0	61	57305	9	0	0	0	20006	104965
ÐÇËÞ4	6	64	158	0	0	0	0	0	0	0	0	0	0	0	0	59	100285	9	0	0	0	20006	157445
ÐÇËÞ5	6	65	0	0	0	26	0	0	0	0	0	0	0	0	0	56	143265	9	0	0	0	20006	262415
ÐÇËÞ6	6	66	0	0	0	0	0	0	0	0	0	0	0	0	26	53	171915	9	0	0	0	20006	367380
ÐÇËÞ7	6	67	158	0	0	0	0	0	0	0	0	0	0	0	0	49	229225	9	0	0	0	20006	446105
ÐÇËÞ8	6	68	0	0	0	0	52	0	0	0	0	0	0	0	0	45	286530	9	0	0	0	20006	524830
ÐÇËÞ9	6	69	0	0	0	0	0	52	0	0	0	0	0	0	0	40	315180	9	0	0	0	20006	577310
ÐÇËÞ10	6	70	158	0	0	0	0	0	0	0	0	0	0	0	0	35	401140	9	0	0	0	20006	734760
ÐÇËÞ11	6	71	0	0	0	26	0	0	0	0	0	0	0	0	0	29	515755	9	0	0	0	20006	944690
ÐÇËÞ12	6	72	0	0	0	0	0	0	0	0	0	0	0	0	26	23	573060	9	0	0	0	20006	1049660
//ÖæË¹(Zeus)0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	7	73	184	0	0	0	0	0	0	0	0	0	0	0	0	59	38200	9	0	0	0	20007	31860
ÐÇËÞ2	7	74	0	0	0	0	61	0	0	0	0	0	0	0	0	58	57305	9	0	0	0	20007	63725
ÐÇËÞ3	7	75	0	0	0	0	0	61	0	0	0	0	0	0	0	56	76405	9	0	0	0	20007	127455
ÐÇËÞ4	7	76	184	0	0	0	0	0	0	0	0	0	0	0	0	54	133710	9	0	0	0	20007	191185
ÐÇËÞ5	7	77	0	0	0	30	0	0	0	0	0	0	0	0	0	51	191020	9	0	0	0	20007	318645
ÐÇËÞ6	7	78	0	0	0	0	0	0	0	0	0	0	0	0	30	48	229225	9	0	0	0	20007	446105
ÐÇËÞ7	7	79	184	0	0	0	0	0	0	0	0	0	0	0	0	44	305630	9	0	0	0	20007	541695
ÐÇËÞ8	7	80	0	0	0	0	61	0	0	0	0	0	0	0	0	40	382040	9	0	0	0	20007	637290
ÐÇËÞ9	7	81	0	0	0	0	0	61	0	0	0	0	0	0	0	35	420245	9	0	0	0	20007	701020
ÐÇËÞ10	7	82	184	0	0	0	0	0	0	0	0	0	0	0	0	30	534855	9	0	0	0	20007	892210
ÐÇËÞ11	7	83	0	0	0	30	0	0	0	0	0	0	0	0	0	24	687675	9	0	0	0	20007	1147125
ÐÇËÞ12	7	84	0	0	0	0	0	0	0	0	0	0	0	0	30	18	764080	9	0	0	0	20007	1274585
//ÖæË¹(Zeus)0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	8	85	210	0	0	0	0	0	0	0	0	0	0	0	0	54	47755	9	0	0	0	20008	37485
ÐÇËÞ2	8	86	0	0	0	0	70	0	0	0	0	0	0	0	0	53	71630	9	0	0	0	20008	74975
ÐÇËÞ3	8	87	0	0	0	0	0	70	0	0	0	0	0	0	0	51	95510	9	0	0	0	20008	149950
ÐÇËÞ4	8	88	210	0	0	0	0	0	0	0	0	0	0	0	0	49	167140	9	0	0	0	20008	224925
ÐÇËÞ5	8	89	0	0	0	35	0	0	0	0	0	0	0	0	0	46	238775	9	0	0	0	20008	374875
ÐÇËÞ6	8	90	0	0	0	0	0	0	0	0	0	0	0	0	35	43	286530	9	0	0	0	20008	524830
ÐÇËÞ7	8	91	210	0	0	0	0	0	0	0	0	0	0	0	0	39	382040	9	0	0	0	20008	637290
ÐÇËÞ8	8	92	0	0	0	0	70	0	0	0	0	0	0	0	0	35	477550	9	0	0	0	20008	749755
ÐÇËÞ9	8	93	0	0	0	0	0	70	0	0	0	0	0	0	0	30	525305	9	0	0	0	20008	824730
ÐÇËÞ10	8	94	210	0	0	0	0	0	0	0	0	0	0	0	0	25	668570	9	0	0	0	20008	1049660
ÐÇËÞ11	8	95	0	0	0	35	0	0	0	0	0	0	0	0	0	19	859590	9	0	0	0	20008	1349560
ÐÇËÞ12	8	96	0	0	0	0	0	0	0	0	0	0	0	0	35	13	955105	9	0	0	0	20008	1499515
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	9	97	237	0	0	0	0	0	0	0	0	0	0	0	0	49	52530	9	0	0	0	20009	41235
ÐÇËÞ2	9	98	0	0	0	0	79	0	0	0	0	0	0	0	0	48	78795	9	0	0	0	20009	82470
ÐÇËÞ3	9	99	0	0	0	0	0	79	0	0	0	0	0	0	0	46	105060	9	0	0	0	20009	164945
ÐÇËÞ4	9	100	237	0	0	0	0	0	0	0	0	0	0	0	0	44	183855	9	0	0	0	20009	247420
ÐÇËÞ5	9	101	0	0	0	39	0	0	0	0	0	0	0	0	0	41	262650	9	0	0	0	20009	412365
ÐÇËÞ6	9	102	0	0	0	0	0	0	0	0	0	0	0	0	39	38	315180	9	0	0	0	20009	577310
ÐÇËÞ7	9	103	237	0	0	0	0	0	0	0	0	0	0	0	0	34	420245	9	0	0	0	20009	701020
ÐÇËÞ8	9	104	0	0	0	0	79	0	0	0	0	0	0	0	0	30	525305	9	0	0	0	20009	824730
ÐÇËÞ9	9	105	0	0	0	0	0	79	0	0	0	0	0	0	0	25	577835	9	0	0	0	20009	907205
ÐÇËÞ10	9	106	237	0	0	0	0	0	0	0	0	0	0	0	0	20	735430	9	0	0	0	20009	1154625
ÐÇËÞ11	9	107	0	0	0	39	0	0	0	0	0	0	0	0	0	14	945550	9	0	0	0	20009	1484520
ÐÇËÞ12	9	108	0	0	0	0	0	0	0	0	0	0	0	0	39	8	1050615	9	0	0	0	20009	1649465
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	10	109	263	0	0	0	0	0	0	0	0	0	0	0	0	40	66855	9	0	0	0	20010	52480
ÐÇËÞ2	10	110	0	0	0	0	87	0	0	0	0	0	0	0	0	39	100285	9	0	0	0	20010	104965
ÐÇËÞ3	10	111	0	0	0	0	0	87	0	0	0	0	0	0	0	38	133710	9	0	0	0	20010	209930
ÐÇËÞ4	10	112	263	0	0	0	0	0	0	0	0	0	0	0	0	36	234000	9	0	0	0	20010	314895
ÐÇËÞ5	10	113	0	0	0	43	0	0	0	0	0	0	0	0	0	34	334285	9	0	0	0	20010	524830
ÐÇËÞ6	10	114	0	0	0	0	0	0	0	0	0	0	0	0	43	31	401140	9	0	0	0	20010	734760
ÐÇËÞ7	10	115	263	0	0	0	0	0	0	0	0	0	0	0	0	28	534855	9	0	0	0	20010	892210
ÐÇËÞ8	10	116	0	0	0	0	87	0	0	0	0	0	0	0	0	24	668570	9	0	0	0	20010	1049660
ÐÇËÞ9	10	117	0	0	0	0	0	87	0	0	0	0	0	0	0	20	735430	9	0	0	0	20010	1154625
ÐÇËÞ10	10	118	263	0	0	0	0	0	0	0	0	0	0	0	0	16	936000	9	0	0	0	20010	1469525
ÐÇËÞ11	10	119	0	0	0	43	0	0	0	0	0	0	0	0	0	11	1203430	9	0	0	0	20010	1889385
ÐÇËÞ12	10	120	0	0	0	0	0	0	0	0	0	0	0	0	43	6	1337145	9	0	0	0	20010	2099320
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	11	121	289	0	0	0	0	0	0	0	0	0	0	0	0	30	85955	9	0	0	0	20011	67475
ÐÇËÞ2	11	122	0	0	0	0	96	0	0	0	0	0	0	0	0	29	128935	9	0	0	0	20011	134955
ÐÇËÞ3	11	123	0	0	0	0	0	96	0	0	0	0	0	0	0	28	171915	9	0	0	0	20011	269910
ÐÇËÞ4	11	124	289	0	0	0	0	0	0	0	0	0	0	0	0	27	300855	9	0	0	0	20011	404865
ÐÇËÞ5	11	125	0	0	0	48	0	0	0	0	0	0	0	0	0	25	429795	9	0	0	0	20011	674780
ÐÇËÞ6	11	126	0	0	0	0	0	0	0	0	0	0	0	0	48	23	515755	9	0	0	0	20011	944690
ÐÇËÞ7	11	127	289	0	0	0	0	0	0	0	0	0	0	0	0	21	687675	9	0	0	0	20011	1147125
ÐÇËÞ8	11	128	0	0	0	0	96	0	0	0	0	0	0	0	0	18	859590	9	0	0	0	20011	1349560
ÐÇËÞ9	11	129	0	0	0	0	0	96	0	0	0	0	0	0	0	15	945550	9	0	0	0	20011	1484520
ÐÇËÞ10	11	130	289	0	0	0	0	0	0	0	0	0	0	0	0	12	1203430	9	0	0	0	20011	1889385
ÐÇËÞ11	11	131	0	0	0	48	0	0	0	0	0	0	0	0	0	8	1547270	9	0	0	0	20011	2429215
ÐÇËÞ12	11	132	0	0	0	0	0	0	0	0	0	0	0	0	48	4	1719185	9	0	0	0	20011	2699125
//ÖæË¹(Zeus)0		0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ÐÇËÞ1	12	133	316	0	0	0	0	0	0	0	0	0	0	0	0	20	95510	9	0	0	0	20012	74975
ÐÇËÞ2	12	134	0	0	0	0	105	0	0	0	0	0	0	0	0	20	143265	9	0	0	0	20012	149950
ÐÇËÞ3	12	135	0	0	0	0	0	105	0	0	0	0	0	0	0	19	191020	9	0	0	0	20012	299900
ÐÇËÞ4	12	136	316	0	0	0	0	0	0	0	0	0	0	0	0	18	334285	9	0	0	0	20012	449850
ÐÇËÞ5	12	137	0	0	0	52	0	0	0	0	0	0	0	0	0	17	477550	9	0	0	0	20012	749755
ÐÇËÞ6	12	138	0	0	0	0	0	0	0	0	0	0	0	0	52	16	573060	9	0	0	0	20012	1049660
ÐÇËÞ7	12	139	316	0	0	0	0	0	0	0	0	0	0	0	0	15	764080	9	0	0	0	20012	1274585
ÐÇËÞ8	12	140	0	0	0	0	105	0	0	0	0	0	0	0	0	13	955105	9	0	0	0	20012	1499515
ÐÇËÞ9	12	141	0	0	0	0	0	105	0	0	0	0	0	0	0	11	1050615	9	0	0	0	20012	1649465
ÐÇËÞ10	12	142	316	0	0	0	0	0	0	0	0	0	0	0	0	9	1337145	9	0	0	0	20012	2099320
ÐÇËÞ11	12	143	0	0	0	52	0	0	0	0	0	0	0	0	0	7	1719185	9	0	0	0	20012	2699125
ÐÇËÞ12	12	144	0	0	0	0	0	0	0	0	0	0	0	0	52	5	1910210	9	0	0	0	20012	2999030
