//名称	编号	技能等级	升级需求真气值	升级需求钱	门派	技能类型	技能属性 7 自己冲锋 8 击退目标	技能子属性	技能基础攻击	攻击方式	冷却组	本身冷却时间	技能最大距离	技能最小距离	技能攻击半径	技能攻击宽度	攻击人数	消耗MP	消耗HP	击退距离	仇恨值	是否是普通技能	伤害比率	眩晕状态下可否使用	子弹ID	吟唱时间	技能ICON	技能描述	技能效果	ICON位置	技能出处	技能对应技能书ID	消耗道具ID	每次消耗道具数量	技能激活需要人物等级
飞影六连斩	11101	12	9360	5962	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	66	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击162%伤害	伤害162%	1000	商店出售	211001	0	0	12
飞影六连斩	11101	13	10080	6420	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	67	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击163%伤害	伤害163%	1000	商店出售	211001	0	0	13
飞影六连斩	11101	14	10800	6879	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	68	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击164%伤害	伤害164%	1000	商店出售	211001	0	0	14
飞影六连斩	11101	15	11520	7337	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	69	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击165%伤害	伤害165%	1000	商店出售	211001	0	0	15
飞影六连斩	11101	16	12240	7796	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	70	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击166%伤害	伤害166%	1000	商店出售	211001	0	0	16
飞影六连斩	11101	17	12960	8255	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	71	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击167%伤害	伤害167%	1000	商店出售	211001	0	0	17
飞影六连斩	11101	18	13680	8713	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	72	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击168%伤害	伤害168%	1000	商店出售	211001	0	0	18
飞影六连斩	11101	19	14400	9172	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	73	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击169%伤害	伤害169%	1000	商店出售	211001	0	0	19
飞影六连斩	11101	20	15120	9630	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	74	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击170%伤害	伤害170%	1000	商店出售	211001	0	0	20
飞影六连斩	11101	21	15840	10089	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	75	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击171%伤害	伤害171%	1000	商店出售	211001	0	0	21
飞影六连斩	11101	22	16560	10548	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	76	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击172%伤害	伤害172%	1000	商店出售	211001	0	0	22
飞影六连斩	11101	23	17280	11006	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	77	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击173%伤害	伤害173%	1000	商店出售	211001	0	0	23
飞影六连斩	11101	24	18000	11465	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	78	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击174%伤害	伤害174%	1000	商店出售	211001	0	0	24
飞影六连斩	11101	25	18720	11923	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	79	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击175%伤害	伤害175%	1000	商店出售	211001	0	0	25
飞影六连斩	11101	26	19440	12382	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	80	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击176%伤害	伤害176%	1000	商店出售	211001	0	0	26
飞影六连斩	11101	27	20159	12840	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	81	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击177%伤害	伤害177%	1000	商店出售	211001	0	0	27
飞影六连斩	11101	28	20879	13299	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	82	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击178%伤害	伤害178%	1000	商店出售	211001	0	0	28
飞影六连斩	11101	29	21599	13758	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	83	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击179%伤害	伤害179%	1000	商店出售	211001	0	0	29
飞影六连斩	11101	30	22319	14216	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	84	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击180%伤害	伤害180%	1000	商店出售	211001	0	0	30
飞影六连斩	11101	31	23039	14675	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	85	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击181%伤害	伤害181%	1000	商店出售	211001	0	0	31
飞影六连斩	11101	32	23759	15133	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	86	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击182%伤害	伤害182%	1000	商店出售	211001	0	0	32
飞影六连斩	11101	33	24479	15592	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	87	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击183%伤害	伤害183%	1000	商店出售	211001	0	0	33
飞影六连斩	11101	34	25199	16051	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	88	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击184%伤害	伤害184%	1000	商店出售	211001	0	0	34
飞影六连斩	11101	35	25919	16509	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	89	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击185%伤害	伤害185%	1000	商店出售	211001	0	0	35
飞影六连斩	11101	36	26639	16968	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	90	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击186%伤害	伤害186%	1000	商店出售	211001	0	0	36
飞影六连斩	11101	37	27359	17426	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	91	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击187%伤害	伤害187%	1000	商店出售	211001	0	0	37
飞影六连斩	11101	38	28079	17885	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	92	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击188%伤害	伤害188%	1000	商店出售	211001	0	0	38
飞影六连斩	11101	39	28799	18343	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	93	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击189%伤害	伤害189%	1000	商店出售	211001	0	0	39
飞影六连斩	11101	40	29519	18802	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	94	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击190%伤害	伤害190%	1000	商店出售	211001	0	0	40
飞影六连斩	11101	41	30239	19261	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	95	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击191%伤害	伤害191%	1000	商店出售	211001	0	0	41
飞影六连斩	11101	42	30959	19719	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	96	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击192%伤害	伤害192%	1000	商店出售	211001	0	0	42
飞影六连斩	11101	43	31679	20178	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	97	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击193%伤害	伤害193%	1000	商店出售	211001	0	0	43
飞影六连斩	11101	44	32399	20636	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	98	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击194%伤害	伤害194%	1000	商店出售	211001	0	0	44
飞影六连斩	11101	45	33119	21095	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	99	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击195%伤害	伤害195%	1000	商店出售	211001	0	0	45
飞影六连斩	11101	46	33839	21554	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	100	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击196%伤害	伤害196%	1000	商店出售	211001	0	0	46
飞影六连斩	11101	47	34559	22012	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	101	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击197%伤害	伤害197%	1000	商店出售	211001	0	0	47
飞影六连斩	11101	48	35279	22471	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	102	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击198%伤害	伤害198%	1000	商店出售	211001	0	0	48
飞影六连斩	11101	49	35999	22929	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	103	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击199%伤害	伤害199%	1000	商店出售	211001	0	0	49
飞影六连斩	11101	50	36719	23388	3	1	8	0	0	3	0	5	200	10	1000	300	400	5	0	100	0	0	104	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击200%伤害	伤害200%	1000	商店出售	211001	0	0	50
飞影六连斩	11101	51	37439	23847	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	105	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击201%伤害	伤害201%	1000	商店出售	211001	0	0	51
飞影六连斩	11101	52	38159	24305	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	106	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击202%伤害	伤害202%	1000	商店出售	211001	0	0	52
飞影六连斩	11101	53	38879	24764	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	107	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击203%伤害	伤害203%	1000	商店出售	211001	0	0	53
飞影六连斩	11101	54	39599	25222	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	108	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击204%伤害	伤害204%	1000	商店出售	211001	0	0	54
飞影六连斩	11101	55	40319	25681	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	109	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击205%伤害	伤害205%	1000	商店出售	211001	0	0	55
飞影六连斩	11101	56	41039	26139	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	110	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击206%伤害	伤害206%	1000	商店出售	211001	0	0	56
飞影六连斩	11101	57	41759	26598	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	111	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击207%伤害	伤害207%	1000	商店出售	211001	0	0	57
飞影六连斩	11101	58	42479	27057	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	112	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击208%伤害	伤害208%	1000	商店出售	211001	0	0	58
飞影六连斩	11101	59	43199	27515	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	113	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击209%伤害	伤害209%	1000	商店出售	211001	0	0	59
飞影六连斩	11101	60	43919	27974	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	114	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击210%伤害	伤害210%	1000	商店出售	211001	0	0	60
飞影六连斩	11101	61	44639	28432	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	115	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击211%伤害	伤害211%	1000	商店出售	211001	0	0	61
飞影六连斩	11101	62	45359	28891	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	116	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击212%伤害	伤害212%	1000	商店出售	211001	0	0	62
飞影六连斩	11101	63	46079	29350	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	117	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击213%伤害	伤害213%	1000	商店出售	211001	0	0	63
飞影六连斩	11101	64	46799	29808	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	118	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击214%伤害	伤害214%	1000	商店出售	211001	0	0	64
飞影六连斩	11101	65	47519	30267	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	119	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击215%伤害	伤害215%	1000	商店出售	211001	0	0	65
飞影六连斩	11101	66	48239	30725	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	120	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击216%伤害	伤害216%	1000	商店出售	211001	0	0	66
飞影六连斩	11101	67	48959	31184	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	121	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击217%伤害	伤害217%	1000	商店出售	211001	0	0	67
飞影六连斩	11101	68	49679	31643	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	122	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击218%伤害	伤害218%	1000	商店出售	211001	0	0	68
飞影六连斩	11101	69	50399	32101	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	123	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击219%伤害	伤害219%	1000	商店出售	211001	0	0	69
飞影六连斩	11101	70	51119	32560	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	124	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击220%伤害	伤害220%	1000	商店出售	211001	0	0	70
飞影六连斩	11101	71	51839	33018	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	125	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击221%伤害	伤害221%	1000	商店出售	211001	0	0	71
飞影六连斩	11101	72	52559	33477	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	126	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击222%伤害	伤害222%	1000	商店出售	211001	0	0	72
飞影六连斩	11101	73	53279	33935	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	127	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击223%伤害	伤害223%	1000	商店出售	211001	0	0	73
飞影六连斩	11101	74	53999	34394	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	128	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击224%伤害	伤害224%	1000	商店出售	211001	0	0	74
飞影六连斩	11101	75	54719	34853	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	129	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击225%伤害	伤害225%	1000	商店出售	211001	0	0	75
飞影六连斩	11101	76	55439	35311	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	130	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击226%伤害	伤害226%	1000	商店出售	211001	0	0	76
飞影六连斩	11101	77	56159	35770	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	131	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击227%伤害	伤害227%	1000	商店出售	211001	0	0	77
飞影六连斩	11101	78	56879	36228	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	132	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击228%伤害	伤害228%	1000	商店出售	211001	0	0	78
飞影六连斩	11101	79	57599	36687	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	133	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击229%伤害	伤害229%	1000	商店出售	211001	0	0	79
飞影六连斩	11101	80	58319	37146	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	134	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击230%伤害	伤害230%	1000	商店出售	211001	0	0	80
飞影六连斩	11101	81	59039	37604	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	135	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击231%伤害	伤害231%	1000	商店出售	211001	0	0	81
飞影六连斩	11101	82	59759	38063	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	136	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击232%伤害	伤害232%	1000	商店出售	211001	0	0	82
飞影六连斩	11101	83	60478	38521	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	137	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击233%伤害	伤害233%	1000	商店出售	211001	0	0	83
飞影六连斩	11101	84	61198	38980	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	138	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击234%伤害	伤害234%	1000	商店出售	211001	0	0	84
飞影六连斩	11101	85	61918	39439	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	139	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击235%伤害	伤害235%	1000	商店出售	211001	0	0	85
飞影六连斩	11101	86	62638	39897	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	140	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击236%伤害	伤害236%	1000	商店出售	211001	0	0	86
飞影六连斩	11101	87	63358	40356	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	141	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击237%伤害	伤害237%	1000	商店出售	211001	0	0	87
飞影六连斩	11101	88	64078	40814	3	1	8	0	0	3	0	5	200	10	1000	300	1000	5	0	100	0	0	142	0	0	0	11101	对前方200米扇形范围内的所有目标，造成两次伤害，每次造成基础攻击238%伤害	伤害238%	1000	商店出售	211001	0	0	88
