ID	RefiningTime	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	MagicCrit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	DecreaseEnergyConsume	Level1Exp	Level2Exp	Level3Exp	Level4Exp	Level5Exp	
13303.000	1.000	0.000	0.000	0.000	39.000	0.000	0.000	0.000	0.000	0.000		12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13402.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13502.000	1.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000		0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
13602.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	20.000					
11104.000	3.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11105.000	3.000	0.000	0.000	0.000	0.000	17.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11204.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11205.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11304.000	3.000	0.000	0.000	0.000	159.000	0.000	0.000	0.000	0.000	0.000		64.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11305.000	3.000	0.000	0.000	0.000	300.000	0.000	0.000	0.000	0.000	0.000		111.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11403.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11404.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	2.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11503.000	3.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000	0.000		0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11504.000	3.000	0.000	0.000	0.000	0.000	0.000	8.000	0.000	0.000	0.000		0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11603.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
11604.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12104.000	3.000	0.000	0.000	0.000	0.000	7.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12105.000	3.000	0.000	0.000	0.000	0.000	13.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12204.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12205.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	30.000	50.000	80.000			
12304.000	3.000	0.000	0.000	0.000	40.000	0.000	0.000	0.000	0.000	0.000		16.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12305.000	3.000	0.000	0.000	0.000	70.000	0.000	0.000	0.000	0.000	0.000		28.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12403.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3.000		0.000	0.000	0.000	0.000	3.000	0.000	0.000	0.000	30.000	50.000	80.000			
12404.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000		0.000	0.000	0.000	0.000	4.000	0.000	0.000	0.000	30.000	50.000	80.000			
12503.000	3.000	0.000	0.000	0.000	0.000	0.000	19.000	0.000	0.000	0.000		0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12504.000	3.000	0.000	0.000	0.000	0.000	0.000	34.000	0.000	0.000	0.000		0.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
12603.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	30.000	50.000	80.000			
12604.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	30.000	50.000	80.000			
13104.000	3.000	0.000	0.000	0.000	0.000	12.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	2.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13105.000	3.000	0.000	0.000	0.000	0.000	22.000	0.000	0.000	0.000	0.000		0.000	0.000	4.000	3.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13204.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13205.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13304.000	3.000	0.000	0.000	0.000	67.000	0.000	0.000	0.000	0.000	0.000		20.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13305.000	3.000	0.000	0.000	0.000	129.000	0.000	0.000	0.000	0.000	0.000		39.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13403.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13404.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13503.000	3.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000		0.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13504.000	3.000	0.000	0.000	0.000	0.000	0.000	16.000	0.000	0.000	0.000		0.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13603.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	30.000	50.000	80.000			
13604.000	3.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000	30.000	50.000	80.000			
11106.000	5.000	0.000	0.000	0.000	0.000	28.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11107.000	5.000	0.000	0.000	0.000	0.000	44.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	4.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11108.000	5.000	0.000	0.000	0.000	0.000	62.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	5.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11206.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	17.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11207.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	31.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11208.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	44.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11306.000	5.000	0.000	0.000	0.000	506.000	0.000	0.000	0.000	0.000	0.000		177.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11307.000	5.000	0.000	0.000	0.000	804.000	0.000	0.000	0.000	0.000	0.000		282.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11308.000	5.000	0.000	0.000	0.000	1134.000	0.000	0.000	0.000	0.000	0.000		397.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11405.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	4.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11406.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11505.000	5.000	0.000	0.000	0.000	0.000	0.000	13.000	0.000	0.000	0.000		0.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11506.000	5.000	0.000	0.000	0.000	0.000	0.000	22.000	0.000	0.000	0.000		0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
11605.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	4.000	0.000	60.000	100.000	160.000	300.000	500.000	
11606.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	6.000	0.000	60.000	100.000	160.000	300.000	500.000	
12106.000	5.000	0.000	0.000	0.000	0.000	20.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12107.000	5.000	0.000	0.000	0.000	0.000	33.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12108.000	5.000	0.000	0.000	0.000	0.000	46.000	0.000	0.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12206.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12207.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12208.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.010	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12306.000	5.000	0.000	0.000	0.000	112.000	0.000	0.000	0.000	0.000	0.000		45.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12307.000	5.000	0.000	0.000	0.000	175.000	0.000	0.000	0.000	0.000	0.000		70.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12308.000	5.000	0.000	0.000	0.000	244.000	0.000	0.000	0.000	0.000	0.000		98.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12405.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000		0.000	0.000	0.000	0.000	6.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12406.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12.000		0.000	0.000	0.000	0.000	9.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12505.000	5.000	0.000	0.000	0.000	0.000	0.000	57.000	0.000	0.000	0.000		0.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12506.000	5.000	0.000	0.000	0.000	0.000	0.000	96.000	0.000	0.000	0.000		0.000	11.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
12605.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	3.000	0.000	60.000	100.000	160.000	300.000	500.000	
12606.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	9.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	5.000	0.000	60.000	100.000	160.000	300.000	500.000	
13106.000	5.000	0.000	0.000	0.000	0.000	35.000	0.000	0.000	0.000	0.000		0.000	0.000	7.000	5.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13107.000	5.000	0.000	0.000	0.000	0.000	56.000	0.000	0.000	0.000	0.000		0.000	0.000	11.000	7.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13108.000	5.000	0.000	0.000	0.000	0.000	77.000	0.000	0.000	0.000	0.000		0.000	0.000	15.000	9.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13206.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	15.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13207.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	24.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13208.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	33.000	0.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13306.000	5.000	0.000	0.000	0.000	222.000	0.000	0.000	0.000	0.000	0.000		67.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13307.000	5.000	0.000	0.000	0.000	355.000	0.000	0.000	0.000	0.000	0.000		107.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13308.000	5.000	0.000	0.000	0.000	503.000	0.000	0.000	0.000	0.000	0.000		151.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13405.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13406.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	19.000		0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13505.000	5.000	0.000	0.000	0.000	0.000	0.000	26.000	0.000	0.000	0.000		0.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13506.000	5.000	0.000	0.000	0.000	0.000	0.000	44.000	0.000	0.000	0.000		0.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	60.000	100.000	160.000	300.000	500.000	
13605.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	7.000	0.000	60.000	100.000	160.000	300.000	500.000	
13606.000	5.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	8.000	0.000		0.000	0.000	0.000	0.000	0.000	0.000	10.000	0.000	60.000	100.000	160.000	300.000	500.000	
