ID	HardLevel	LevelLimit	Exp	Tickets	Cost	URL	Layout	MonsterStar	MonsterRank	monster1	monster2	monster3	monster4	monster5	monster6	monster7	monster8	monster9	monster10	monster11	monster12	monster13	monster14	monster15	music	MissionTalk	
100029.000	1.000		151.000	-1.000	6.000	taohuayuan_done	baitian_02	2.000	3.000	1007030.000	1016030.000	1016030.000	1016030.000		1008030.000	1014030.000	1014030.000			1014030.000	1016030.000	1016030.000	1135030.000	1990030.000	ZhanDou_03	3-10guan	
100030.000	1.000		156.000	-1.000	6.000	wulinzhizhan_done	yewan_01	2.000	3.000	1025031.000	1025031.000	1010031.000	1010031.000		1002031.000	1012031.000	1012031.000	1012031.000		1025031.000	1010031.000		1110031.000	1990031.000	ZhanDou_02	4-1guan	
100031.000	1.000		161.000	-1.000	6.000	zhulinzhizhan_done	baitian_05	2.000	3.000	1004032.000	1009032.000	1009032.000	1009032.000		1004032.000	1014032.000	1014032.000			1009032.000	1009032.000	1004032.000	1009032.000	1990032.000	ZhanDou_03	4-2guan	
100032.000	1.000		166.000	-1.000	6.000	hebianjunying_done	yewan_04	2.000	3.000	1018033.000	1013033.000	1013033.000			1003033.000	1003033.000	1013033.000	1026033.000	1026033.000	1026033.000	1026033.000		1102033.000	1990033.000	ZhanDou_03	4-3guan	
100033.000	1.000		171.000	-1.000	6.000	chengmenzhizhan_done	baitian_03	2.000	3.000	1018034.000	1010034.000	1016034.000	1016034.000		1005034.000	1005034.000	1010034.000			1025034.000	1010034.000		1129034.000	1990034.000	ZhanDou_02	4-4guan	
100034.000	1.000		176.000	-1.000	6.000	xiagu_done	baitian_03	2.000	3.000	1025035.000	1006035.000	1010035.000	1010035.000		1022035.000	1023035.000	1023035.000	1023035.000		1009035.000	1009035.000		1120035.000	1990035.000	ZhanDou_01	4-5guan	
100035.000	1.000		181.000	-1.000	6.000	hebianjunying_done	yewan_01	2.000	3.000	1005036.000	1020036.000	1020036.000	1020036.000		1008036.000	1016036.000	1016036.000			1008036.000	1005036.000	1026036.000	1112036.000	1990036.000	ZhanDou_01	4-6guan	
100036.000	1.000		186.000	-1.000	6.000	wulinzhizhan_done	baitian_01	2.000	3.000	1006037.000	1006037.000	1026037.000	1026037.000		1001037.000	1014037.000		1026037.000	1122037.000	1018037.000	1020037.000		1127037.000	1990037.000	ZhanDou_03	4-7guan	
100037.000	1.000		191.000	-1.000	6.000	shamo_done	yewan_02	2.000	3.000	1021038.000	1020038.000	1020038.000	1012038.000		1027038.000	1027038.000	1012038.000	1012038.000			1143038.000	1108038.000	1131038.000	1990038.000	ZhanDou_02	4-8guan	
100038.000	1.000		196.000	-1.000	6.000	taohuayuan_done	baitian_05	2.000	3.000	1005039.000	1001039.000	1024039.000	1010039.000	1024039.000	1005039.000	1005039.000	1010039.000	1024039.000		1012039.000		1109039.000	1108039.000	1990039.000	ZhanDou_01	4-9guan	
100039.000	1.000		201.000	-1.000	6.000	zhulinzhizhan_done	baitian_01	2.000	4.000	1025040.000	1026040.000	1026040.000	1026040.000		1025040.000	1025040.000	1010040.000	1010040.000		1003040.000	1026040.000	1140040.000	1129040.000	1990040.000	ZhanDou_01	4-10guan	
100040.000	1.000		206.000	-1.000	6.000	shamo_done	yewan_02	2.000	4.000	1022041.000	1022041.000	1026041.000	1026041.000		1006041.000	1006041.000	1014041.000	1014041.000		1006041.000	1014041.000		1111041.000	1990041.000	ZhanDou_03	5-1guan	
100041.000	1.000		211.000	-1.000	6.000	wulinzhizhan_done	yewan_02	2.000	4.000	1008042.000	1011042.000	1011042.000	1011042.000		1008042.000	1010042.000	1011042.000		1110042.000	1020042.000	1020042.000		1129042.000	1990042.000	ZhanDou_03	5-2guan	
100042.000	1.000		216.000	-1.000	6.000	taohuayuan_done	baitian_01	2.000	4.000	1006043.000	1006043.000	1014043.000	1014043.000		1004043.000	1001043.000	1012043.000	1012043.000	1106043.000	1009043.000	1009043.000	1009043.000	1120043.000	1990043.000	ZhanDou_01	5-3guan	
100043.000	1.000		221.000	-1.000	6.000	taohuayuan_done	baitian_04	2.000	4.000	1021044.000	1003044.000	1009044.000	1009044.000	1009044.000	1021044.000	1009044.000	1009044.000		1140044.000	1021044.000	1024044.000		1113044.000	1990044.000	ZhanDou_02	5-4guan	
100044.000	1.000		226.000	-1.000	6.000	hebianjunying_done	baitian_01	2.000	4.000	1018045.000	1013045.000	1013045.000			1018045.000	1026045.000	1026045.000		1102045.000	1026045.000	1026045.000	1026045.000	1101045.000	1990045.000	ZhanDou_02	5-5guan	
100045.000	1.000		230.000	-1.000	6.000	hebianjunying_done	yewan_01	2.000	4.000	1007046.000	1007046.000	1016046.000	1016046.000		1018046.000	1014046.000	1016046.000		1103046.000	1021046.000	1016046.000		1137046.000	1990046.000	ZhanDou_03	5-6guan	
100046.000	1.000		230.000	-1.000	6.000	xiagu_done	yewan_03	2.000	4.000	1025047.000		1010047.000	1010047.000	1012047.000	1002047.000	1012047.000	1012047.000		1104047.000	1016047.000	1012047.000		1133047.000	1990047.000	ZhanDou_01	5-7guan	
100047.000	1.000		230.000	-1.000	6.000	chengmenzhizhan_done	baitian_02	2.000	4.000	1018048.000	1013048.000	1013048.000	1013048.000		1018048.000	1026048.000	1026048.000	1026048.000		1026048.000	1026048.000		1141048.000	1990048.000	ZhanDou_01	5-8guan	
100048.000	1.000		230.000	-1.000	6.000	zhulinzhizhan_done	baitian_01	2.000	4.000	1007049.000	1007049.000	1016049.000	1016049.000		1008049.000	1014049.000	1014049.000				1009049.000	1138049.000	1117049.000	1990049.000	ZhanDou_01	5-9guan	
100049.000	1.000		230.000	-1.000	6.000	wulinzhizhan_done	baitian_03	2.000	4.000	1025050.000	1025050.000	1010050.000	1010050.000		1004050.000		1012050.000	1013050.000			1010050.000	1010050.000	1117050.000	1990050.000	ZhanDou_03	5-10guan	
100050.000	1.000	14.000	231.000	-1.000	6.000	shamo_done	baitian_02	2.000	4.000	1004051.000	1009051.000	1009051.000	1009051.000		1004051.000	1014051.000	1014051.000			1009051.000	1009051.000	1007051.000	1137051.000	1990051.000	ZhanDou_01	6-1guan	
100051.000	1.000		231.000	-1.000	6.000	shamo_done	baitian_03	2.000	4.000	1006052.000	1026052.000	1026052.000	1026052.000		1018052.000	1013052.000	1013052.000			1010052.000	1026052.000	1026052.000	1133052.000	1990052.000	ZhanDou_03	6-2guan	
100052.000	1.000		231.000	-1.000	6.000	chengmenzhizhan_done	baitian_02	2.000	4.000	1021053.000	1020053.000	1020053.000	1020053.000		1027053.000	1013053.000	1013053.000	1013053.000		1013053.000	1013053.000	1026053.000	1101053.000	1990053.000	ZhanDou_01	6-3guan	
100053.000	1.000		231.000	-1.000	6.000	wulinzhizhan_done	baitian_03	2.000	4.000	1004054.000	1001054.000	1024054.000	1024054.000		1004054.000	1001054.000	1010054.000	1010054.000			1013054.000	1010054.000	1118054.000	1990054.000	ZhanDou_03	6-4guan	
100054.000	1.000		231.000	-1.000	6.000	xiagu_done	yewan_01	2.000	4.000	1002055.000	1026055.000	1026055.000	1026055.000		1026055.000	1026055.000	1026055.000		1141055.000	1026055.000	1014055.000	1026055.000	1122055.000	1990055.000	ZhanDou_02	6-5guan	
100055.000	1.000		231.000	-1.000	6.000	zhulinzhizhan_done	yewan_02	2.000	4.000	1022056.000	1026056.000	1026056.000	1026056.000		1006056.000	1006056.000	1026056.000	1026056.000		1006056.000	1024056.000	1024056.000	1118056.000	1990056.000	ZhanDou_03	6-6guan	
100056.000	1.000		231.000	-1.000	6.000	zhulinzhizhan_done	baitian_03	2.000	4.000	1008057.000	1023057.000	1023057.000	1023057.000		1008057.000	1003057.000	1023057.000	1023057.000		1013057.000	1013057.000		1133057.000	1990057.000	ZhanDou_03	6-7guan	
100057.000	1.000		231.000	-1.000	6.000	wulinzhizhan_done	baitian_03	2.000	4.000	1006058.000	1014058.000	1014058.000			1008058.000	1012058.000	1012058.000		1130058.000		1023058.000	1023058.000	1117058.000	1990058.000	ZhanDou_02	6-8guan	
100058.000	1.000		231.000	-1.000	6.000	hebianjunying_done	baitian_01	2.000	4.000	1021059.000	1021059.000	1009059.000	1020059.000		1021059.000	1003059.000	1009059.000	1020059.000	1009059.000	1020059.000	1003059.000		1117059.000	1990059.000	ZhanDou_01	6-9guan	
100059.000	1.000		231.000	-1.000	6.000	wulinzhizhan_done	baitian_04	2.000	5.000	1018060.000		1013060.000	1013060.000		1018060.000	1026060.000	1026060.000			1026060.000		1117060.000	1138060.000	1990060.000	ZhanDou_01	6-10guan	
100060.000	1.000		232.000	-1.000	6.000	wulinzhizhan_done	baitian_03	3.000	5.000	1027061.000	1013061.000	1013061.000			1003061.000	1027061.000	1026061.000		1104061.000	1026061.000	1026061.000		1101061.000	1990061.000	ZhanDou_03	7-1guan	
100061.000	1.000		232.000	-1.000	6.000	taohuayuan_done	baitian_02	3.000	5.000	1021062.000	1020062.000				1027062.000	1012062.000	1012062.000			1004062.000	1001062.000		1129062.000	1990062.000	ZhanDou_03	7-2guan	
100062.000	1.000		232.000	-1.000	6.000	chengmenzhizhan_done	yewan_03	3.000	5.000	1007063.000	1024063.000	1024063.000			1004063.000	1010063.000	1010063.000		1107063.000	1013063.000			1140063.000	1990063.000	ZhanDou_03	7-3guan	
100063.000	1.000		232.000	-1.000	6.000	xiagu_done	baitian_04	3.000	5.000	1022064.000	1026064.000	1026064.000	1026064.000		1007064.000	1011064.000	1011064.000	1011064.000		1011064.000	1011064.000	1120064.000	1140064.000	1990064.000	ZhanDou_03	7-4guan	
100064.000	1.000		232.000	-1.000	6.000	wulinzhizhan_done	baitian_03	3.000	5.000	1022065.000	1026065.000	1026065.000	1026065.000		1004065.000	1026065.000	1026065.000	1026065.000		1001065.000	1016065.000		1117065.000	1990065.000	ZhanDou_02	7-5guan	
100065.000	1.000		232.000	-1.000	6.000	chengmenzhizhan_done	yewan_04	3.000	5.000	1008066.000	1023066.000	1023066.000	1023066.000		1007066.000	1003066.000	1023066.000	1023066.000	1023066.000	1014066.000	1003066.000	1113066.000	1107066.000	1990066.000	ZhanDou_01	7-6guan	
100066.000	1.000		232.000	-1.000	6.000	zhulinzhizhan_done	baitian_02	3.000	5.000	1006067.000	1006067.000	1012067.000	1014067.000		1008067.000	1012067.000	1012067.000	1012067.000		1003067.000	1026067.000	1026067.000	1117067.000	1990067.000	ZhanDou_01	7-7guan	
100067.000	1.000		232.000	-1.000	6.000	shamo_done	baitian_02	3.000	5.000	1021068.000	1021068.000	1009068.000	1009068.000		1002068.000	1002068.000	1009068.000	1009068.000	1105068.000	1001068.000	1011068.000	1011068.000	1138068.000	1990068.000	ZhanDou_01	7-8guan	
100068.000	1.000		232.000	-1.000	6.000	shamo_done	yewan_03	3.000	5.000	1018069.000	1013069.000	1013069.000	1013069.000		1018069.000	1026069.000	1026069.000	1026069.000		1009069.000		1113069.000	1117069.000	1990069.000	ZhanDou_01	7-9guan	
100069.000	1.000		232.000	-1.000	6.000	wulinzhizhan_done	baitian_01	3.000	6.000	1007070.000	1007070.000	1010070.000	1010070.000		1008070.000	1003070.000	1010070.000	1014070.000		1003070.000		1113070.000	1107070.000	1990070.000	ZhanDou_02	7-10guan	
100070.000	1.000		233.000	-1.000	6.000	taohuayuan_done	baitian_02	3.000	6.000	1022071.000	1009071.000	1009071.000	1012071.000		1007071.000	1009071.000	1012071.000	1012071.000		1005071.000	1129071.000	1105071.000	1108071.000	1990071.000	ZhanDou_01	8-1guan	
100071.000	1.000		233.000	-1.000	6.000	zhulinzhizhan_done	baitian_04	3.000	6.000	1018072.000	1024072.000	1024072.000	1024072.000		1027072.000	1009072.000	1012072.000	1009072.000		1027072.000	1027072.000	1110072.000	1129072.000	1990072.000	ZhanDou_03	8-2guan	
100072.000	1.000		233.000	-1.000	6.000	wulinzhizhan_done	yewan_03	3.000	6.000	1021073.000	1008073.000	1024073.000	1024073.000		1008073.000	1012073.000	1012073.000	1012073.000		1021073.000	1012073.000	1110073.000	1120073.000	1990073.000	ZhanDou_02	8-3guan	
100073.000	1.000	29.000	233.000	-1.000	6.000	wulinzhizhan_done	yewan_02	3.000	6.000	1004074.000	1004074.000	1012074.000	1009074.000		1004074.000	1001074.000	1012074.000	1012074.000		1012074.000	1009074.000	1113074.000	1117074.000	1990074.000	ZhanDou_03	8-4guan	
100074.000	1.000		233.000	-1.000	6.000	zhulinzhizhan_done	baitian_03	3.000	6.000	1018075.000	1018075.000	1009075.000	1009075.000		1021075.000	1021075.000	1009075.000	1009075.000	1125075.000	1009075.000	1009075.000	1012075.000	1108075.000	1990075.000	ZhanDou_02	8-5guan	
100075.000	1.000		233.000	-1.000	6.000	taohuayuan_done	yewan_01	3.000	6.000	1021076.000	1015076.000	1023076.000	1023076.000	1023076.000	1021076.000	1015076.000	1013076.000	1013076.000		1003076.000	1013076.000	1108076.000	1105076.000	1990076.000	ZhanDou_03	8-6guan	
100076.000	1.000		233.000	-1.000	6.000	wulinzhizhan_done	yewan_06	3.000	6.000	1004077.000	1004077.000	1012077.000	1012077.000		1021077.000	1003077.000	1024077.000	1024077.000		1012077.000	1140077.000	1120077.000	1113077.000	1990077.000	ZhanDou_03	8-7guan	
100077.000	1.000		233.000	-1.000	6.000	xiagu_done	baitian_01	3.000	6.000	1027078.000	1013078.000	1013078.000	1013078.000		1003078.000	1026078.000	1026078.000		1113078.000	1004078.000		1016078.000	1129078.000	1990078.000	ZhanDou_02	8-8guan	
100078.000	1.000		233.000	-1.000	6.000	xiagu_done	yewan_02	3.000	6.000	1022079.000	1026079.000	1026079.000	1026079.000		1007079.000	1003079.000	1023079.000	1023079.000		1022079.000		1010079.000	1120079.000	1990079.000	ZhanDou_01	8-9guan	
100079.000	1.000		233.000	-1.000	6.000	xiagu_done	baitian_03	3.000	6.000	1003080.000	1003080.000	1011080.000	1011080.000		1018080.000		1023080.000	1023080.000		1012080.000	1112080.000	1120080.000	1113080.000	1990080.000	ZhanDou_01	8-10guan	
100080.000	1.000		234.000	-1.000	6.000	taohuayuan_done	baitian_01	3.000	6.000	1022081.000	1026081.000	1026081.000	1026081.000		1006081.000	1006081.000	1014081.000		1137081.000	1021081.000	1013081.000		1130081.000	1990081.000	ZhanDou_03	9-1guan	
100081.000	1.000		234.000	-1.000	6.000	chengmenzhizhan_done	yewan_02	3.000	6.000	1008082.000	1011082.000	1011082.000	1011082.000		1008082.000	1010082.000	1010082.000	1011082.000		1010082.000		1111082.000	1115082.000	1990082.000	ZhanDou_03	9-2guan	
100082.000	1.000		234.000	-1.000	6.000	hebianjunying_done	baitian_01	3.000	6.000	1006083.000	1006083.000	1012083.000	1014083.000		1004083.000	1012083.000	1012083.000		1127083.000	1007083.000	1026083.000		1131083.000	1990083.000	ZhanDou_01	9-3guan	
100083.000	1.000		234.000	-1.000	6.000	hebianjunying_done	yewan_03	3.000	6.000	1021084.000	1021084.000	1009084.000	1009084.000		1021084.000	1021084.000	1009084.000	1009084.000		1001084.000	1021084.000	1133084.000	1127084.000	1990084.000	ZhanDou_02	9-4guan	
100084.000	1.000		234.000	-1.000	6.000	zhulinzhizhan_done	baitian_02	3.000	6.000	1018085.000	1013085.000	1013085.000	1013085.000		1018085.000	1026085.000	1026085.000	1026085.000		1018085.000	1026085.000	1110085.000	1140085.000	1990085.000	ZhanDou_02	9-5guan	
100085.000	1.000		234.000	-1.000	6.000	taohuayuan_done	baitian_03	3.000	6.000	1007086.000	1016086.000	1016086.000	1016086.000		1018086.000	1014086.000	1014086.000	1016086.000		1018086.000	1105086.000	1131086.000	1143086.000	1990086.000	ZhanDou_03	9-6guan	
100086.000	1.000		234.000	-1.000	6.000	hebianjunying_done	yewan_05	3.000	6.000	1025087.000	1025087.000	1010087.000	1010087.000		1002087.000	1012087.000	1012087.000	1012087.000		1014087.000	1002087.000	1125087.000	1105087.000	1990087.000	ZhanDou_01	9-7guan	
100087.000	1.000		234.000	-1.000	6.000	chengmenzhizhan_done	baitian_02	3.000	6.000	1018088.000	1018088.000	1013088.000	1013088.000		1018088.000	1026088.000	1026088.000	1026088.000		1013088.000	1013088.000	1119088.000	1131088.000	1990088.000	ZhanDou_01	9-8guan	
100088.000	1.000		234.000	-1.000	6.000	hebianjunying_done	baitian_04	3.000	6.000	1004089.000	1004089.000	1010089.000	1012089.000		1008089.000	1014089.000	1014089.000			1012089.000	1012089.000	1119089.000	1131089.000	1990089.000	ZhanDou_01	9-9guan	
100089.000	1.000		234.000	-1.000	6.000	taohuayuan_done	baitian_04	3.000	7.000	1027090.000	1012090.000	1010090.000	1010090.000		1004090.000	1002090.000	1023090.000	1023090.000		1002090.000	1023090.000	1127090.000	1103090.000	1990090.000	ZhanDou_03	9-10guan	
100090.000	1.000		235.000	-1.000	6.000	zhulinzhizhan_done	yewan_02	4.000	7.000	1007091.000	1007091.000	1020091.000	1020091.000		1007091.000	1023091.000	1023091.000		1109091.000	1007091.000	1010091.000	1010091.000	1135091.000	1990091.000	ZhanDou_01	10-1guan	
100091.000	1.000	39.000	235.000	-1.000	6.000	shamo_done	baitian_02	4.000	7.000	1025092.000	1025092.000	1026092.000	1026092.000		1006092.000	1026092.000	1026092.000	1026092.000		1014092.000	1014092.000	1026092.000	1117092.000	1990092.000	ZhanDou_03	10-2guan	
100092.000	1.000		235.000	-1.000	6.000	hebianjunying_done	yewan_03	4.000	7.000	1005093.000	1024093.000	1010093.000	1010093.000		1008093.000	1024093.000	1024093.000		1138093.000	1024093.000	1024093.000	1010093.000	1118093.000	1990093.000	ZhanDou_01	10-3guan	
100093.000	1.000		235.000	-1.000	6.000	xiagu_done	baitian_02	4.000	7.000	1004094.000	1004094.000	1011094.000	1013094.000	1013094.000	1021094.000	1021094.000	1013094.000	1013094.000	1013094.000	1004094.000	1013094.000	1113094.000	1129094.000	1990094.000	ZhanDou_03	10-4guan	
100094.000	1.000		235.000	-1.000	6.000	hebianjunying_done	baitian_02	4.000	7.000	1022095.000	1022095.000	1026095.000	1026095.000	1026095.000	1004095.000	1026095.000	1026095.000	1026095.000	1112095.000	1004095.000	1026095.000	1026095.000	1120095.000	1990095.000	ZhanDou_02	10-5guan	
100095.000	1.000		235.000	-1.000	6.000	zhulinzhizhan_done	yewan_01	4.000	7.000	1008096.000	1023096.000	1023096.000	1023096.000		1007096.000	1003096.000	1023096.000	1023096.000	1140096.000	1004096.000	1023096.000	1014096.000	1014096.000	1990096.000	ZhanDou_03	10-6guan	
100096.000	1.000		235.000	-1.000	6.000	zhulinzhizhan_done	baitian_02	4.000	7.000	1008097.000	1006097.000	1014097.000	1014097.000		1008097.000	1012097.000	1012097.000	1012097.000	1012097.000	1010097.000	1010097.000	1144097.000	1120097.000	1990097.000	ZhanDou_03	10-7guan	
100097.000	1.000		235.000	-1.000	6.000	shamo_done	baitian_03	4.000	7.000	1021098.000	1021098.000	1010098.000	1010098.000	1010098.000	1002098.000	1002098.000	1009098.000	1009098.000		1007098.000	1010098.000	1113098.000	1144098.000	1990098.000	ZhanDou_02	10-8guan	
100098.000	1.000		235.000	-1.000	6.000	zhulinzhizhan_done	yewan_04	4.000	7.000	1018099.000	1013099.000	1013099.000	1013099.000		1018099.000	1018099.000	1026099.000	1026099.000	1026099.000	1027099.000	1026099.000	1108099.000	1125099.000	1990099.000	ZhanDou_01	10-9guan	
100099.000	1.000		235.000	-1.000	6.000	shamo_done	baitian_05	4.000	8.000	1007100.000	1007100.000	1010100.000	1010100.000	1013100.000	1008100.000	1003100.000	1013100.000	1014100.000	1014100.000	1004100.000	1004100.000	1107100.000	1144100.000	1990100.000	ZhanDou_01	10-10guan	
100100.000	1.000	46.000	236.000	-1.000	6.000	wulinzhizhan_done	yewan_06	4.000	8.000	1006101.000	1006101.000	1026101.000	1026101.000	1026101.000	1021101.000	1021101.000	1026101.000	1026101.000	1026101.000	1012101.000	1021101.000	1122101.000	1143101.000	1990101.000	ZhanDou_02	11-1guan	
100101.000	1.000		236.000	-1.000	6.000	taohuayuan_done	baitian_05	4.000	8.000	1004102.000	1021102.000	1020102.000	1020102.000		1004102.000	1004102.000	1020102.000	1020102.000	1020102.000	1018102.000	1021102.000	1109102.000	1104102.000	1990102.000	ZhanDou_03	11-2guan	
