ID	Color	Type	Ability	Price	Gold	Cash	Honor	Exploit	Munition	ResolveSoulPoints	SoulPointsCost	Prestige	URL	ComposeNum	RefiningExp	ItemCompose	
90129.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	cyu_01	10.000			
90130.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zjiao_01	80.000			
90131.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	hgai_01	10.000			
90132.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	80.000			
90133.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zcang_01	10.000			
90134.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	10.000			
90135.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	hxiong_01	10.000			
90136.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	10.000			
90137.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	zrfren_01	10.000			
90138.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	wchou_01	80.000			
90139.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	30.000			
90140.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	ldian_01	80.000			
90141.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gfeng_01	30.000			
90142.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	mchao_01	80.000			
90143.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	squan_01	80.000			
90144.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	ccao_01	30.000			
90145.000	3.000	3.000		4000.000	20000.000	40.000	100.000	100.000	100.000	50.000	100.000	100.000	gning_01	30.000			
90146.000	3.000	3.000		4000.000	20000.000	120.000	300.000	300.000	300.000	50.000	100.000	100.000	ptong_01	30.000			
81104.000	3.000	4.000		750.000	1500.000	30.000	90.000	90.000	90.000	0.000	90.000	90.000	GuDingDao	5.000	10.000	11104.000	
81105.000	3.000	4.000		1125.000	2250.000	45.000	135.000	135.000	135.000	0.000	135.000	135.000	ZhangBaSheMao	10.000	19.000	11105.000	
81204.000	3.000	4.000		500.000	1000.000	20.000	60.000	60.000	60.000	0.000	60.000	60.000	LongLinKai	5.000	11.000	11204.000	
81205.000	3.000	4.000		725.000	1450.000	29.000	87.000	87.000	87.000	0.000	87.000	87.000	HanTieZhanKai	10.000	21.000	11205.000	
81304.000	3.000	4.000		425.000	850.000	17.000	51.000	51.000	51.000	0.000	51.000	51.000	LinJiaoKui	5.000	7.000	11304.000	
81305.000	3.000	4.000		650.000	1300.000	26.000	78.000	78.000	78.000	0.000	78.000	78.000	LongYinKui	10.000	13.000	11305.000	
81403.000	3.000	4.000		450.000	900.000	18.000	54.000	54.000	54.000	0.000	54.000	54.000	FuLongZhuo	5.000	5.000	11403.000	
81404.000	3.000	4.000		900.000	1800.000	36.000	108.000	108.000	108.000	0.000	108.000	108.000	PanLongZhuo	15.000	9.000	11404.000	
81503.000	3.000	4.000		525.000	1050.000	21.000	63.000	63.000	63.000	0.000	63.000	63.000	LongYuanJie	5.000	4.000	11503.000	
81504.000	3.000	4.000		1025.000	2050.000	41.000	123.000	123.000	123.000	0.000	123.000	123.000	LongWenJie	15.000	7.000	11504.000	
81603.000	3.000	4.000		400.000	800.000	16.000	48.000	48.000	48.000	0.000	48.000	48.000	TianGangXue	5.000	10.000	11603.000	
81604.000	3.000	4.000		800.000	1600.000	32.000	96.000	96.000	96.000	0.000	96.000	96.000	HunYuanXue	15.000	18.000	11604.000	
82104.000	3.000	4.000		750.000	1500.000	30.000	90.000	90.000	90.000	0.000	90.000	90.000	LiuLiShan	5.000	6.000	12104.000	
82105.000	3.000	4.000		1125.000	2250.000	45.000	135.000	135.000	135.000	0.000	135.000	135.000	XiaoYaoShan	10.000	12.000	12105.000	
82204.000	3.000	4.000		350.000	700.000	14.000	42.000	42.000	42.000	0.000	42.000	42.000	TianDiLingShan	5.000	8.000	12204.000	
82205.000	3.000	4.000		500.000	1000.000	20.000	60.000	60.000	60.000	0.000	60.000	60.000	HunTianYi	10.000	16.000	12205.000	
82304.000	3.000	4.000		375.000	750.000	15.000	45.000	45.000	45.000	0.000	45.000	45.000	HeLingGuan	5.000	5.000	12304.000	
82305.000	3.000	4.000		550.000	1100.000	22.000	66.000	66.000	66.000	0.000	66.000	66.000	GuiCaiGuan	10.000	8.000	12305.000	
82403.000	3.000	4.000		600.000	1200.000	24.000	72.000	72.000	72.000	0.000	72.000	72.000	HuPoHuan	5.000	10.000	12403.000	
82404.000	3.000	4.000		1200.000	2400.000	48.000	144.000	144.000	144.000	0.000	144.000	144.000	ShengMangHuan	15.000	16.000	12404.000	
82503.000	3.000	4.000		600.000	1200.000	24.000	72.000	72.000	72.000	0.000	72.000	72.000	ShengMangJie	5.000	6.000	12503.000	
82504.000	3.000	4.000		1200.000	2400.000	48.000	144.000	144.000	144.000	0.000	144.000	144.000	LanYueJie	15.000	9.000	12504.000	
82603.000	3.000	4.000		375.000	750.000	15.000	45.000	45.000	45.000	0.000	45.000	45.000	FuYuXue	5.000	3.000	12603.000	
82604.000	3.000	4.000		725.000	1450.000	29.000	87.000	87.000	87.000	0.000	87.000	87.000	HeYiXue	15.000	6.000	12604.000	
83104.000	3.000	4.000		675.000	1350.000	27.000	81.000	81.000	81.000	0.000	81.000	81.000	ZhenTianGong	5.000	12.000	13104.000	
83105.000	3.000	4.000		1000.000	2000.000	40.000	120.000	120.000	120.000	0.000	120.000	120.000	LuoYanGong	10.000	22.000	13105.000	
83204.000	3.000	4.000		400.000	800.000	16.000	48.000	48.000	48.000	0.000	48.000	48.000	LiuYunShan	5.000	10.000	13204.000	
83205.000	3.000	4.000		600.000	1200.000	24.000	72.000	72.000	72.000	0.000	72.000	72.000	PanLongJia	10.000	20.000	13205.000	
83304.000	3.000	4.000		525.000	1050.000	21.000	63.000	63.000	63.000	0.000	63.000	63.000	HanYuMao	5.000	1.000	13304.000	
83305.000	3.000	4.000		775.000	1550.000	31.000	93.000	93.000	93.000	0.000	93.000	93.000	LiuLiMao	10.000	2.000	13305.000	
83403.000	3.000	4.000		500.000	1000.000	20.000	60.000	60.000	60.000	0.000	60.000	60.000	FengShiWan	5.000	2.000	13403.000	
83404.000	3.000	4.000		975.000	1950.000	39.000	117.000	117.000	117.000	0.000	117.000	117.000	ShanLingWan	15.000	3.000	13404.000	
83503.000	3.000	4.000		525.000	1050.000	21.000	63.000	63.000	63.000	0.000	63.000	63.000	XunLingJie	5.000	1.000	13503.000	
83504.000	3.000	4.000		1025.000	2050.000	41.000	123.000	123.000	123.000	0.000	123.000	123.000	MiLiJie	15.000	2.000	13504.000	
83603.000	3.000	4.000		450.000	900.000	18.000	54.000	54.000	54.000	0.000	54.000	54.000	ShenXingXue	5.000	2.000	13603.000	
83604.000	3.000	4.000		900.000	1800.000	36.000	108.000	108.000	108.000	0.000	108.000	108.000	FengYangXue	15.000	3.000	13604.000	
81106.000	4.000	4.000		1575.000	3150.000	63.000	189.000	189.000	189.000	0.000	189.000	189.000	LongDanQiang	30.000	8.000	11106.000	
81107.000	4.000	4.000		1425.000	2850.000	57.000	171.000	171.000	171.000	0.000	171.000	171.000	QingLongYanYue	50.000	12.000	11107.000	
81206.000	4.000	4.000		1000.000	2000.000	40.000	120.000	120.000	120.000	0.000	120.000	120.000	ShangWuZhanKai	30.000	10.000	11206.000	
81207.000	4.000	4.000		900.000	1800.000	36.000	108.000	108.000	108.000	0.000	108.000	108.000	XueXiaoLianJia	50.000	15.000	11207.000	
81306.000	4.000	4.000		875.000	1750.000	35.000	105.000	105.000	105.000	0.000	105.000	105.000	XiaoXueKui	30.000	6.000	11306.000	
81307.000	4.000	4.000		800.000	1600.000	32.000	96.000	96.000	96.000	0.000	96.000	96.000	XuanLongKui	50.000	9.000	11307.000	
81405.000	4.000	4.000		950.000	1900.000	38.000	114.000	114.000	114.000	0.000	114.000	114.000	ShaLuZhuo	30.000	5.000	11405.000	
81406.000	4.000	4.000		1025.000	2050.000	41.000	123.000	123.000	123.000	0.000	123.000	123.000	ZhiYanZhuo	70.000	6.000	11406.000	
81505.000	4.000	4.000		1075.000	2150.000	43.000	129.000	129.000	129.000	0.000	129.000	129.000	PanLongJie	30.000	3.000	11505.000	
81506.000	4.000	4.000		1150.000	2300.000	46.000	138.000	138.000	138.000	0.000	138.000	138.000	JingHongJie	70.000	4.000	11506.000	
81605.000	4.000	4.000		825.000	1650.000	33.000	99.000	99.000	99.000	0.000	99.000	99.000	ZhuQueXue	30.000	7.000	11605.000	
81606.000	4.000	4.000		875.000	1750.000	35.000	105.000	105.000	105.000	0.000	105.000	105.000	TianFuXue	70.000	10.000	11606.000	
82106.000	4.000	4.000		1575.000	3150.000	63.000	189.000	189.000	189.000	0.000	189.000	189.000	YuXiaoShan	30.000	6.000	12106.000	
82107.000	4.000	4.000		1425.000	2850.000	57.000	171.000	171.000	171.000	0.000	171.000	171.000	LingXiaoShan	50.000	9.000	12107.000	
82206.000	4.000	4.000		700.000	1400.000	28.000	84.000	84.000	84.000	0.000	84.000	84.000	GuiWenYunShan	30.000	8.000	12206.000	
82207.000	4.000	4.000		625.000	1250.000	25.000	75.000	75.000	75.000	0.000	75.000	75.000	JinMangZhanYi	50.000	12.000	12207.000	
82306.000	4.000	4.000		750.000	1500.000	30.000	90.000	90.000	90.000	0.000	90.000	90.000	TianBinGuan	30.000	4.000	12306.000	
82307.000	4.000	4.000		675.000	1350.000	27.000	81.000	81.000	81.000	0.000	81.000	81.000	QiXingGuan	50.000	6.000	12307.000	
82405.000	4.000	4.000		1250.000	2500.000	50.000	150.000	150.000	150.000	0.000	150.000	150.000	MaNaoHuan	30.000	7.000	12405.000	
82406.000	4.000	4.000		1350.000	2700.000	54.000	162.000	162.000	162.000	0.000	162.000	162.000	WuYuHuan	70.000	11.000	12406.000	
82505.000	4.000	4.000		1250.000	2500.000	50.000	150.000	150.000	150.000	0.000	150.000	150.000	LengYueJie	30.000	4.000	12505.000	
82506.000	4.000	4.000		1350.000	2700.000	54.000	162.000	162.000	162.000	0.000	162.000	162.000	ShiLingJie	70.000	5.000	12506.000	
82605.000	4.000	4.000		750.000	1500.000	30.000	90.000	90.000	90.000	0.000	90.000	90.000	BaiHuXue	30.000	4.000	12605.000	
82606.000	4.000	4.000		825.000	1650.000	33.000	99.000	99.000	99.000	0.000	99.000	99.000	YingLingXue	70.000	5.000	12606.000	
83106.000	4.000	4.000		1375.000	2750.000	55.000	165.000	165.000	165.000	0.000	165.000	165.000	QiLinGong	30.000	10.000	13106.000	
83107.000	4.000	4.000		1250.000	2500.000	50.000	150.000	150.000	150.000	0.000	150.000	150.000	LongSheGong	50.000	15.000	13107.000	
83206.000	4.000	4.000		825.000	1650.000	33.000	99.000	99.000	99.000	0.000	99.000	99.000	ShenWuPiJia	30.000	9.000	13206.000	
83207.000	4.000	4.000		750.000	1500.000	30.000	90.000	90.000	90.000	0.000	90.000	90.000	FuHuZhanJia	50.000	14.000	13207.000	
83306.000	4.000	4.000		1075.000	2150.000	43.000	129.000	129.000	129.000	0.000	129.000	129.000	LuoYingMao	30.000	4.000	13306.000	
83307.000	4.000	4.000		975.000	1950.000	39.000	117.000	117.000	117.000	0.000	117.000	117.000	TianYiMao	50.000	6.000	13307.000	
83405.000	4.000	4.000		1000.000	2000.000	40.000	120.000	120.000	120.000	0.000	120.000	120.000	XunLingWan	30.000	7.000	13405.000	
83406.000	4.000	4.000		1075.000	2150.000	43.000	129.000	129.000	129.000	0.000	129.000	129.000	FengLingWan	70.000	10.000	13406.000	
83505.000	4.000	4.000		1075.000	2150.000	43.000	129.000	129.000	129.000	0.000	129.000	129.000	QianLongJie	30.000	4.000	13505.000	
83506.000	4.000	4.000		1150.000	2300.000	46.000	138.000	138.000	138.000	0.000	138.000	138.000	LingYunJie	70.000	5.000	13506.000	
83605.000	4.000	4.000		950.000	1900.000	38.000	114.000	114.000	114.000	0.000	114.000	114.000	QingLongXue	30.000	5.000	13605.000	
83606.000	4.000	4.000		1025.000	2050.000	41.000	123.000	123.000	123.000	0.000	123.000	123.000	YouLongXue	70.000	7.000	13606.000	
81208.000	4.000	4.000		1350.000	2700.000	54.000	162.000	162.000	162.000	0.000	162.000	162.000	ZhanShenKaiJia	90.000	11.000	11208.000	
82208.000	4.000	4.000		925.000	1850.000	37.000	111.000	111.000	111.000	0.000	111.000	111.000	FengHuangYuYi	90.000	12.000	12208.000	
83208.000	4.000	4.000		1100.000	2200.000	44.000	132.000	132.000	132.000	0.000	132.000	132.000	JiuHuangShenKai	90.000	13.000	13208.000	
81308.000	4.000	4.000		1175.000	2350.000	47.000	141.000	141.000	141.000	0.000	141.000	141.000	BaiYinShiZi	90.000	14.000	11308.000	
82308.000	4.000	4.000		1000.000	2000.000	40.000	120.000	120.000	120.000	0.000	120.000	120.000	NiePanGuan	90.000	15.000	12308.000	
83308.000	4.000	4.000		1425.000	2850.000	57.000	171.000	171.000	171.000	0.000	171.000	171.000	LuoShenMao	90.000	16.000	13308.000	
82108.000	4.000	4.000		2100.000	4200.000	84.000	252.000	252.000	252.000	0.000	252.000	252.000	XianDiShan	90.000	17.000	12108.000	
81108.000	4.000	4.000		2100.000	4200.000	84.000	252.000	252.000	252.000	0.000	252.000	252.000	FangTianHuaJi	90.000	18.000	11108.000	
83108.000	4.000	4.000		1850.000	3700.000	74.000	222.000	222.000	222.000	0.000	222.000	222.000	XuanYuanGong	90.000	19.000	13108.000	
