ID	Star	PowerGrowth	IntelligenceGrowth	AgilityGrowth	Item	Number	
122.000	2.000	6.500	4.300	2.400	90122.000	30.000	
122.000	3.000	7.600	5.400	3.300	90122.000	80.000	
122.000	4.000	8.700	6.500	4.200	90122.000	180.000	
122.000	5.000	9.800	7.600	5.100	90122.000	330.000	
123.000	1.000	1.800	2.800	4.000	90123.000	10.000	
123.000	2.000	2.750	3.700	5.200	90123.000	30.000	
123.000	3.000	3.700	4.600	6.400	90123.000	80.000	
123.000	4.000	4.650	5.500	7.600	90123.000	180.000	
123.000	5.000	5.600	6.400	8.800	90123.000	330.000	
124.000	1.000	4.800	1.500	1.200	90124.000	10.000	
124.000	2.000	6.000	2.250	2.100	90124.000	30.000	
124.000	3.000	7.200	3.000	2.800	90124.000	80.000	
124.000	4.000	8.400	3.750	3.500	90124.000	180.000	
124.000	5.000	10.300	4.500	4.200	90124.000	330.000	
125.000	1.000	2.300	3.000	2.000	90125.000	10.000	
125.000	2.000	3.000	4.250	3.000	90125.000	30.000	
125.000	3.000	3.400	5.500	4.000	90125.000	80.000	
125.000	4.000	4.250	6.750	5.000	90125.000	180.000	
125.000	5.000	5.100	8.000	6.000	90125.000	330.000	
126.000	1.000	3.700	3.000	1.500	90126.000	10.000	
126.000	2.000	5.100	4.100	2.100	90126.000	30.000	
126.000	3.000	6.500	5.200	2.700	90126.000	80.000	
126.000	4.000	7.900	6.300	3.300	90126.000	180.000	
126.000	5.000	9.300	7.400	3.900	90126.000	330.000	
127.000	1.000	1.800	4.000	1.600	90127.000	10.000	
127.000	2.000	2.700	5.300	2.400	90127.000	30.000	
127.000	3.000	3.600	6.600	3.200	90127.000	80.000	
127.000	4.000	4.500	7.900	4.000	90127.000	180.000	
127.000	5.000	5.400	9.200	4.800	90127.000	330.000	
128.000	1.000	1.600	2.800	1.300	90128.000	10.000	
128.000	2.000	2.500	3.900	2.200	90128.000	30.000	
128.000	3.000	3.400	5.000	3.100	90128.000	80.000	
128.000	4.000	4.300	6.100	4.000	90128.000	180.000	
128.000	5.000	5.200	7.200	4.900	90128.000	330.000	
129.000	1.000	2.000	2.700	1.200	90129.000	10.000	
129.000	2.000	2.900	3.950	2.000	90129.000	30.000	
129.000	3.000	3.800	5.200	2.800	90129.000	80.000	
129.000	4.000	4.700	6.450	3.600	90129.000	180.000	
129.000	5.000	5.600	7.700	4.400	90129.000	330.000	
130.000	1.000	3.000	3.700	1.900	90130.000	10.000	
130.000	2.000	3.900	4.600	2.800	90130.000	30.000	
130.000	3.000	5.200	5.500	3.700	90130.000	80.000	
130.000	4.000	6.500	6.400	4.600	90130.000	180.000	
130.000	5.000	7.800	7.300	5.500	90130.000	330.000	
131.000	1.000	2.900	1.300	1.400	90131.000	10.000	
131.000	2.000	4.000	2.050	2.500	90131.000	30.000	
131.000	3.000	5.100	2.800	3.600	90131.000	80.000	
131.000	4.000	6.200	3.550	4.700	90131.000	180.000	
131.000	5.000	7.300	4.300	5.800	90131.000	330.000	
132.000	1.000	3.500	3.400	1.600	90132.000	10.000	
132.000	2.000	4.900	4.300	2.400	90132.000	30.000	
132.000	3.000	6.300	5.200	3.200	90132.000	80.000	
132.000	4.000	7.700	6.100	4.000	90132.000	180.000	
132.000	5.000	9.100	7.000	4.800	90132.000	330.000	
133.000	1.000	3.200	1.400	1.300	90133.000	10.000	
133.000	2.000	4.300	2.450	2.100	90133.000	30.000	
133.000	3.000	5.400	3.500	2.900	90133.000	80.000	
133.000	4.000	6.500	4.550	3.700	90133.000	180.000	
133.000	5.000	7.600	5.600	4.500	90133.000	330.000	
134.000	1.000	2.800	2.000	1.200	90134.000	10.000	
134.000	2.000	4.000	3.000	1.800	90134.000	30.000	
134.000	3.000	5.200	4.000	2.400	90134.000	80.000	
134.000	4.000	6.400	5.000	3.000	90134.000	180.000	
134.000	5.000	7.600	6.000	3.600	90134.000	330.000	
135.000	1.000	2.700	1.800	1.300	90135.000	10.000	
135.000	2.000	3.800	3.200	1.800	90135.000	30.000	
135.000	3.000	4.900	4.600	2.300	90135.000	80.000	
135.000	4.000	6.000	6.000	2.800	90135.000	180.000	
135.000	5.000	7.100	7.400	3.300	90135.000	330.000	
136.000	1.000	1.200	1.100	2.700	90136.000	10.000	
136.000	2.000	2.050	2.150	4.000	90136.000	30.000	
136.000	3.000	2.900	3.200	5.300	90136.000	80.000	
136.000	4.000	3.750	4.250	6.600	90136.000	180.000	
136.000	5.000	4.600	5.300	7.900	90136.000	330.000	
137.000	1.000	1.200	3.200	1.300	90137.000	10.000	
137.000	2.000	2.000	4.400	2.350	90137.000	30.000	
137.000	3.000	2.800	5.600	3.400	90137.000	80.000	
137.000	4.000	3.600	6.800	4.450	90137.000	180.000	
137.000	5.000	4.400	8.000	5.500	90137.000	330.000	
138.000	1.000	2.000	2.300	3.900	90138.000	10.000	
138.000	2.000	2.400	3.700	5.300	90138.000	30.000	
138.000	3.000	2.800	5.100	6.700	90138.000	80.000	
138.000	4.000	3.200	6.500	8.100	90138.000	180.000	
138.000	5.000	3.600	7.900	9.500	90138.000	330.000	
139.000	1.000	2.200	2.000	1.600	90139.000	10.000	
139.000	2.000	3.300	3.100	2.400	90139.000	30.000	
139.000	3.000	4.400	4.200	3.200	90139.000	80.000	
139.000	4.000	5.500	5.300	4.000	90139.000	180.000	
139.000	5.000	6.600	6.400	4.800	90139.000	330.000	
140.000	1.000	1.600	1.600	4.100	90140.000	10.000	
140.000	2.000	2.400	2.400	5.400	90140.000	30.000	
140.000	3.000	3.200	3.200	6.700	90140.000	80.000	
140.000	4.000	4.000	4.000	8.000	90140.000	180.000	
140.000	5.000	4.800	4.800	9.300	90140.000	330.000	
141.000	1.000	2.600	1.200	2.100	90141.000	10.000	
141.000	2.000	3.500	2.000	3.300	90141.000	30.000	
141.000	3.000	4.400	2.800	4.500	90141.000	80.000	
141.000	4.000	5.300	3.600	5.700	90141.000	180.000	
141.000	5.000	6.200	4.400	6.900	90141.000	330.000	
142.000	1.000	4.500	2.000	1.700	90142.000	10.000	
142.000	2.000	6.000	2.900	2.300	90142.000	30.000	
142.000	3.000	7.500	3.800	3.000	90142.000	80.000	
142.000	4.000	9.000	4.700	3.700	90142.000	180.000	
142.000	5.000	10.500	5.600	4.400	90142.000	330.000	
143.000	1.000	2.200	3.000	2.700	90143.000	10.000	
143.000	2.000	3.100	4.200	3.800	90143.000	30.000	
143.000	3.000	4.000	5.400	4.900	90143.000	80.000	
143.000	4.000	4.900	6.600	6.000	90143.000	180.000	
143.000	5.000	5.800	7.800	7.100	90143.000	330.000	
144.000	1.000	2.100	3.900	2.100	90144.000	10.000	
144.000	2.000	3.000	5.200	3.000	90144.000	30.000	
144.000	3.000	3.900	6.500	3.900	90144.000	80.000	
144.000	4.000	4.800	7.800	4.800	90144.000	180.000	
144.000	5.000	5.700	9.100	5.700	90144.000	330.000	
145.000	1.000	1.700	1.900	2.400	90145.000	10.000	
145.000	2.000	2.500	2.850	3.600	90145.000	30.000	
145.000	3.000	3.300	3.800	4.800	90145.000	80.000	
145.000	4.000	4.100	4.750	6.000	90145.000	180.000	
145.000	5.000	4.900	5.700	7.200	90145.000	330.000	
146.000	1.000	1.900	4.400	1.800	90146.000	10.000	
146.000	2.000	2.850	5.750	3.200	90146.000	30.000	
146.000	3.000	3.800	7.100	3.200	90146.000	80.000	
146.000	4.000	4.750	8.450	4.000	90146.000	180.000	
146.000	5.000	5.700	9.800	4.800	90146.000	330.000	
501.000	1.000	2.900	1.600	1.700	90101.000	10.000	
501.000	2.000	4.350	2.400	2.550	90101.000	30.000	
501.000	3.000	5.800	3.200	3.400	90101.000	80.000	
501.000	4.000	7.250	4.000	4.250	90101.000	180.000	
501.000	5.000	8.700	4.800	5.100	90101.000	330.000	
502.000	1.000	3.300	1.900	1.100	90102.000	10.000	
502.000	2.000	4.950	2.850	1.650	90102.000	30.000	
502.000	3.000	6.600	3.800	2.200	90102.000	80.000	
502.000	4.000	8.250	4.750	2.720	90102.000	180.000	
502.000	5.000	9.900	5.700	3.300	90102.000	330.000	
503.000	1.000	1.600	3.300	2.000	90103.000	10.000	
503.000	2.000	2.400	4.950	3.000	90103.000	30.000	
503.000	3.000	3.200	6.600	4.000	90103.000	80.000	
503.000	4.000	4.000	8.250	5.000	90103.000	180.000	
503.000	5.000	4.800	9.900	6.000	90103.000	330.000	
504.000	1.000	1.900	1.700	2.800	90104.000	10.000	
504.000	2.000	2.850	2.550	4.200	90104.000	30.000	
504.000	3.000	3.800	3.400	5.600	90104.000	80.000	
504.000	4.000	4.750	4.250	7.000	90104.000	180.000	
504.000	5.000	5.700	5.100	8.400	90104.000	330.000	
505.000	1.000	1.200	3.000	2.000	90105.000	10.000	
505.000	2.000	1.800	4.500	3.000	90105.000	30.000	
505.000	3.000	2.400	6.000	4.000	90105.000	80.000	
505.000	4.000	3.000	7.500	5.000	90105.000	180.000	
505.000	5.000	3.600	9.000	6.000	90105.000	330.000	
506.000	1.000	2.200	3.000	1.400	90106.000	10.000	
506.000	2.000	3.300	4.500	2.100	90106.000	30.000	
506.000	3.000	4.400	6.000	2.800	90106.000	80.000	
506.000	4.000	5.500	7.500	3.500	90106.000	180.000	
506.000	5.000	6.600	9.000	4.200	90106.000	330.000	
507.000	1.000	1.700	1.800	1.400	90107.000	10.000	
507.000	2.000	2.550	2.700	3.400	90107.000	30.000	
507.000	3.000	3.400	3.600	5.600	90107.000	80.000	
507.000	4.000	4.250	4.500	7.000	90107.000	180.000	
507.000	5.000	5.100	5.400	9.600	90107.000	330.000	
508.000	1.000	2.300	2.800	1.200	90108.000	10.000	
508.000	2.000	3.450	4.200	1.800	90108.000	30.000	
508.000	3.000	4.600	5.600	2.400	90108.000	80.000	
508.000	4.000	5.750	7.000	3.000	90108.000	180.000	
508.000	5.000	6.900	8.400	3.600	90108.000	330.000	
509.000	1.000	2.500	2.900	1.600	90109.000	10.000	
509.000	2.000	3.750	4.350	2.400	90109.000	30.000	
509.000	3.000	5.000	5.800	3.200	90109.000	80.000	
509.000	4.000	6.250	7.250	4.000	90109.000	180.000	
509.000	5.000	7.500	8.700	4.800	90109.000	330.000	
510.000	1.000	1.700	2.900	1.600	90110.000	10.000	
510.000	2.000	2.550	4.200	2.500	90110.000	30.000	
510.000	3.000	3.400	5.500	3.400	90110.000	80.000	
510.000	4.000	4.250	6.800	4.300	90110.000	180.000	
510.000	5.000	5.100	8.100	5.200	90110.000	330.000	
511.000	1.000	3.340	1.000	2.800	90111.000	10.000	
511.000	2.000	4.970	1.500	4.200	90111.000	30.000	
511.000	3.000	6.600	2.000	5.600	90111.000	80.000	
511.000	4.000	8.230	2.500	7.000	90111.000	180.000	
511.000	5.000	9.900	3.000	8.400	90111.000	330.000	
512.000	1.000	1.700	2.900	1.700	90112.000	10.000	
512.000	2.000	2.550	4.350	2.550	90112.000	30.000	
512.000	3.000	3.400	5.800	3.400	90112.000	80.000	
512.000	4.000	4.250	7.250	4.250	90112.000	180.000	
512.000	5.000	5.100	8.700	5.100	90112.000	330.000	
513.000	1.000	3.200	1.800	2.000	90113.000	10.000	
513.000	2.000	4.800	2.100	3.000	90113.000	30.000	
513.000	3.000	0.000	2.800	4.000	90113.000	80.000	
513.000	4.000	0.000	3.500	5.000	90113.000	180.000	
513.000	5.000	0.000	4.200	6.000	90113.000	330.000	
514.000	1.000	2.100	2.000	2.700	90114.000	10.000	
514.000	2.000	3.150	3.000	4.050	90114.000	30.000	
514.000	3.000	4.200	4.000	5.400	90114.000	80.000	
514.000	4.000	5.250	5.000	6.750	90114.000	180.000	
514.000	5.000	6.300	6.000	8.100	90114.000	330.000	
515.000	1.000	2.400	2.100	1.800	90115.000	10.000	
515.000	2.000	3.600	3.150	2.700	90115.000	30.000	
515.000	3.000	4.800	4.200	3.600	90115.000	80.000	
515.000	4.000	6.000	5.250	4.500	90115.000	180.000	
515.000	5.000	7.200	6.300	5.400	90115.000	330.000	
516.000	1.000	1.200	4.000	1.000	90116.000	10.000	
516.000	2.000	1.800	5.400	1.500	90116.000	30.000	
516.000	3.000	2.400	6.800	2.000	90116.000	80.000	
516.000	4.000	3.000	8.200	2.500	90116.000	180.000	
516.000	5.000	3.600	9.600	3.000	90116.000	330.000	
517.000	1.000	1.800	1.900	2.800	90117.000	10.000	
517.000	2.000	3.750	2.850	4.200	90117.000	30.000	
517.000	3.000	5.200	3.800	5.600	90117.000	80.000	
517.000	4.000	6.650	4.750	7.000	90117.000	180.000	
517.000	5.000	8.100	5.700	8.400	90117.000	330.000	
518.000	1.000	2.000	3.000	1.200	90118.000	10.000	
518.000	2.000	3.000	4.800	1.800	90118.000	30.000	
518.000	3.000	4.000	6.200	2.400	90118.000	80.000	
518.000	4.000	5.000	7.800	3.000	90118.000	180.000	
518.000	5.000	6.000	9.400	3.600	90118.000	330.000	
519.000	1.000	1.900	1.800	2.500	90119.000	10.000	
519.000	2.000	2.850	2.700	4.100	90119.000	30.000	
519.000	3.000	3.800	3.600	5.700	90119.000	80.000	
519.000	4.000	4.750	4.500	7.300	90119.000	180.000	
519.000	5.000	5.700	5.400	8.900	90119.000	330.000	
520.000	1.000	2.800	2.000	1.500	90120.000	10.000	
520.000	2.000	4.200	3.000	2.250	90120.000	30.000	
520.000	3.000	5.600	4.000	3.000	90120.000	80.000	
520.000	4.000	7.000	5.000	3.750	90120.000	180.000	
520.000	5.000	8.400	6.000	4.500	90120.000	330.000	
521.000	1.000	2.700	1.800	1.700	90121.000	10.000	
521.000	2.000	4.050	2.700	2.550	90121.000	30.000	
521.000	3.000	5.400	3.600	3.400	90121.000	80.000	
521.000	4.000	6.750	4.500	4.250	90121.000	180.000	
521.000	5.000	8.100	5.400	5.100	90121.000	330.000	
522.000	1.000	3.000	1.700	1.500	90122.000	10.000	
522.000	2.000	4.700	2.700	2.400	90122.000	30.000	
522.000	3.000	6.400	3.700	3.300	90122.000	80.000	
522.000	4.000	8.100	4.700	4.200	90122.000	180.000	
522.000	5.000	9.800	5.700	5.100	90122.000	330.000	
523.000	1.000	1.900	1.900	2.800	90123.000	10.000	
523.000	2.000	2.850	2.900	4.550	90123.000	30.000	
523.000	3.000	3.800	3.900	6.300	90123.000	80.000	
523.000	4.000	4.750	4.900	8.050	90123.000	180.000	
523.000	5.000	5.700	5.900	9.800	90123.000	330.000	
524.000	1.000	4.800	1.500	1.400	90124.000	10.000	
524.000	2.000	6.000	2.250	2.100	90124.000	30.000	
524.000	3.000	7.200	3.000	2.800	90124.000	80.000	
524.000	4.000	8.400	3.750	3.500	90124.000	180.000	
524.000	5.000	9.600	4.500	4.200	90124.000	330.000	
525.000	1.000	2.300	1.900	2.000	90125.000	10.000	
525.000	2.000	3.750	4.250	3.000	90125.000	30.000	
525.000	3.000	3.400	5.000	4.000	90125.000	80.000	
525.000	4.000	4.250	6.250	5.000	90125.000	180.000	
525.000	5.000	5.100	7.500	6.000	90125.000	330.000	
526.000	1.000	1.700	3.000	1.500	90126.000	10.000	
526.000	2.000	2.750	4.700	2.250	90126.000	30.000	
526.000	3.000	3.800	6.400	3.000	90126.000	80.000	
526.000	4.000	4.850	8.100	3.750	90126.000	180.000	
526.000	5.000	5.900	9.800	4.500	90126.000	330.000	
527.000	1.000	1.800	2.800	1.600	90127.000	10.000	
527.000	2.000	2.700	4.200	2.400	90127.000	30.000	
527.000	3.000	4.000	5.000	3.400	90127.000	80.000	
527.000	4.000	5.000	6.250	4.250	90127.000	180.000	
527.000	5.000	6.000	7.500	5.100	90127.000	330.000	
528.000	1.000	1.800	2.800	1.600	90128.000	10.000	
528.000	2.000	2.700	4.200	2.400	90128.000	30.000	
528.000	3.000	3.600	5.600	3.200	90128.000	80.000	
528.000	4.000	4.500	8.000	4.000	90128.000	180.000	
528.000	5.000	5.400	9.400	4.800	90128.000	330.000	
529.000	1.000	2.300	2.700	1.200	90129.000	10.000	
529.000	2.000	3.200	3.950	2.000	90129.000	30.000	
529.000	3.000	4.100	5.200	2.800	90129.000	80.000	
529.000	4.000	5.000	6.450	3.600	90129.000	180.000	
529.000	5.000	5.900	7.700	4.400	90129.000	330.000	
530.000	1.000	3.000	1.500	1.900	90130.000	10.000	
530.000	2.000	3.900	3.600	3.000	90130.000	30.000	
530.000	3.000	5.200	4.900	4.000	90130.000	80.000	
530.000	4.000	6.500	6.200	5.000	90130.000	180.000	
530.000	5.000	7.800	7.500	6.000	90130.000	330.000	
531.000	1.000	3.000	1.500	1.900	90131.000	10.000	
531.000	2.000	4.200	2.250	2.850	90131.000	30.000	
531.000	3.000	5.600	3.000	3.800	90131.000	80.000	
531.000	4.000	7.000	3.750	4.750	90131.000	180.000	
531.000	5.000	8.400	4.500	5.100	90131.000	330.000	
532.000	1.000	3.200	2.400	1.600	90132.000	10.000	
532.000	2.000	4.800	3.600	2.400	90132.000	30.000	
532.000	3.000	6.400	4.800	3.200	90132.000	80.000	
532.000	4.000	8.000	6.000	4.000	90132.000	180.000	
532.000	5.000	9.600	7.200	4.800	90132.000	330.000	
533.000	1.000	3.200	2.400	1.600	90133.000	10.000	
533.000	2.000	4.800	3.600	2.400	90133.000	30.000	
533.000	3.000	6.400	4.800	3.200	90133.000	80.000	
533.000	4.000	8.000	6.000	4.000	90133.000	180.000	
533.000	5.000	9.600	7.200	4.800	90133.000	330.000	
534.000	1.000	2.000	3.000	1.200	90134.000	10.000	
534.000	2.000	3.000	4.600	1.800	90134.000	30.000	
534.000	3.000	4.000	6.200	2.400	90134.000	80.000	
534.000	4.000	5.000	7.800	3.000	90134.000	180.000	
534.000	5.000	6.000	9.400	3.600	90134.000	330.000	
535.000	1.000	3.300	2.200	1.300	90135.000	10.000	
535.000	2.000	4.950	3.300	1.950	90135.000	30.000	
535.000	3.000	6.600	4.400	2.600	90135.000	80.000	
535.000	4.000	8.250	5.500	3.250	90135.000	180.000	
535.000	5.000	9.900	6.600	3.900	90135.000	330.000	
536.000	1.000	1.700	2.100	2.900	90136.000	10.000	
536.000	2.000	2.550	3.150	4.350	90136.000	30.000	
536.000	3.000	3.400	4.200	5.800	90136.000	80.000	
536.000	4.000	4.250	5.250	7.250	90136.000	180.000	
536.000	5.000	5.100	6.300	8.700	90136.000	330.000	
537.000	1.000	1.500	3.200	1.500	90137.000	10.000	
537.000	2.000	2.250	4.850	2.650	90137.000	30.000	
537.000	3.000	3.000	6.500	3.800	90137.000	80.000	
537.000	4.000	3.750	8.150	4.950	90137.000	180.000	
537.000	5.000	4.500	9.800	6.100	90137.000	330.000	
538.000	1.000	3.100	1.300	2.300	90138.000	10.000	
538.000	2.000	4.700	1.700	3.700	90138.000	30.000	
538.000	3.000	6.300	2.100	5.100	90138.000	80.000	
538.000	4.000	7.900	2.500	6.500	90138.000	180.000	
538.000	5.000	9.500	2.900	7.900	90138.000	330.000	
539.000	1.000	2.600	1.800	2.800	90139.000	10.000	
539.000	2.000	3.900	2.700	4.200	90139.000	30.000	
539.000	3.000	5.200	3.600	5.600	90139.000	80.000	
539.000	4.000	6.500	4.500	7.000	90139.000	180.000	
539.000	5.000	7.800	5.400	8.400	90139.000	330.000	
540.000	1.000	1.600	1.600	2.800	90140.000	10.000	
540.000	2.000	2.400	2.400	4.200	90140.000	30.000	
540.000	3.000	3.200	3.200	5.600	90140.000	80.000	
540.000	4.000	4.000	4.000	7.000	90140.000	180.000	
540.000	5.000	4.800	4.800	8.400	90140.000	330.000	
541.000	1.000	1.200	2.800	1.800	90141.000	10.000	
541.000	2.000	1.800	4.200	2.700	90141.000	30.000	
541.000	3.000	2.400	5.600	3.600	90141.000	80.000	
541.000	4.000	3.000	7.000	4.500	90141.000	180.000	
541.000	5.000	3.600	8.400	5.400	90141.000	330.000	
542.000	1.000	3.000	1.800	1.500	90142.000	10.000	
542.000	2.000	4.600	2.700	2.100	90142.000	30.000	
542.000	3.000	6.200	3.600	2.800	90142.000	80.000	
542.000	4.000	7.800	4.500	3.500	90142.000	180.000	
542.000	5.000	9.400	5.400	4.200	90142.000	330.000	
543.000	1.000	2.400	1.800	2.400	90143.000	10.000	
543.000	2.000	3.600	2.700	3.600	90143.000	30.000	
543.000	3.000	4.800	3.600	4.800	90143.000	80.000	
543.000	4.000	6.000	4.500	6.000	90143.000	180.000	
543.000	5.000	7.200	4.500	7.200	90143.000	330.000	
544.000	1.000	1.800	2.600	1.800	90144.000	10.000	
544.000	2.000	2.700	3.900	2.700	90144.000	30.000	
544.000	3.000	3.600	5.200	3.600	90144.000	80.000	
544.000	4.000	4.500	6.500	4.500	90144.000	180.000	
544.000	5.000	5.400	7.800	5.400	90144.000	330.000	
545.000	1.000	2.000	1.900	2.400	90145.000	10.000	
545.000	2.000	3.000	2.850	3.600	90145.000	30.000	
545.000	3.000	4.000	3.800	4.800	90145.000	80.000	
545.000	4.000	5.000	4.750	6.000	90145.000	180.000	
545.000	5.000	6.000	5.700	7.200	90145.000	330.000	
546.000	1.000	1.900	2.700	1.600	90146.000	10.000	
546.000	2.000	2.850	4.050	2.400	90146.000	30.000	
546.000	3.000	3.800	5.400	3.200	90146.000	80.000	
546.000	4.000	4.750	6.750	4.000	90146.000	180.000	
546.000	5.000	5.700	8.100	4.800	90146.000	330.000	
