ID	Gold	Cash	Honor	Exploit	Prestige	
81503.000	1000.000					
81504.000	1010.000					
81603.000	1200.000					
81604.000	1400.000					
82104.000	1400.000					
82105.000	1400.000					
82204.000	1500.000					
82205.000	1600.000					
82304.000	1600.000					
82305.000	1600.000					
82403.000	1775.000					
82404.000	1780.000					
82503.000	2070.000					
82504.000	2290.000					
82603.000	2290.000					
82604.000	2790.000					
83104.000	2870.000					
83105.000	2900.000					
83204.000	2950.000					
83205.000	3000.000					
83304.000	898.000					
83305.000	943.000					
83403.000	1036.000					
83404.000	1050.000					
83503.000	1074.000					
83504.000	1110.000					
83603.000	1200.000					
83604.000	1350.000					
81106.000	1400.000					
81107.000	1450.000					
81108.000	1461.000					
81206.000	1548.000					
81207.000	1800.000					
81208.000	1803.000					
81306.000	2023.000					
81307.000	2046.000					
81308.000	2103.000					
81405.000	2147.000					
81406.000	2300.000					
81505.000	2375.000					
81506.000	2463.000					
81605.000	2728.000					
81606.000	2773.000					
82106.000	2950.000					
82107.000	3535.000					
82108.000	3700.000					
82206.000	3800.000					
82207.000	4393.000					
82208.000	4444.000					
82306.000	4455.000					
82307.000	4698.000					
82308.000	5145.000					
82405.000	3522.000					
82406.000	3572.000					
82505.000	3622.000					
82506.000	3672.000					
82605.000	3722.000					
82606.000	3772.000					
83106.000	3822.000					
83107.000	3872.000					
83108.000	3922.000					
83206.000	3972.000					
83207.000	4022.000					
83208.000	4072.000					
83306.000	4122.000					
83307.000	4172.000					
83308.000	4222.000					
83405.000	4272.000					
83406.000	4322.000					
83505.000	4372.000					
83506.000	4422.000					
83605.000	4472.000					
83606.000	4522.000					
