Level	Efficiency	Probability	Money	MoneyWeight	Gold	GoldWeight	Props	PropsWeight	Equipment	EquipmentWeight	Debris	DebrisWeight	
11.000	8.000	30.000	600.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
12.000	8.000	30.000	630.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
13.000	9.000	30.000	660.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
14.000	9.000	30.000	690.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
15.000	10.000	30.000	720.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
16.000	10.000	30.000	750.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
17.000	10.000	30.000	780.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
18.000	11.000	30.000	810.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
19.000	11.000	30.000	840.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
20.000	12.000	30.000	870.000	20.000	3.000	10.000	20000|20006|20010	15.000	11101|11201|11301|11401|11501|11601|12101|12201|12301|12401|12501|12601|13101|13201|13301|13401|13501|13601	15.000	90131|90133|90135|90137|90138|90140	10.000	
21.000	12.000	40.000	900.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
22.000	12.000	40.000	930.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
23.000	13.000	40.000	960.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
24.000	13.000	40.000	990.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
25.000	14.000	40.000	1020.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
26.000	14.000	40.000	1050.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
27.000	14.000	40.000	1080.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
28.000	15.000	40.000	1110.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
29.000	15.000	40.000	1140.000	20.000	5.000	10.000	20000|20006|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
30.000	16.000	40.000	1170.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
31.000	16.000	40.000	1200.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
32.000	16.000	40.000	1230.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
33.000	17.000	40.000	1260.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
34.000	17.000	40.000	1290.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
35.000	18.000	40.000	1320.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
36.000	18.000	40.000	1350.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
37.000	18.000	40.000	1380.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
38.000	19.000	40.000	1410.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
39.000	19.000	40.000	1440.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
40.000	20.000	40.000	1470.000	20.000	5.000	10.000	20001|20003|20010	15.000	11102|11103|11202|11203|11302|11303|11402|11502|11602|12102|12103|12202|12203|12302|12303|12402|12502|12602|13102|13103|13202|13203|13302|13303|13402|13502|13602	15.000	90131|90133|90135|90137|90138|90140	10.000	
41.000	20.000	50.000	1500.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
42.000	20.000	50.000	1530.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
43.000	21.000	50.000	1560.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
44.000	21.000	50.000	1590.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
45.000	22.000	50.000	1620.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
46.000	22.000	50.000	1650.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
47.000	22.000	50.000	1680.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90131|90133|90135|90137|90138|90140	10.000	
48.000	23.000	50.000	1710.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
49.000	23.000	50.000	1740.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
50.000	24.000	50.000	1770.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
51.000	24.000	50.000	1800.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
52.000	24.000	50.000	1830.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
53.000	25.000	50.000	1860.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
54.000	25.000	50.000	1890.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
55.000	26.000	50.000	1920.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
56.000	26.000	50.000	1950.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
57.000	26.000	50.000	1980.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
58.000	27.000	50.000	2010.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
59.000	27.000	50.000	2040.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
60.000	28.000	50.000	2070.000	20.000	7.000	10.000	20001|20003|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
61.000	28.000	60.000	2100.000	20.000	9.000	10.000	20002|20005|20010	15.000	81104|81105|81204|81205|81304|81305|81403|81404|81503|81504|81603|81604|82104|82105|82204|82205|82304|82305|82403|82404|82503|82504|82603|82604|83104|83105|83204|83205|83304|83305|83403|83404|83503|83504|83603|83604	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
62.000	28.000	60.000	2130.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
63.000	29.000	60.000	2160.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
64.000	29.000	60.000	2190.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
65.000	30.000	60.000	2220.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
66.000	30.000	60.000	2250.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
67.000	30.000	60.000	2280.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
68.000	31.000	60.000	2310.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
69.000	31.000	60.000	2340.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
70.000	32.000	60.000	2370.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
71.000	32.000	60.000	2400.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
72.000	32.000	60.000	2430.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
73.000	33.000	60.000	2460.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
74.000	33.000	60.000	2490.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
75.000	34.000	60.000	2520.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
76.000	34.000	60.000	2550.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
77.000	34.000	60.000	2580.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
78.000	35.000	60.000	2610.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
79.000	35.000	60.000	2640.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
80.000	36.000	60.000	2670.000	20.000	9.000	10.000	20002|20005|20010	15.000	81106|81107|81206|81207|81306|81307|81405|81406|81505|81506|81605|81606|82106|82107|82206|82207|82306|82307|82405|82406|82505|82506|82605|82606|83106|83107|83206|83207|83306|83307|83405|83406|83505|83506|83605|83606	15.000	90121|90122|90124|90125|90127|90129|90130	10.000	
