// 道具ID	属性数下限	属性数下限	生命下限	生命上限	机率	内力下限	内力上限	机率	体力下限	体力上限	机率	攻击下限	攻击上限	机率	防御下限	防御上限	机率	暴击下限	暴击上限	机率	闪避下限	闪避上限	机率	移动速度下限	移动速度上限	机率	攻击速度下限	攻击速度上限	机率	伤害减免下限	伤害减免上限	机率	绝对伤害下限	绝对伤害上限	机率	防御无视下限	防御无视上限	机率	暴击倍数下限	暴击倍数上限	机率	冰伤害下限	冰伤害上限	机率	冰抗性下限	冰抗性上限	机率	火伤害下限	火伤害上限	机率	火抗性下限	火抗性上限	机率	玄伤害下限	玄伤害上限	机率	玄抗性下限	玄抗性上限	机率	毒伤害下限	毒伤害上限	机率	毒抗性下限	毒抗性上限	机率	需要的重置道具ID	重置需要的数量	需要的钱类型	重置需要的钱	需要的刷新道具ID	刷新需要的数量	刷新的钱类型	刷新需要的钱	可用锁定石ID	扣除可用锁定石数量
//【少林绿色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001014	1	3	531	590	1000	96	107	1250	14	15	1250	69	77	650	45	49	650	28	31	650	42	46	650	47	52	650	47	52	650	219	244	650	112	124	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2001015	1	3	531	590	1000	96	107	1250	14	15	1250	69	77	650	45	49	650	25	28	650	38	42	650	47	52	650	47	52	650	247	271	650	125	137	650	31	35	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	62	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
//【少林蓝色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002001	2	5	12	106	1000	6	23	1250	2	5	1250	2	15	650	2	10	650	1	5	650	2	3	650	1	8	650	1	8	650	1	21	650	6	26	650	1	8	650	1	12	650	1	12	650	1	12	650	1	12	650	1	12	650	1	12	650	1	12	650	1	12	650	1	12	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002002	2	5	117	211	1000	25	41	1250	5	7	1250	16	28	650	11	19	650	6	10	650	6	9	650	8	15	650	8	15	650	23	49	650	28	47	650	8	15	650	13	23	650	13	23	650	13	23	650	13	23	650	13	23	650	13	23	650	13	23	650	13	23	650	13	23	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002003	2	5	222	316	1000	43	60	1250	7	10	1250	30	42	650	20	27	650	10	15	650	12	18	650	16	23	650	16	23	650	53	85	650	49	69	650	16	23	650	24	35	650	24	35	650	24	35	650	24	35	650	24	35	650	24	35	650	24	35	650	24	35	650	24	35	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002004	2	5	326	420	1000	62	78	1250	10	12	1250	43	55	650	28	36	650	15	20	650	18	26	650	24	31	650	24	31	650	89	126	650	71	90	650	24	31	650	36	46	650	36	46	650	36	46	650	36	46	650	36	46	650	36	46	650	36	46	650	36	46	650	36	46	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002005	2	5	431	525	1000	80	97	1250	12	15	1250	57	69	650	37	45	650	20	25	650	24	35	650	32	38	650	32	38	650	130	175	650	92	112	650	32	38	650	47	58	650	47	58	650	47	58	650	47	58	650	47	58	650	47	58	650	47	58	650	47	58	650	47	58	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002006	2	5	535	630	1000	98	115	1250	15	17	1250	70	82	650	46	53	650	25	30	650	30	43	650	39	46	650	39	46	650	180	229	650	114	133	650	39	46	650	59	69	650	59	69	650	59	69	650	59	69	650	59	69	650	59	69	650	59	69	650	59	69	650	59	69	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002007	2	5	640	734	1000	117	134	1250	17	19	1250	84	96	650	54	62	650	30	35	650	36	52	650	47	54	650	47	54	650	235	292	650	135	155	650	47	54	650	70	81	650	70	81	650	70	81	650	70	81	650	70	81	650	70	81	650	70	81	650	70	81	650	70	81	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002008	2	5	745	839	1000	135	152	1250	20	22	1250	97	109	650	63	71	650	35	40	650	39	56	650	55	62	650	55	62	650	298	347	650	158	175	650	55	62	650	82	92	650	82	92	650	82	92	650	82	92	650	82	92	650	82	92	650	82	92	650	82	92	650	82	92	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002009	2	5	849	943	1000	165	170	1250	22	24	1250	111	123	650	71	79	650	40	44	650	42	60	650	62	69	650	62	69	650	351	390	650	178	198	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002010	2	5	954	1048	1000	172	189	1250	25	27	1250	124	136	650	80	88	650	45	49	650	45	64	650	70	77	650	70	77	650	395	433	650	201	219	650	70	77	650	105	115	650	105	115	650	105	115	650	105	115	650	105	115	650	105	115	650	105	115	650	105	115	650	105	115	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002011	2	5	954	1048	1000	172	189	1250	25	27	1250	111	123	650	71	79	650	40	44	650	42	60	650	62	69	650	62	69	650	351	390	650	178	198	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002012	2	5	849	943	1000	165	170	1250	22	24	1250	124	136	650	71	79	650	40	44	650	42	60	650	62	69	650	62	69	650	351	390	650	178	198	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002013	2	5	849	943	1000	165	170	1250	22	24	1250	111	123	650	80	88	650	40	44	650	42	60	650	62	69	650	62	69	650	351	390	650	178	198	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002014	2	5	849	943	1000	165	170	1250	22	24	1250	111	123	650	71	79	650	45	49	650	45	64	650	62	69	650	62	69	650	351	390	650	178	198	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2002015	2	5	849	943	1000	165	170	1250	22	24	1250	111	123	650	71	79	650	40	44	650	42	60	650	62	69	650	62	69	650	395	433	650	201	219	650	62	69	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	93	104	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
//【少林紫色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003001	3	7	18	160	1000	9	34	1250	4	7	1250	4	22	650	4	15	650	1	8	650	2	12	650	1	10	650	1	10	650	2	31	650	9	39	650	1	12	650	2	15	650	2	15	650	2	15	650	2	15	650	2	15	650	2	15	650	2	15	650	2	15	650	2	15	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003002	3	7	175	317	1000	37	62	1250	7	11	1250	24	42	650	17	28	650	8	15	650	13	23	650	11	19	650	11	19	650	35	74	650	42	70	650	13	23	650	17	31	650	17	31	650	17	31	650	17	31	650	17	31	650	17	31	650	17	31	650	17	31	650	17	31	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003003	3	7	332	474	1000	65	90	1250	11	14	1250	44	63	650	30	41	650	16	22	650	24	34	650	20	29	650	20	29	650	79	127	650	74	103	650	24	35	650	32	46	650	32	46	650	32	46	650	32	46	650	32	46	650	32	46	650	32	46	650	32	46	650	32	46	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003004	3	7	489	630	1000	92	117	1250	15	18	1250	65	83	650	42	54	650	23	30	650	35	45	650	30	38	650	30	38	650	133	188	650	107	135	650	36	46	650	48	62	650	48	62	650	48	62	650	48	62	650	48	62	650	48	62	650	48	62	650	48	62	650	48	62	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003005	3	7	646	787	1000	120	145	1250	18	22	1250	85	103	650	55	67	650	30	37	650	46	56	650	39	48	650	39	48	650	196	262	650	138	168	650	47	58	650	63	77	650	63	77	650	63	77	650	63	77	650	63	77	650	63	77	650	63	77	650	63	77	650	63	77	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003006	3	7	803	944	1000	148	173	1250	22	25	1250	105	124	650	68	80	650	38	44	650	57	67	650	49	58	650	49	58	650	270	343	650	172	199	650	59	69	650	78	92	650	78	92	650	78	92	650	78	92	650	78	92	650	78	92	650	78	92	650	78	92	650	78	92	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003007	3	7	960	1101	1000	175	200	1250	26	29	1250	126	144	650	81	93	650	45	52	650	68	78	650	59	67	650	59	67	650	353	438	650	203	233	650	70	81	650	94	108	650	94	108	650	94	108	650	94	108	650	94	108	650	94	108	650	94	108	650	94	108	650	94	108	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003008	3	7	1117	1258	1000	203	228	1250	30	33	1250	146	164	650	94	106	650	53	59	650	79	89	650	68	77	650	68	77	650	447	521	650	236	264	650	82	92	650	109	123	650	109	123	650	109	123	650	109	123	650	109	123	650	109	123	650	109	123	650	109	123	650	109	123	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003009	3	7	1274	1415	1000	231	256	1250	33	37	1250	166	184	650	107	119	650	60	67	650	90	100	650	78	87	650	78	87	650	526	585	650	268	297	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003010	3	7	1431	1572	1000	258	283	1250	37	40	1250	186	205	650	120	132	650	67	74	650	102	112	650	88	96	650	88	96	650	593	650	650	301	329	650	105	115	650	140	154	650	140	154	650	140	154	650	140	154	650	140	154	650	140	154	650	140	154	650	140	154	650	140	154	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003011	3	7	1431	1572	1000	258	283	1250	37	40	1250	166	184	650	107	119	650	60	67	650	90	100	650	78	87	650	78	87	650	526	585	650	268	297	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003012	3	7	1274	1415	1000	231	256	1250	33	37	1250	186	205	650	107	119	650	60	67	650	90	100	650	78	87	650	78	87	650	526	585	650	268	297	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003013	3	7	1274	1415	1000	231	256	1250	33	37	1250	166	184	650	120	132	650	60	67	650	90	100	650	78	87	650	78	87	650	526	585	650	268	297	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003014	3	7	1274	1415	1000	231	256	1250	33	37	1250	166	184	650	107	119	650	67	74	650	102	112	650	78	87	650	78	87	650	526	585	650	268	297	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2003015	3	7	1274	1415	1000	231	256	1250	33	37	1250	166	184	650	107	119	650	60	67	650	90	100	650	78	87	650	78	87	650	593	650	650	301	329	650	93	104	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	125	138	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
//【少林橙色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004001	4	9	26	226	1000	13	48	1250	5	10	1250	5	31	650	5	22	650	1	11	650	3	17	650	1	12	650	1	12	650	3	44	650	13	55	650	2	15	650	2	19	650	2	19	650	2	19	650	2	19	650	2	19	650	2	19	650	2	19	650	2	19	650	2	19	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004002	4	9	248	449	1000	52	88	1250	10	15	1250	34	60	650	24	40	650	12	21	650	18	32	650	13	23	650	13	23	650	50	105	650	60	99	650	17	31	650	21	38	650	21	38	650	21	38	650	21	38	650	21	38	650	21	38	650	21	38	650	21	38	650	21	38	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004003	4	9	471	671	1000	92	127	1250	16	20	1250	63	89	650	42	58	650	22	32	650	34	48	650	24	35	650	24	35	650	112	180	650	105	146	650	32	46	650	40	58	650	40	58	650	40	58	650	40	58	650	40	58	650	40	58	650	40	58	650	40	58	650	40	58	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004004	4	9	693	893	1000	131	166	1250	21	26	1250	92	117	650	60	77	650	33	42	650	50	64	650	36	46	650	36	46	650	188	267	650	152	191	650	48	62	650	60	77	650	60	77	650	60	77	650	60	77	650	60	77	650	60	77	650	60	77	650	60	77	650	60	77	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004005	4	9	915	1115	1000	170	205	1250	26	31	1250	120	146	650	78	95	650	43	53	650	65	80	650	47	58	650	47	58	650	277	371	650	196	238	650	63	77	650	79	96	650	79	96	650	79	96	650	79	96	650	79	96	650	79	96	650	79	96	650	79	96	650	79	96	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004006	4	9	1138	1338	1000	209	245	1250	31	36	1250	149	175	650	97	113	650	54	63	650	81	95	650	59	69	650	59	69	650	382	486	650	243	282	650	78	92	650	98	115	650	98	115	650	98	115	650	98	115	650	98	115	650	98	115	650	98	115	650	98	115	650	98	115	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004007	4	9	1360	1560	1000	248	284	1250	37	41	1250	178	204	650	115	132	650	64	73	650	97	111	650	70	81	650	70	81	650	500	620	650	288	330	650	94	108	650	117	135	650	117	135	650	117	135	650	117	135	650	117	135	650	117	135	650	117	135	650	117	135	650	117	135	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004008	4	9	1582	1782	1000	288	323	1250	42	47	1250	207	233	650	133	150	650	75	84	650	112	127	650	82	92	650	82	92	650	633	738	650	335	374	650	109	123	650	137	154	650	137	154	650	137	154	650	137	154	650	137	154	650	137	154	650	137	154	650	137	154	650	137	154	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004009	4	9	1805	2005	1000	327	362	1250	47	52	1250	235	261	650	152	168	650	85	94	650	128	142	650	93	104	650	93	104	650	745	829	650	379	421	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004010	4	9	2027	2227	1000	366	401	1250	52	57	1250	264	290	650	170	186	650	95	105	650	144	158	650	105	115	650	105	115	650	840	921	650	426	466	650	140	154	650	175	192	650	175	192	650	175	192	650	175	192	650	175	192	650	175	192	650	175	192	650	175	192	650	175	192	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004011	4	9	2027	2227	1000	366	401	1250	52	57	1250	235	261	650	152	168	650	85	94	650	128	142	650	93	104	650	93	104	650	745	829	650	379	421	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004012	4	9	1805	2005	1000	327	362	1250	47	52	1250	264	290	650	152	168	650	85	94	650	128	142	650	93	104	650	93	104	650	745	829	650	379	421	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004013	4	9	1805	2005	1000	327	362	1250	47	52	1250	235	261	650	170	186	650	85	94	650	128	142	650	93	104	650	93	104	650	745	829	650	379	421	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004014	4	9	1805	2005	1000	327	362	1250	47	52	1250	235	261	650	152	168	650	95	105	650	144	158	650	93	104	650	93	104	650	745	829	650	379	421	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2004015	4	9	1805	2005	1000	327	362	1250	47	52	1250	235	261	650	152	168	650	85	94	650	128	142	650	93	104	650	93	104	650	840	921	650	426	466	650	125	138	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	156	173	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
//【蜀山绿色武器】	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021001	1	3	8	67	1000	4	14	1250	2	3	1250	2	9	650	2	6	650	1	3	650	1	5	650	1	6	650	1	6	650	1	13	650	4	16	650	1	4	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	1	8	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021002	1	3	73	132	1000	15	26	1250	3	4	1250	10	18	650	7	12	650	3	6	650	5	10	650	6	12	650	6	12	650	15	31	650	18	29	650	4	8	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	8	15	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021003	1	3	138	197	1000	27	37	1250	5	6	1250	18	26	650	12	17	650	7	9	650	10	14	650	12	17	650	12	17	650	33	53	650	31	43	650	8	12	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	16	23	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021004	1	3	204	263	1000	38	49	1250	6	8	1250	27	35	650	18	23	650	10	12	650	15	19	650	18	23	650	18	23	650	55	78	650	45	56	650	12	15	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	24	31	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021005	1	3	269	328	1000	50	60	1250	8	9	1250	35	43	650	23	28	650	13	15	650	19	23	650	24	29	650	24	29	650	82	109	650	58	70	650	16	19	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	32	38	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021006	1	3	335	393	1000	62	72	1250	9	11	1250	44	51	650	28	33	650	16	19	650	24	28	650	29	35	650	29	35	650	112	143	650	72	83	650	20	23	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	39	46	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021007	1	3	400	459	1000	73	83	1250	11	12	1250	52	60	650	34	39	650	19	22	650	28	33	650	35	40	650	35	40	650	147	182	650	85	97	650	23	27	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	47	54	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
2021008	1	3	465	524	1000	85	95	1250	12	14	1250	61	68	650	39	44	650	22	25	650	33	37	650	41	46	650	41	46	650	186	217	650	98	110	650	27	31	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	55	62	650	4005001	1	1	10000	4005001	0	1	10000	4006001	1
