//全局ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID	物品ID
//【杂物】	0	0	0	0	0	0	0	0	0	0
200060003	2041003	2042003	411003	511003	431003	531003	451003	551003	1222003	1231003
200060004	2041004	2042004	411004	511004	431004	531004	451004	551004	1222004	1231004
//【日月装备】	200080001	200100000	0	0	0	0	0	0	0	0
200080001	2061001	2062001	611001	711001	631001	731001	651001	751001	1322001	1231001
200080002	2061002	2062002	611002	711002	631002	731002	651002	751002	1322002	1231002
200080003	2061003	2062003	611003	711003	631003	731003	651003	751003	1322003	1231003
200080004	2061004	2062004	611004	711004	631004	731004	651004	751004	1322004	1231004
//【慈航装备】	0	0	0	0	0	0	0	0	0	0
//【临时装备】	0	0	0	0	0	0	0	0	0	0
200020016	2001007	2002001	2003001	2004001	2021007	2022001	2023001	2024001	212010	312010
//【特殊物品】	0	0	0	0	0	0	0	0	0	0
