//属性ID	装备类型	装备等级	装备品级	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性
//武器													
10201004	102	10	4	0	9	10	11	12	13	14	15	16	17
10201005	102	10	5	0	10	11	12	13	14	15	16	17	18
10202001	102	20	1	0	11	12	13	14	15	16	17	18	19
10202002	102	20	2	0	12	13	14	15	16	17	18	19	20
10202003	102	20	3	0	13	14	15	16	17	18	19	20	21
10202004	102	20	4	0	14	15	16	17	18	19	20	21	22
10202005	102	20	5	0	15	16	17	18	19	20	21	22	23
10203001	102	30	1	0	16	17	18	19	20	21	22	23	24
10203002	102	30	2	0	17	18	19	20	21	22	23	24	25
10203003	102	30	3	0	18	19	20	21	22	23	24	25	26
10203004	102	30	4	0	19	20	21	22	23	24	25	26	27
10203005	102	30	5	0	20	21	22	23	24	25	26	27	28
10204001	102	40	1	0	21	22	23	24	25	26	27	28	29
10204002	102	40	2	0	22	23	24	25	26	27	28	29	30
10204003	102	40	3	0	23	24	25	26	27	28	29	30	31
10204004	102	40	4	0	24	25	26	27	28	29	30	31	32
10204005	102	40	5	0	25	26	27	28	29	30	31	32	33
10205001	102	50	1	0	26	27	28	29	30	31	32	33	34
10205002	102	50	2	0	27	28	29	30	31	32	33	34	35
10205003	102	50	3	0	28	29	30	31	32	33	34	35	36
10205004	102	50	4	0	29	30	31	32	33	34	35	36	37
10205005	102	50	5	0	30	31	32	33	34	35	36	37	38
10206001	102	60	1	0	31	32	33	34	35	36	37	38	39
10206002	102	60	2	0	32	33	34	35	36	37	38	39	40
10206003	102	60	3	0	33	34	35	36	37	38	39	40	41
10206004	102	60	4	0	34	35	36	37	38	39	40	41	42
10206005	102	60	5	0	35	36	37	38	39	40	41	42	43
10206501	102	65	1	0	36	37	38	39	40	41	42	43	44
10206502	102	65	2	0	37	38	39	40	41	42	43	44	45
10206503	102	65	3	0	38	39	40	41	42	43	44	45	46
10206504	102	65	4	0	39	40	41	42	43	44	45	46	47
10206505	102	65	5	0	40	41	42	43	44	45	46	47	48
10207001	102	70	1	0	41	42	43	44	45	46	47	48	49
10207002	102	70	2	0	42	43	44	45	46	47	48	49	50
10207003	102	70	3	0	43	44	45	46	47	48	49	50	51
10207004	102	70	4	0	44	45	46	47	48	49	50	51	52
10207005	102	70	5	0	45	46	47	48	49	50	51	52	53
10207501	102	75	1	0	46	47	48	49	50	51	52	53	54
10207502	102	75	2	0	47	48	49	50	51	52	53	54	55
10207503	102	75	3	0	48	49	50	51	52	53	54	55	56
10207504	102	75	4	0	49	50	51	52	53	54	55	56	57
10207505	102	75	5	0	50	51	52	53	54	55	56	57	58
//护腕													
10300101	103	1	1	0	1	2	3	4	5	6	7	8	9
10300102	103	1	2	0	2	3	4	5	6	7	8	9	10
10300103	103	1	3	0	3	4	5	6	7	8	9	10	11
10300104	103	1	4	0	4	5	6	7	8	9	10	11	12
10300105	103	1	5	0	5	6	7	8	9	10	11	12	13
10301001	103	10	1	0	6	7	8	9	10	11	12	13	14
10301002	103	10	2	0	7	8	9	10	11	12	13	14	15
10301003	103	10	3	0	8	9	10	11	12	13	14	15	16
10301004	103	10	4	0	9	10	11	12	13	14	15	16	17
10301005	103	10	5	0	10	11	12	13	14	15	16	17	18
10302001	103	20	1	0	11	12	13	14	15	16	17	18	19
10302002	103	20	2	0	12	13	14	15	16	17	18	19	20
10302003	103	20	3	0	13	14	15	16	17	18	19	20	21
10302004	103	20	4	0	14	15	16	17	18	19	20	21	22
10302005	103	20	5	0	15	16	17	18	19	20	21	22	23
10303001	103	30	1	0	16	17	18	19	20	21	22	23	24
10303002	103	30	2	0	17	18	19	20	21	22	23	24	25
10303003	103	30	3	0	18	19	20	21	22	23	24	25	26
10303004	103	30	4	0	19	20	21	22	23	24	25	26	27
10303005	103	30	5	0	20	21	22	23	24	25	26	27	28
10304001	103	40	1	0	21	22	23	24	25	26	27	28	29
10304002	103	40	2	0	22	23	24	25	26	27	28	29	30
10304003	103	40	3	0	23	24	25	26	27	28	29	30	31
10304004	103	40	4	0	24	25	26	27	28	29	30	31	32
10304005	103	40	5	0	25	26	27	28	29	30	31	32	33
10305001	103	50	1	0	26	27	28	29	30	31	32	33	34
10305002	103	50	2	0	27	28	29	30	31	32	33	34	35
10305003	103	50	3	0	28	29	30	31	32	33	34	35	36
10305004	103	50	4	0	29	30	31	32	33	34	35	36	37
10305005	103	50	5	0	30	31	32	33	34	35	36	37	38
10306001	103	60	1	0	31	32	33	34	35	36	37	38	39
10306002	103	60	2	0	32	33	34	35	36	37	38	39	40
10306003	103	60	3	0	33	34	35	36	37	38	39	40	41
10306004	103	60	4	0	34	35	36	37	38	39	40	41	42
10306005	103	60	5	0	35	36	37	38	39	40	41	42	43
10306501	103	65	1	0	36	37	38	39	40	41	42	43	44
10306502	103	65	2	0	37	38	39	40	41	42	43	44	45
10306503	103	65	3	0	38	39	40	41	42	43	44	45	46
10306504	103	65	4	0	39	40	41	42	43	44	45	46	47
10306505	103	65	5	0	40	41	42	43	44	45	46	47	48
10307001	103	70	1	0	41	42	43	44	45	46	47	48	49
10307002	103	70	2	0	42	43	44	45	46	47	48	49	50
10307003	103	70	3	0	43	44	45	46	47	48	49	50	51
10307004	103	70	4	0	44	45	46	47	48	49	50	51	52
10307005	103	70	5	0	45	46	47	48	49	50	51	52	53
10307501	103	75	1	0	46	47	48	49	50	51	52	53	54
10307502	103	75	2	0	47	48	49	50	51	52	53	54	55
10307503	103	75	3	0	48	49	50	51	52	53	54	55	56
10307504	103	75	4	0	49	50	51	52	53	54	55	56	57
10307505	103	75	5	0	50	51	52	53	54	55	56	57	58
//裤子													
10400101	104	1	1	0	1	2	3	4	5	6	7	8	9
10400102	104	1	2	0	2	3	4	5	6	7	8	9	10
10400103	104	1	3	0	3	4	5	6	7	8	9	10	11
10400104	104	1	4	0	4	5	6	7	8	9	10	11	12
10400105	104	1	5	0	5	6	7	8	9	10	11	12	13
10401001	104	10	1	0	6	7	8	9	10	11	12	13	14
10401002	104	10	2	0	7	8	9	10	11	12	13	14	15
10401003	104	10	3	0	8	9	10	11	12	13	14	15	16
10401004	104	10	4	0	9	10	11	12	13	14	15	16	17
10401005	104	10	5	0	10	11	12	13	14	15	16	17	18
10402001	104	20	1	0	11	12	13	14	15	16	17	18	19
10402002	104	20	2	0	12	13	14	15	16	17	18	19	20
10402003	104	20	3	0	13	14	15	16	17	18	19	20	21
10402004	104	20	4	0	14	15	16	17	18	19	20	21	22
10402005	104	20	5	0	15	16	17	18	19	20	21	22	23
10403001	104	30	1	0	16	17	18	19	20	21	22	23	24
10403002	104	30	2	0	17	18	19	20	21	22	23	24	25
10403003	104	30	3	0	18	19	20	21	22	23	24	25	26
10403004	104	30	4	0	19	20	21	22	23	24	25	26	27
10403005	104	30	5	0	20	21	22	23	24	25	26	27	28
10404001	104	40	1	0	21	22	23	24	25	26	27	28	29
10404002	104	40	2	0	22	23	24	25	26	27	28	29	30
10404003	104	40	3	0	23	24	25	26	27	28	29	30	31
10404004	104	40	4	0	24	25	26	27	28	29	30	31	32
10404005	104	40	5	0	25	26	27	28	29	30	31	32	33
10405001	104	50	1	0	26	27	28	29	30	31	32	33	34
10405002	104	50	2	0	27	28	29	30	31	32	33	34	35
10405003	104	50	3	0	28	29	30	31	32	33	34	35	36
10405004	104	50	4	0	29	30	31	32	33	34	35	36	37
10405005	104	50	5	0	30	31	32	33	34	35	36	37	38
10406001	104	60	1	0	31	32	33	34	35	36	37	38	39
10406002	104	60	2	0	32	33	34	35	36	37	38	39	40
10406003	104	60	3	0	33	34	35	36	37	38	39	40	41
10406004	104	60	4	0	34	35	36	37	38	39	40	41	42
10406005	104	60	5	0	35	36	37	38	39	40	41	42	43
10406501	104	65	1	0	36	37	38	39	40	41	42	43	44
10406502	104	65	2	0	37	38	39	40	41	42	43	44	45
10406503	104	65	3	0	38	39	40	41	42	43	44	45	46
10406504	104	65	4	0	39	40	41	42	43	44	45	46	47
10406505	104	65	5	0	40	41	42	43	44	45	46	47	48
10407001	104	70	1	0	41	42	43	44	45	46	47	48	49
10407002	104	70	2	0	42	43	44	45	46	47	48	49	50
10407003	104	70	3	0	43	44	45	46	47	48	49	50	51
10407004	104	70	4	0	44	45	46	47	48	49	50	51	52
10407005	104	70	5	0	45	46	47	48	49	50	51	52	53
10407501	104	75	1	0	46	47	48	49	50	51	52	53	54
10407502	104	75	2	0	47	48	49	50	51	52	53	54	55
10407503	104	75	3	0	48	49	50	51	52	53	54	55	56
10407504	104	75	4	0	49	50	51	52	53	54	55	56	57
10407505	104	75	5	0	50	51	52	53	54	55	56	57	58
//腰带													
10500101	105	1	1	0	1	2	3	4	5	6	7	8	9
10500102	105	1	2	0	2	3	4	5	6	7	8	9	10
10500103	105	1	3	0	3	4	5	6	7	8	9	10	11
10500104	105	1	4	0	4	5	6	7	8	9	10	11	12
10500105	105	1	5	0	5	6	7	8	9	10	11	12	13
10501001	105	10	1	0	6	7	8	9	10	11	12	13	14
10501002	105	10	2	0	7	8	9	10	11	12	13	14	15
10501003	105	10	3	0	8	9	10	11	12	13	14	15	16
10501004	105	10	4	0	9	10	11	12	13	14	15	16	17
10501005	105	10	5	0	10	11	12	13	14	15	16	17	18
10502001	105	20	1	0	11	12	13	14	15	16	17	18	19
10502002	105	20	2	0	12	13	14	15	16	17	18	19	20
10502003	105	20	3	0	13	14	15	16	17	18	19	20	21
10502004	105	20	4	0	14	15	16	17	18	19	20	21	22
10502005	105	20	5	0	15	16	17	18	19	20	21	22	23
10503001	105	30	1	0	16	17	18	19	20	21	22	23	24
10503002	105	30	2	0	17	18	19	20	21	22	23	24	25
10503003	105	30	3	0	18	19	20	21	22	23	24	25	26
10503004	105	30	4	0	19	20	21	22	23	24	25	26	27
10503005	105	30	5	0	20	21	22	23	24	25	26	27	28
10504001	105	40	1	0	21	22	23	24	25	26	27	28	29
10504002	105	40	2	0	22	23	24	25	26	27	28	29	30
10504003	105	40	3	0	23	24	25	26	27	28	29	30	31
10504004	105	40	4	0	24	25	26	27	28	29	30	31	32
10504005	105	40	5	0	25	26	27	28	29	30	31	32	33
10505001	105	50	1	0	26	27	28	29	30	31	32	33	34
10505002	105	50	2	0	27	28	29	30	31	32	33	34	35
10505003	105	50	3	0	28	29	30	31	32	33	34	35	36
10505004	105	50	4	0	29	30	31	32	33	34	35	36	37
10505005	105	50	5	0	30	31	32	33	34	35	36	37	38
10506001	105	60	1	0	31	32	33	34	35	36	37	38	39
10506002	105	60	2	0	32	33	34	35	36	37	38	39	40
10506003	105	60	3	0	33	34	35	36	37	38	39	40	41
10506004	105	60	4	0	34	35	36	37	38	39	40	41	42
10506005	105	60	5	0	35	36	37	38	39	40	41	42	43
10506501	105	65	1	0	36	37	38	39	40	41	42	43	44
10506502	105	65	2	0	37	38	39	40	41	42	43	44	45
10506503	105	65	3	0	38	39	40	41	42	43	44	45	46
10506504	105	65	4	0	39	40	41	42	43	44	45	46	47
10506505	105	65	5	0	40	41	42	43	44	45	46	47	48
10507001	105	70	1	0	41	42	43	44	45	46	47	48	49
10507002	105	70	2	0	42	43	44	45	46	47	48	49	50
10507003	105	70	3	0	43	44	45	46	47	48	49	50	51
10507004	105	70	4	0	44	45	46	47	48	49	50	51	52
10507005	105	70	5	0	45	46	47	48	49	50	51	52	53
10507501	105	75	1	0	46	47	48	49	50	51	52	53	54
10507502	105	75	2	0	47	48	49	50	51	52	53	54	55
10507503	105	75	3	0	48	49	50	51	52	53	54	55	56
10507504	105	75	4	0	49	50	51	52	53	54	55	56	57
10507505	105	75	5	0	50	51	52	53	54	55	56	57	58
//鞋子													
10600101	106	1	1	0	1	2	3	4	5	6	7	8	9
10600102	106	1	2	0	2	3	4	5	6	7	8	9	10
10600103	106	1	3	0	3	4	5	6	7	8	9	10	11
10600104	106	1	4	0	4	5	6	7	8	9	10	11	12
10600105	106	1	5	0	5	6	7	8	9	10	11	12	13
10601001	106	10	1	0	6	7	8	9	10	11	12	13	14
10601002	106	10	2	0	7	8	9	10	11	12	13	14	15
10601003	106	10	3	0	8	9	10	11	12	13	14	15	16
10601004	106	10	4	0	9	10	11	12	13	14	15	16	17
10601005	106	10	5	0	10	11	12	13	14	15	16	17	18
10602001	106	20	1	0	11	12	13	14	15	16	17	18	19
10602002	106	20	2	0	12	13	14	15	16	17	18	19	20
10602003	106	20	3	0	13	14	15	16	17	18	19	20	21
10602004	106	20	4	0	14	15	16	17	18	19	20	21	22
10602005	106	20	5	0	15	16	17	18	19	20	21	22	23
10603001	106	30	1	0	16	17	18	19	20	21	22	23	24
10603002	106	30	2	0	17	18	19	20	21	22	23	24	25
10603003	106	30	3	0	18	19	20	21	22	23	24	25	26
10603004	106	30	4	0	19	20	21	22	23	24	25	26	27
10603005	106	30	5	0	20	21	22	23	24	25	26	27	28
10604001	106	40	1	0	21	22	23	24	25	26	27	28	29
10604002	106	40	2	0	22	23	24	25	26	27	28	29	30
10604003	106	40	3	0	23	24	25	26	27	28	29	30	31
10604004	106	40	4	0	24	25	26	27	28	29	30	31	32
10604005	106	40	5	0	25	26	27	28	29	30	31	32	33
10605001	106	50	1	0	26	27	28	29	30	31	32	33	34
10605002	106	50	2	0	27	28	29	30	31	32	33	34	35
10605003	106	50	3	0	28	29	30	31	32	33	34	35	36
10605004	106	50	4	0	29	30	31	32	33	34	35	36	37
10605005	106	50	5	0	30	31	32	33	34	35	36	37	38
10606001	106	60	1	0	31	32	33	34	35	36	37	38	39
10606002	106	60	2	0	32	33	34	35	36	37	38	39	40
10606003	106	60	3	0	33	34	35	36	37	38	39	40	41
10606004	106	60	4	0	34	35	36	37	38	39	40	41	42
10606005	106	60	5	0	35	36	37	38	39	40	41	42	43
10606501	106	65	1	0	36	37	38	39	40	41	42	43	44
10606502	106	65	2	0	37	38	39	40	41	42	43	44	45
10606503	106	65	3	0	38	39	40	41	42	43	44	45	46
10606504	106	65	4	0	39	40	41	42	43	44	45	46	47
10606505	106	65	5	0	40	41	42	43	44	45	46	47	48
10607001	106	70	1	0	41	42	43	44	45	46	47	48	49
10607002	106	70	2	0	42	43	44	45	46	47	48	49	50
10607003	106	70	3	0	43	44	45	46	47	48	49	50	51
10607004	106	70	4	0	44	45	46	47	48	49	50	51	52
10607005	106	70	5	0	45	46	47	48	49	50	51	52	53
10607501	106	75	1	0	46	47	48	49	50	51	52	53	54
10607502	106	75	2	0	47	48	49	50	51	52	53	54	55
10607503	106	75	3	0	48	49	50	51	52	53	54	55	56
10607504	106	75	4	0	49	50	51	52	53	54	55	56	57
10607505	106	75	5	0	50	51	52	53	54	55	56	57	58
//衣服													
10700101	107	1	1	0	1	2	3	4	5	6	7	8	9
10700102	107	1	2	0	2	3	4	5	6	7	8	9	10
10700103	107	1	3	0	3	4	5	6	7	8	9	10	11
10700104	107	1	4	0	4	5	6	7	8	9	10	11	12
10700105	107	1	5	0	5	6	7	8	9	10	11	12	13
10701001	107	10	1	0	6	7	8	9	10	11	12	13	14
10701002	107	10	2	0	7	8	9	10	11	12	13	14	15
10701003	107	10	3	0	8	9	10	11	12	13	14	15	16
10701004	107	10	4	0	9	10	11	12	13	14	15	16	17
10701005	107	10	5	0	10	11	12	13	14	15	16	17	18
10702001	107	20	1	0	11	12	13	14	15	16	17	18	19
10702002	107	20	2	0	12	13	14	15	16	17	18	19	20
10702003	107	20	3	0	13	14	15	16	17	18	19	20	21
10702004	107	20	4	0	14	15	16	17	18	19	20	21	22
10702005	107	20	5	0	15	16	17	18	19	20	21	22	23
10703001	107	30	1	0	16	17	18	19	20	21	22	23	24
10703002	107	30	2	0	17	18	19	20	21	22	23	24	25
10703003	107	30	3	0	18	19	20	21	22	23	24	25	26
10703004	107	30	4	0	19	20	21	22	23	24	25	26	27
10703005	107	30	5	0	20	21	22	23	24	25	26	27	28
10704001	107	40	1	0	21	22	23	24	25	26	27	28	29
10704002	107	40	2	0	22	23	24	25	26	27	28	29	30
10704003	107	40	3	0	23	24	25	26	27	28	29	30	31
10704004	107	40	4	0	24	25	26	27	28	29	30	31	32
10704005	107	40	5	0	25	26	27	28	29	30	31	32	33
10705001	107	50	1	0	26	27	28	29	30	31	32	33	34
10705002	107	50	2	0	27	28	29	30	31	32	33	34	35
10705003	107	50	3	0	28	29	30	31	32	33	34	35	36
10705004	107	50	4	0	29	30	31	32	33	34	35	36	37
10705005	107	50	5	0	30	31	32	33	34	35	36	37	38
10706001	107	60	1	0	31	32	33	34	35	36	37	38	39
10706002	107	60	2	0	32	33	34	35	36	37	38	39	40
10706003	107	60	3	0	33	34	35	36	37	38	39	40	41
10706004	107	60	4	0	34	35	36	37	38	39	40	41	42
10706005	107	60	5	0	35	36	37	38	39	40	41	42	43
10706501	107	65	1	0	36	37	38	39	40	41	42	43	44
10706502	107	65	2	0	37	38	39	40	41	42	43	44	45
10706503	107	65	3	0	38	39	40	41	42	43	44	45	46
10706504	107	65	4	0	39	40	41	42	43	44	45	46	47
10706505	107	65	5	0	40	41	42	43	44	45	46	47	48
10707001	107	70	1	0	41	42	43	44	45	46	47	48	49
10707002	107	70	2	0	42	43	44	45	46	47	48	49	50
10707003	107	70	3	0	43	44	45	46	47	48	49	50	51
10707004	107	70	4	0	44	45	46	47	48	49	50	51	52
10707005	107	70	5	0	45	46	47	48	49	50	51	52	53
10707501	107	75	1	0	46	47	48	49	50	51	52	53	54
10707502	107	75	2	0	47	48	49	50	51	52	53	54	55
10707503	107	75	3	0	48	49	50	51	52	53	54	55	56
10707504	107	75	4	0	49	50	51	52	53	54	55	56	57
10707505	107	75	5	0	50	51	52	53	54	55	56	57	58
//挂件													
10800101	108	1	1	0	1	2	3	4	5	6	7	8	9
10800102	108	1	2	0	2	3	4	5	6	7	8	9	10
10800103	108	1	3	0	3	4	5	6	7	8	9	10	11
10800104	108	1	4	0	4	5	6	7	8	9	10	11	12
10800105	108	1	5	0	5	6	7	8	9	10	11	12	13
10801001	108	10	1	0	6	7	8	9	10	11	12	13	14
10801002	108	10	2	0	7	8	9	10	11	12	13	14	15
10801003	108	10	3	0	8	9	10	11	12	13	14	15	16
10801004	108	10	4	0	9	10	11	12	13	14	15	16	17
10801005	108	10	5	0	10	11	12	13	14	15	16	17	18
10802001	108	20	1	0	11	12	13	14	15	16	17	18	19
10802002	108	20	2	0	12	13	14	15	16	17	18	19	20
10802003	108	20	3	0	13	14	15	16	17	18	19	20	21
10802004	108	20	4	0	14	15	16	17	18	19	20	21	22
10802005	108	20	5	0	15	16	17	18	19	20	21	22	23
10803001	108	30	1	0	16	17	18	19	20	21	22	23	24
10803002	108	30	2	0	17	18	19	20	21	22	23	24	25
10803003	108	30	3	0	18	19	20	21	22	23	24	25	26
10803004	108	30	4	0	19	20	21	22	23	24	25	26	27
10803005	108	30	5	0	20	21	22	23	24	25	26	27	28
10804001	108	40	1	0	21	22	23	24	25	26	27	28	29
10804002	108	40	2	0	22	23	24	25	26	27	28	29	30
10804003	108	40	3	0	23	24	25	26	27	28	29	30	31
10804004	108	40	4	0	24	25	26	27	28	29	30	31	32
10804005	108	40	5	0	25	26	27	28	29	30	31	32	33
10805001	108	50	1	0	26	27	28	29	30	31	32	33	34
10805002	108	50	2	0	27	28	29	30	31	32	33	34	35
10805003	108	50	3	0	28	29	30	31	32	33	34	35	36
10805004	108	50	4	0	29	30	31	32	33	34	35	36	37
10805005	108	50	5	0	30	31	32	33	34	35	36	37	38
10806001	108	60	1	0	31	32	33	34	35	36	37	38	39
10806002	108	60	2	0	32	33	34	35	36	37	38	39	40
10806003	108	60	3	0	33	34	35	36	37	38	39	40	41
10806004	108	60	4	0	34	35	36	37	38	39	40	41	42
10806005	108	60	5	0	35	36	37	38	39	40	41	42	43
10806501	108	65	1	0	36	37	38	39	40	41	42	43	44
10806502	108	65	2	0	37	38	39	40	41	42	43	44	45
10806503	108	65	3	0	38	39	40	41	42	43	44	45	46
10806504	108	65	4	0	39	40	41	42	43	44	45	46	47
10806505	108	65	5	0	40	41	42	43	44	45	46	47	48
10807001	108	70	1	0	41	42	43	44	45	46	47	48	49
10807002	108	70	2	0	42	43	44	45	46	47	48	49	50
10807003	108	70	3	0	43	44	45	46	47	48	49	50	51
10807004	108	70	4	0	44	45	46	47	48	49	50	51	52
10807005	108	70	5	0	45	46	47	48	49	50	51	52	53
10807501	108	75	1	0	46	47	48	49	50	51	52	53	54
10807502	108	75	2	0	47	48	49	50	51	52	53	54	55
10807503	108	75	3	0	48	49	50	51	52	53	54	55	56
10807504	108	75	4	0	49	50	51	52	53	54	55	56	57
10807505	108	75	5	0	50	51	52	53	54	55	56	57	58
//香囊													
10900101	109	1	1	0	1	2	3	4	5	6	7	8	9
10900102	109	1	2	0	2	3	4	5	6	7	8	9	10
10900103	109	1	3	0	3	4	5	6	7	8	9	10	11
10900104	109	1	4	0	4	5	6	7	8	9	10	11	12
10900105	109	1	5	0	5	6	7	8	9	10	11	12	13
10901001	109	10	1	0	6	7	8	9	10	11	12	13	14
10901002	109	10	2	0	7	8	9	10	11	12	13	14	15
10901003	109	10	3	0	8	9	10	11	12	13	14	15	16
10901004	109	10	4	0	9	10	11	12	13	14	15	16	17
10901005	109	10	5	0	10	11	12	13	14	15	16	17	18
10902001	109	20	1	0	11	12	13	14	15	16	17	18	19
10902002	109	20	2	0	12	13	14	15	16	17	18	19	20
10902003	109	20	3	0	13	14	15	16	17	18	19	20	21
10902004	109	20	4	0	14	15	16	17	18	19	20	21	22
10902005	109	20	5	0	15	16	17	18	19	20	21	22	23
10903001	109	30	1	0	16	17	18	19	20	21	22	23	24
10903002	109	30	2	0	17	18	19	20	21	22	23	24	25
10903003	109	30	3	0	18	19	20	21	22	23	24	25	26
10903004	109	30	4	0	19	20	21	22	23	24	25	26	27
10903005	109	30	5	0	20	21	22	23	24	25	26	27	28
10904001	109	40	1	0	21	22	23	24	25	26	27	28	29
10904002	109	40	2	0	22	23	24	25	26	27	28	29	30
10904003	109	40	3	0	23	24	25	26	27	28	29	30	31
10904004	109	40	4	0	24	25	26	27	28	29	30	31	32
10904005	109	40	5	0	25	26	27	28	29	30	31	32	33
10905001	109	50	1	0	26	27	28	29	30	31	32	33	34
10905002	109	50	2	0	27	28	29	30	31	32	33	34	35
10905003	109	50	3	0	28	29	30	31	32	33	34	35	36
10905004	109	50	4	0	29	30	31	32	33	34	35	36	37
10905005	109	50	5	0	30	31	32	33	34	35	36	37	38
10906001	109	60	1	0	31	32	33	34	35	36	37	38	39
10906002	109	60	2	0	32	33	34	35	36	37	38	39	40
10906003	109	60	3	0	33	34	35	36	37	38	39	40	41
10906004	109	60	4	0	34	35	36	37	38	39	40	41	42
10906005	109	60	5	0	35	36	37	38	39	40	41	42	43
10906501	109	65	1	0	36	37	38	39	40	41	42	43	44
10906502	109	65	2	0	37	38	39	40	41	42	43	44	45
10906503	109	65	3	0	38	39	40	41	42	43	44	45	46
10906504	109	65	4	0	39	40	41	42	43	44	45	46	47
10906505	109	65	5	0	40	41	42	43	44	45	46	47	48
10907001	109	70	1	0	41	42	43	44	45	46	47	48	49
10907002	109	70	2	0	42	43	44	45	46	47	48	49	50
10907003	109	70	3	0	43	44	45	46	47	48	49	50	51
10907004	109	70	4	0	44	45	46	47	48	49	50	51	52
10907005	109	70	5	0	45	46	47	48	49	50	51	52	53
10907501	109	75	1	0	46	47	48	49	50	51	52	53	54
10907502	109	75	2	0	47	48	49	50	51	52	53	54	55
10907503	109	75	3	0	48	49	50	51	52	53	54	55	56
10907504	109	75	4	0	49	50	51	52	53	54	55	56	57
10907505	109	75	5	0	50	51	52	53	54	55	56	57	58
//护符													
11000101	110	1	1	0	1	2	3	4	5	6	7	8	9
11000102	110	1	2	0	2	3	4	5	6	7	8	9	10
11000103	110	1	3	0	3	4	5	6	7	8	9	10	11
11000104	110	1	4	0	4	5	6	7	8	9	10	11	12
11000105	110	1	5	0	5	6	7	8	9	10	11	12	13
11001001	110	10	1	0	6	7	8	9	10	11	12	13	14
11001002	110	10	2	0	7	8	9	10	11	12	13	14	15
