//ID	生命	内力	体力	攻击	防御	暴击	闪避	移动速度	攻击速度	伤害减免	绝对伤害	防御无视	暴击倍数
//【生命宝石】--5004001-5004100													
5004605	0	0	0	0	0	0	100	0	0	0	0	0	0
5004606	0	0	0	0	0	0	120	0	0	0	0	0	0
5004607	0	0	0	0	0	0	140	0	0	0	0	0	0
5004608	0	0	0	0	0	0	160	0	0	0	0	0	0
5004609	0	0	0	0	0	0	180	0	0	0	0	0	0
5004610	0	0	0	0	0	0	200	0	0	0	0	0	0
5004611	0	0	0	0	0	0	220	0	0	0	0	0	0
5004612	0	0	0	0	0	0	240	0	0	0	0	0	0
5004613	0	0	0	0	0	0	260	0	0	0	0	0	0
5004614	0	0	0	0	0	0	280	0	0	0	0	0	0
5004615	0	0	0	0	0	0	300	0	0	0	0	0	0
5004616	0	0	0	0	0	0	320	0	0	0	0	0	0
5004617	0	0	0	0	0	0	340	0	0	0	0	0	0
5004618	0	0	0	0	0	0	360	0	0	0	0	0	0
5004619	0	0	0	0	0	0	380	0	0	0	0	0	0
5004620	0	0	0	0	0	0	400	0	0	0	0	0	0
//【移动速度宝石】--5004701-5004800													
5004701	0	0	0	0	0	0	0	20	0	0	0	0	0
5004702	0	0	0	0	0	0	0	40	0	0	0	0	0
5004703	0	0	0	0	0	0	0	60	0	0	0	0	0
5004704	0	0	0	0	0	0	0	80	0	0	0	0	0
5004705	0	0	0	0	0	0	0	100	0	0	0	0	0
5004706	0	0	0	0	0	0	0	120	0	0	0	0	0
5004707	0	0	0	0	0	0	0	140	0	0	0	0	0
5004708	0	0	0	0	0	0	0	160	0	0	0	0	0
5004709	0	0	0	0	0	0	0	180	0	0	0	0	0
5004710	0	0	0	0	0	0	0	200	0	0	0	0	0
5004711	0	0	0	0	0	0	0	220	0	0	0	0	0
5004712	0	0	0	0	0	0	0	240	0	0	0	0	0
5004713	0	0	0	0	0	0	0	260	0	0	0	0	0
5004714	0	0	0	0	0	0	0	280	0	0	0	0	0
5004715	0	0	0	0	0	0	0	300	0	0	0	0	0
5004716	0	0	0	0	0	0	0	320	0	0	0	0	0
5004717	0	0	0	0	0	0	0	340	0	0	0	0	0
5004718	0	0	0	0	0	0	0	360	0	0	0	0	0
5004719	0	0	0	0	0	0	0	380	0	0	0	0	0
5004720	0	0	0	0	0	0	0	400	0	0	0	0	0
//【攻击速度宝石】--5004801-5004900													
5004801	0	0	0	0	0	0	0	0	20	0	0	0	0
5004802	0	0	0	0	0	0	0	0	40	0	0	0	0
5004803	0	0	0	0	0	0	0	0	60	0	0	0	0
5004804	0	0	0	0	0	0	0	0	80	0	0	0	0
5004805	0	0	0	0	0	0	0	0	100	0	0	0	0
5004806	0	0	0	0	0	0	0	0	120	0	0	0	0
5004807	0	0	0	0	0	0	0	0	140	0	0	0	0
5004808	0	0	0	0	0	0	0	0	160	0	0	0	0
5004809	0	0	0	0	0	0	0	0	180	0	0	0	0
5004810	0	0	0	0	0	0	0	0	200	0	0	0	0
5004811	0	0	0	0	0	0	0	0	220	0	0	0	0
5004812	0	0	0	0	0	0	0	0	240	0	0	0	0
5004813	0	0	0	0	0	0	0	0	260	0	0	0	0
5004814	0	0	0	0	0	0	0	0	280	0	0	0	0
5004815	0	0	0	0	0	0	0	0	300	0	0	0	0
5004816	0	0	0	0	0	0	0	0	320	0	0	0	0
5004817	0	0	0	0	0	0	0	0	340	0	0	0	0
5004818	0	0	0	0	0	0	0	0	360	0	0	0	0
5004819	0	0	0	0	0	0	0	0	380	0	0	0	0
5004820	0	0	0	0	0	0	0	0	400	0	0	0	0
//【伤害减免宝石】--5004901-5005000													
5004901	0	0	0	0	0	0	0	0	0	20	0	0	0
5004902	0	0	0	0	0	0	0	0	0	40	0	0	0
5004903	0	0	0	0	0	0	0	0	0	60	0	0	0
5004904	0	0	0	0	0	0	0	0	0	80	0	0	0
5004905	0	0	0	0	0	0	0	0	0	100	0	0	0
5004906	0	0	0	0	0	0	0	0	0	120	0	0	0
5004907	0	0	0	0	0	0	0	0	0	140	0	0	0
5004908	0	0	0	0	0	0	0	0	0	160	0	0	0
5004909	0	0	0	0	0	0	0	0	0	180	0	0	0
5004910	0	0	0	0	0	0	0	0	0	200	0	0	0
5004911	0	0	0	0	0	0	0	0	0	220	0	0	0
5004912	0	0	0	0	0	0	0	0	0	240	0	0	0
5004913	0	0	0	0	0	0	0	0	0	260	0	0	0
5004914	0	0	0	0	0	0	0	0	0	280	0	0	0
5004915	0	0	0	0	0	0	0	0	0	300	0	0	0
5004916	0	0	0	0	0	0	0	0	0	320	0	0	0
5004917	0	0	0	0	0	0	0	0	0	340	0	0	0
5004918	0	0	0	0	0	0	0	0	0	360	0	0	0
5004919	0	0	0	0	0	0	0	0	0	380	0	0	0
5004920	0	0	0	0	0	0	0	0	0	400	0	0	0
//【绝对伤害】--5005001-5005100													
5005001	0	0	0	0	0	0	0	0	0	0	20	0	0
5005002	0	0	0	0	0	0	0	0	0	0	40	0	0
5005003	0	0	0	0	0	0	0	0	0	0	60	0	0
5005004	0	0	0	0	0	0	0	0	0	0	80	0	0
5005005	0	0	0	0	0	0	0	0	0	0	100	0	0
5005006	0	0	0	0	0	0	0	0	0	0	120	0	0
5005007	0	0	0	0	0	0	0	0	0	0	140	0	0
5005008	0	0	0	0	0	0	0	0	0	0	160	0	0
5005009	0	0	0	0	0	0	0	0	0	0	180	0	0
5005010	0	0	0	0	0	0	0	0	0	0	200	0	0
5005011	0	0	0	0	0	0	0	0	0	0	220	0	0
5005012	0	0	0	0	0	0	0	0	0	0	240	0	0
5005013	0	0	0	0	0	0	0	0	0	0	260	0	0
5005014	0	0	0	0	0	0	0	0	0	0	280	0	0
5005015	0	0	0	0	0	0	0	0	0	0	300	0	0
5005016	0	0	0	0	0	0	0	0	0	0	320	0	0
5005017	0	0	0	0	0	0	0	0	0	0	340	0	0
5005018	0	0	0	0	0	0	0	0	0	0	360	0	0
5005019	0	0	0	0	0	0	0	0	0	0	380	0	0
5005020	0	0	0	0	0	0	0	0	0	0	400	0	0
//【防御无视】--5005101-5005200													
5005101	0	0	0	0	0	0	0	0	0	0	0	20	0
5005102	0	0	0	0	0	0	0	0	0	0	0	40	0
5005103	0	0	0	0	0	0	0	0	0	0	0	60	0
5005104	0	0	0	0	0	0	0	0	0	0	0	80	0
5005105	0	0	0	0	0	0	0	0	0	0	0	100	0
5005106	0	0	0	0	0	0	0	0	0	0	0	120	0
5005107	0	0	0	0	0	0	0	0	0	0	0	140	0
5005108	0	0	0	0	0	0	0	0	0	0	0	160	0
5005109	0	0	0	0	0	0	0	0	0	0	0	180	0
5005110	0	0	0	0	0	0	0	0	0	0	0	200	0
5005111	0	0	0	0	0	0	0	0	0	0	0	220	0
5005112	0	0	0	0	0	0	0	0	0	0	0	240	0
5005113	0	0	0	0	0	0	0	0	0	0	0	260	0
5005114	0	0	0	0	0	0	0	0	0	0	0	280	0
5005115	0	0	0	0	0	0	0	0	0	0	0	300	0
5005116	0	0	0	0	0	0	0	0	0	0	0	320	0
5005117	0	0	0	0	0	0	0	0	0	0	0	340	0
5005118	0	0	0	0	0	0	0	0	0	0	0	360	0
5005119	0	0	0	0	0	0	0	0	0	0	0	380	0
5005120	0	0	0	0	0	0	0	0	0	0	0	400	0
//【暴击倍数】--5005201-5005300													
5005201	0	0	0	0	0	0	0	0	0	0	0	0	20
5005202	0	0	0	0	0	0	0	0	0	0	0	0	40
5005203	0	0	0	0	0	0	0	0	0	0	0	0	60
5005204	0	0	0	0	0	0	0	0	0	0	0	0	80
5005205	0	0	0	0	0	0	0	0	0	0	0	0	100
5005206	0	0	0	0	0	0	0	0	0	0	0	0	120
5005207	0	0	0	0	0	0	0	0	0	0	0	0	140
5005208	0	0	0	0	0	0	0	0	0	0	0	0	160
5005209	0	0	0	0	0	0	0	0	0	0	0	0	180
5005210	0	0	0	0	0	0	0	0	0	0	0	0	200
5005211	0	0	0	0	0	0	0	0	0	0	0	0	220
5005212	0	0	0	0	0	0	0	0	0	0	0	0	240
5005213	0	0	0	0	0	0	0	0	0	0	0	0	260
5005214	0	0	0	0	0	0	0	0	0	0	0	0	280
5005215	0	0	0	0	0	0	0	0	0	0	0	0	300
5005216	0	0	0	0	0	0	0	0	0	0	0	0	320
5005217	0	0	0	0	0	0	0	0	0	0	0	0	340
5005218	0	0	0	0	0	0	0	0	0	0	0	0	360
5005219	0	0	0	0	0	0	0	0	0	0	0	0	380
5005220	0	0	0	0	0	0	0	0	0	0	0	0	400
