//ID	属性类型ID	属性值	属性类型ID	属性值	属性类型ID	属性值
120102	2	67	0	0	0	0
120103	2	128	0	0	0	0
120104	2	209	0	0	0	0
120105	2	311	0	0	0	0
120106	2	452	0	0	0	0
120107	2	613	0	0	0	0
120108	2	794	0	0	0	0
120109	2	996	0	0	0	0
120110	2	1237	0	0	0	0
120201	2	45	0	0	0	0
120202	2	67	0	0	0	0
120203	2	128	0	0	0	0
120204	2	209	0	0	0	0
120205	2	311	0	0	0	0
120206	2	452	0	0	0	0
120207	2	613	0	0	0	0
120208	2	794	0	0	0	0
120209	2	996	0	0	0	0
120210	2	1237	0	0	0	0
120301	2	45	0	0	0	0
120302	2	67	0	0	0	0
120303	2	128	0	0	0	0
120304	2	209	0	0	0	0
120305	2	311	0	0	0	0
120306	2	452	0	0	0	0
120307	2	613	0	0	0	0
120308	2	794	0	0	0	0
120309	2	996	0	0	0	0
120310	2	1237	0	0	0	0
120401	0	452	0	0	0	0
120402	0	726	0	0	0	0
120403	0	1279	0	0	0	0
120404	0	2092	0	0	0	0
120405	0	3166	0	0	0	0
120406	0	4519	0	0	0	0
120407	0	6132	0	0	0	0
120408	0	8006	0	0	0	0
120409	0	10159	0	0	0	0
120410	0	12572	0	0	0	0
120501	3	166	0	0	0	0
120502	3	270	0	0	0	0
120503	3	455	0	0	0	0
120504	3	740	0	0	0	0
120505	3	1125	0	0	0	0
120506	3	1609	0	0	0	0
120507	3	2174	0	0	0	0
120508	3	2839	0	0	0	0
120509	3	3604	0	0	0	0
120510	3	4468	0	0	0	0
120601	0	452	0	0	0	0
120602	0	726	0	0	0	0
120603	0	1279	0	0	0	0
120604	0	2092	0	0	0	0
120605	0	3166	0	0	0	0
120606	0	4519	0	0	0	0
120607	0	6132	0	0	0	0
120608	0	8006	0	0	0	0
120609	0	10159	0	0	0	0
120610	0	12572	0	0	0	0
120701	5	59	0	0	0	0
120702	5	100	0	0	0	0
120703	5	162	0	0	0	0
120704	5	264	0	0	0	0
120705	5	405	0	0	0	0
120706	5	567	0	0	0	0
120707	5	769	0	0	0	0
120708	5	1011	0	0	0	0
120709	5	1292	0	0	0	0
120710	5	1594	0	0	0	0
120801	4	59	0	0	0	0
120802	4	100	0	0	0	0
120803	4	162	0	0	0	0
120804	4	264	0	0	0	0
120805	4	405	0	0	0	0
120806	4	567	0	0	0	0
120807	4	769	0	0	0	0
120808	4	1011	0	0	0	0
120809	4	1292	0	0	0	0
120810	4	1594	0	0	0	0
//恶魔城血鬼	0	0	0	0	0	0
130101	2	55	0	0	0	0
130102	2	96	0	0	0	0
130103	2	158	0	0	0	0
130104	2	259	0	0	0	0
130105	2	381	0	0	0	0
130106	2	542	0	0	0	0
130107	2	724	0	0	0	0
130108	2	946	0	0	0	0
130109	2	1207	0	0	0	0
130110	2	1489	0	0	0	0
130201	2	55	0	0	0	0
130202	2	96	0	0	0	0
130203	2	158	0	0	0	0
130204	2	259	0	0	0	0
130205	2	381	0	0	0	0
130206	2	542	0	0	0	0
130207	2	724	0	0	0	0
130208	2	946	0	0	0	0
130209	2	1207	0	0	0	0
130210	2	1489	0	0	0	0
130301	2	55	0	0	0	0
130302	2	96	0	0	0	0
130303	2	158	0	0	0	0
130304	2	259	0	0	0	0
130305	2	381	0	0	0	0
130306	2	542	0	0	0	0
130307	2	724	0	0	0	0
130308	2	946	0	0	0	0
130309	2	1207	0	0	0	0
130310	2	1489	0	0	0	0
130401	0	407	0	0	0	0
130402	0	658	0	0	0	0
130403	0	1130	0	0	0	0
130404	0	1841	0	0	0	0
130405	0	2773	0	0	0	0
130406	0	3945	0	0	0	0
130407	0	5356	0	0	0	0
130408	0	6988	0	0	0	0
130409	0	8860	0	0	0	0
130410	0	10971	0	0	0	0
130501	3	115	0	0	0	0
130502	3	179	0	0	0	0
130503	3	322	0	0	0	0
130504	3	525	0	0	0	0
130505	3	788	0	0	0	0
130506	3	1112	0	0	0	0
130507	3	1515	0	0	0	0
130508	3	1978	0	0	0	0
130509	3	2502	0	0	0	0
130510	3	3105	0	0	0	0
130601	0	407	0	0	0	0
130602	0	658	0	0	0	0
130603	0	1130	0	0	0	0
130604	0	1841	0	0	0	0
130605	0	2773	0	0	0	0
130606	0	3945	0	0	0	0
130607	0	5356	0	0	0	0
130608	0	6988	0	0	0	0
130609	0	8860	0	0	0	0
130610	0	10971	0	0	0	0
130701	5	59	0	0	0	0
130702	5	100	0	0	0	0
130703	5	162	0	0	0	0
130704	5	264	0	0	0	0
130705	5	405	0	0	0	0
130706	5	567	0	0	0	0
130707	5	769	0	0	0	0
130708	5	1011	0	0	0	0
130709	5	1292	0	0	0	0
130710	5	1594	0	0	0	0
130801	4	59	0	0	0	0
130802	4	100	0	0	0	0
130803	4	162	0	0	0	0
130804	4	264	0	0	0	0
130805	4	405	0	0	0	0
130806	4	567	0	0	0	0
130807	4	769	0	0	0	0
130808	4	1011	0	0	0	0
130809	4	1292	0	0	0	0
130810	4	1594	0	0	0	0
