//名称	编号	脚本ID	品质（白绿蓝紫橙）	类型	物品模型编号(男)	物品模型编号(女)	最大耐久度	耐久改变方式	耐久改变数	叠加数量	购入货币类型	购买价格	出售货币类型	出售价格	使用门派	等级需求	性别需求	可否锻造(升品质)	可否强化	可否鉴定(重置属性条数)重置	可否洗练	可否精炼(升星)	可否升级(如:20升级30级)	可否打孔	可否摘宝石	可否洗星	可否丢弃	可否卖店	可否交易	可否修理	可否存仓库	死亡掉落	可否使用	可否鉴定	冷却时间	冷却组	吟唱时间（毫秒）	道具颜色类型	任务关联	任务关联数量	图标编号	地上模型号	宝石类型	绑定类型（）	物品说明
秩序权杖	110307	0	7	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	镶嵌秩序和勇气宝石的徽记，装备后开启英雄跟随。
王权权杖	110308	0	8	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	曾经是人族王权的象征，王者将他握在左手象征权力，装备后开启英雄跟随。
皇族权杖	110309	0	9	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	曾经是人类皇族的徽记，只有皇族血统的人才能使用她，装备后开启英雄跟随。
诸神权杖	110310	0	10	113	0	0	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	只有诸神才能使用的徽记，象征无上的神权，装备后开启英雄跟随。
普通头冠	110401	0	1	102	101	101	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110401	1	0	1	人类最基础的头冠，防御力低
纯银头冠	110402	0	2	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110401	1	0	1	纯银打造的头冠，防御力稍高
黄金头冠	110403	0	3	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110401	1	0	1	黄金打造的头冠，可以有效的防御普通攻击
水晶头冠	110404	0	4	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110402	1	0	1	用远古水晶打造的头冠，对魔法攻击抗性很高
圣翼头冠	110405	0	5	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110402	1	0	1	拥有天使祝福的头冠，对所有恶魔都有震慑之力
神喻头冠	110406	0	6	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110402	1	0	1	当你拥有这件头冠是可以听到天神的低语
秩序头冠	110407	0	7	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110403	1	0	1	象征秩序和自由的头冠，只有无比的勇气和智慧才能驾驭她。
王权头冠	110408	0	8	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110403	1	0	1	人类先王所拥有的头冠，穿上它后会获得先王的祝福
皇族头冠	110409	0	9	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110404	1	0	1	当你拥有绝对皇权时即可使用这件头冠，所有人类都将听命与你。
诸神头冠	110410	0	10	102	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110405	1	0	1	第一次混沌战争中，诸神所穿戴的头冠，被神之血灌注拥有无比强大的能力！
普通战衣	110501	0	1	107	101	101	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110501	1	0	1	人类最基础的战衣，防御力低
纯银战衣	110502	0	2	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110501	1	0	1	纯银打造的战衣，防御力稍高
黄金战衣	110503	0	3	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110501	1	0	1	黄金打造的战衣，可以有效的防御普通攻击
水晶战衣	110504	0	4	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110502	1	0	1	用远古水晶打造的战衣，对魔法攻击抗性很高
圣翼战衣	110505	0	5	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110502	1	0	1	拥有天使祝福的战衣，对所有恶魔都有震慑之力
神喻战衣	110506	0	6	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110502	1	0	1	当你拥有这件战衣是可以听到天神的低语
秩序战衣	110507	0	7	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110503	1	0	1	象征秩序和自由的战衣，只有无比的勇气和智慧才能驾驭她。
王权战衣	110508	0	8	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110503	1	0	1	人类先王所拥有的战衣，穿上它后会获得先王的祝福
皇族战衣	110509	0	9	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110504	1	0	1	当你拥有绝对皇权时即可使用这件战衣，所有人类都将听命与你。
诸神战衣	110510	0	10	107	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110505	1	0	1	第一次混沌战争中，诸神所穿戴的战衣，被神之血灌注拥有无比强大的能力！
普通护肩	110601	0	1	104	101	101	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110601	1	0	1	人类最基础的护肩，防御力低
纯银护肩	110602	0	2	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110601	1	0	1	纯银打造的护肩，防御力稍高
黄金护肩	110603	0	3	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110601	1	0	1	黄金打造的护肩，可以有效的防御普通攻击
水晶护肩	110604	0	4	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110602	1	0	1	用远古水晶打造的护肩，对魔法攻击抗性很高
圣翼护肩	110605	0	5	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110602	1	0	1	拥有天使祝福的护肩，对所有恶魔都有震慑之力
神喻护肩	110606	0	6	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110602	1	0	1	当你拥有这件护肩是可以听到天神的低语
秩序护肩	110607	0	7	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110603	1	0	1	象征秩序和自由的护肩，只有无比的勇气和智慧才能驾驭她。
王权护肩	110608	0	8	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110603	1	0	1	人类先王所拥有的护肩，穿上它后会获得先王的祝福
皇族护肩	110609	0	9	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110604	1	0	1	当你拥有绝对皇权时即可使用这件护肩，所有人类都将听命与你。
诸神护肩	110610	0	10	104	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110605	1	0	1	第一次混沌战争中，诸神所穿戴的护肩，被神之血灌注拥有无比强大的能力！
普通战裤	110701	0	1	106	101	101	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110701	1	0	1	人类最基础的战裤，防御力低
纯银战裤	110702	0	2	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110701	1	0	1	纯银打造的战裤，防御力稍高
黄金战裤	110703	0	3	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110701	1	0	1	黄金打造的战裤，可以有效的防御普通攻击
水晶战裤	110704	0	4	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110702	1	0	1	用远古水晶打造的战裤，对魔法攻击抗性很高
圣翼战裤	110705	0	5	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110702	1	0	1	拥有天使祝福的战裤，对所有恶魔都有震慑之力
神喻战裤	110706	0	6	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110702	1	0	1	当你拥有这件战裤是可以听到天神的低语
秩序战裤	110707	0	7	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110703	1	0	1	象征秩序和自由的战裤，只有无比的勇气和智慧才能驾驭她。
王权战裤	110708	0	8	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110703	1	0	1	人类先王所拥有的战裤，穿上它后会获得先王的祝福
皇族战裤	110709	0	9	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110704	1	0	1	当你拥有绝对皇权时即可使用这件战裤，所有人类都将听命与你。
诸神战裤	110710	0	10	106	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110705	1	0	1	第一次混沌战争中，诸神所穿戴的战裤，被神之血灌注拥有无比强大的能力！
普通手套	110801	0	1	103	101	101	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110801	1	0	1	人类最基础的手套，防御力低
纯银手套	110802	0	2	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110801	1	0	1	纯银打造的手套，防御力稍高
黄金手套	110803	0	3	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110801	1	0	1	黄金打造的手套，可以有效的防御普通攻击
水晶手套	110804	0	4	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110802	1	0	1	用远古水晶打造的手套，对魔法攻击抗性很高
圣翼手套	110805	0	5	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110802	1	0	1	拥有天使祝福的手套，对所有恶魔都有震慑之力
神喻手套	110806	0	6	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110802	1	0	1	当你拥有这件手套是可以听到天神的低语
秩序手套	110807	0	7	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110803	1	0	1	象征秩序和自由的手套，只有无比的勇气和智慧才能驾驭她。
王权手套	110808	0	8	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110803	1	0	1	人类先王所拥有的手套，穿上它后会获得先王的祝福
皇族手套	110809	0	9	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110804	1	0	1	当你拥有绝对皇权时即可使用这件手套，所有人类都将听命与你。
诸神手套	110810	0	10	103	102	102	100	0	0	1	1	5	0	5	1	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110805	1	0	1	第一次混沌战争中，诸神所穿戴的手套，被神之血灌注拥有无比强大的能力！
狼族利刃	120101	0	1	101	251	251	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120101	5001	0	1	狼族战士经常使用的武器
战争利刃	120102	0	2	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120101	1	0	1	曾经暗影狼族战士使用的武器
丛林利刃	120103	0	3	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120101	1	0	1	精英狼族特殊部队使用的武器
苍月利刃	120104	0	4	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120102	1	0	1	只有真正的狼人勇士才能有用的武器
暗影利刃	120105	0	5	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120102	1	0	1	兽人王大战恶龙时所用的武器
萨满利刃	120106	0	6	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120102	1	0	1	神官萨罗斯的专属武器  他的死 换来的兽人族的和平
混沌利刃	120107	0	7	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120103	1	0	1	兽人王洛萨费的在比蒙战斗部队时使用的武器
霸权利刃	120108	0	8	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120103	1	0	1	兽人族比蒙王在诸神之战中丢失的武器
兽王利刃	120109	0	9	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120104	1	0	1	曾经兽人王萨尔菲戈一世最珍爱的武器
诸神利刃	120110	0	10	101	252	252	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	120105	1	0	1	第一次混沌战争中，诸神所佩神器，被神之血灌注拥有无比强大的能力！
兽灵刺刀	120201	0	1	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	用来禁锢征服的灵魂，获得英雄变身
战争刺刀	120202	0	2	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	曾经暗影狼族战士使用的灵魂容器，装备武器后，开启英雄变身
丛林刺刀	120203	0	3	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	精英狼族特殊部队使用的灵魂容器，装备武器后，开启英雄变身
苍月刺刀	120204	0	4	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	只有真正的狼人勇士才能有用的灵魂容器，装备武器后，开启英雄变身
暗影刺刀	120205	0	5	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	兽人王大战恶龙时所用的灵魂容器，装备武器后，开启英雄变身
萨满刺刀	120206	0	6	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	神官萨罗斯的专属灵魂容器，装备武器后，开启英雄变身。他的死 换来的兽人族的和平
混沌刺刀	120207	0	7	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	兽人王洛萨费的在比蒙战斗部队时使用的灵魂容器，装备武器后，开启英雄变身
霸权刺刀	120208	0	8	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	兽人族比蒙王在诸神之战中丢失的灵魂容器，装备武器后，开启英雄变身
兽王刺刀	120209	0	9	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	曾经兽人王萨尔菲戈一世最珍爱的灵魂容器，装备武器后，开启英雄变身
诸神刺刀	120210	0	10	112	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110001	1	0	1	第一次混沌战争中，诸神所佩灵魂容器，装备武器后，开启英雄变身
灵魂弯刀	120301	0	1	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	战士徽章，获得英雄跟随
战争弯刀	120302	0	2	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	曾经暗影狼族战士使用的徽记，装备武器后，开启英雄跟随
丛林弯刀	120303	0	3	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	精英狼族特殊部队使用的徽记，装备武器后，开启英雄跟随
苍月弯刀	120304	0	4	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	只有真正的狼人勇士才能有用的徽记，装备武器后，开启英雄跟随
暗影弯刀	120305	0	5	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	兽人王大战恶龙时所用的徽记，装备武器后，开启英雄跟随
萨满弯刀	120306	0	6	113	0	0	100	0	0	1	1	5	0	5	2	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	1	0	0	110002	1	0	1	神官萨罗斯的专属徽记，装备武器后，开启英雄跟随  他的死 换来的兽人族的和平
