//属性ID	装备等级	装备品质	装备等阶	生命值	内力值	体力值	攻击值	防御值	暴击值	闪避值	移动速度	攻击速度	伤害减免	绝对伤害	防御无视值	暴击倍数	 冰伤害	冰抗性	火伤害	火抗性	玄伤害	玄抗性	毒伤害	毒抗性
//绿色																								
40206	40	2	6	143	26	4	18	12	6	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
40207	40	2	7	167	31	4	22	14	7	11	16	16	9	4	22	94	0	0	0	0	0	0	0	0
40208	40	2	8	191	35	5	25	16	9	13	18	18	10	5	25	108	0	0	0	0	0	0	0	0
40209	40	2	9	215	40	6	28	18	10	15	21	21	11	6	28	121	0	0	0	0	0	0	0	0
40210	40	2	10	239	44	7	31	20	11	17	23	23	12	6	31	135	0	0	0	0	0	0	0	0
50201	50	2	1	29	5	0	3	2	1	2	3	3	1	1	4	16	0	0	0	0	0	0	0	0
50202	50	2	2	58	10	1	7	5	2	4	6	6	3	1	7	32	0	0	0	0	0	0	0	0
50203	50	2	3	88	16	2	11	7	4	6	8	8	4	2	11	48	0	0	0	0	0	0	0	0
50204	50	2	4	117	21	3	15	10	5	8	11	11	6	3	15	65	0	0	0	0	0	0	0	0
50205	50	2	5	146	27	4	19	12	6	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
50206	50	2	6	176	32	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
50207	50	2	7	205	38	5	26	17	9	14	19	19	10	5	26	113	0	0	0	0	0	0	0	0
50208	50	2	8	234	43	6	30	20	11	16	22	22	12	6	30	129	0	0	0	0	0	0	0	0
50209	50	2	9	264	48	7	34	22	12	18	25	25	13	7	33	145	0	0	0	0	0	0	0	0
50210	50	2	10	293	54	8	38	25	13	20	28	28	15	7	37	162	0	0	0	0	0	0	0	0
60201	60	2	1	34	6	0	4	2	1	2	3	3	2	1	4	19	0	0	0	0	0	0	0	0
60202	60	2	2	69	12	1	9	5	3	4	6	6	3	2	9	38	0	0	0	0	0	0	0	0
60203	60	2	3	104	19	2	13	8	4	7	10	10	5	3	13	57	0	0	0	0	0	0	0	0
60204	60	2	4	139	25	3	18	11	6	9	13	13	7	3	17	75	0	0	0	0	0	0	0	0
60205	60	2	5	174	32	4	22	14	8	12	16	16	9	4	22	94	0	0	0	0	0	0	0	0
60206	60	2	6	208	38	5	27	17	9	14	19	19	10	5	26	113	0	0	0	0	0	0	0	0
60207	60	2	7	243	44	6	31	20	11	17	23	23	12	6	30	132	0	0	0	0	0	0	0	0
60208	60	2	8	278	51	7	36	23	13	19	26	26	14	7	34	151	0	0	0	0	0	0	0	0
60209	60	2	9	313	57	8	41	26	14	22	29	29	15	8	39	170	0	0	0	0	0	0	0	0
60210	60	2	10	348	64	9	45	29	16	24	32	32	17	9	43	188	0	0	0	0	0	0	0	0
65201	65	2	1	40	7	1	5	3	1	2	4	4	2	1	5	22	0	0	0	0	0	0	0	0
65202	65	2	2	80	14	2	10	6	3	5	7	7	4	2	10	43	0	0	0	0	0	0	0	0
65203	65	2	3	120	22	3	15	10	5	8	11	11	6	3	15	65	0	0	0	0	0	0	0	0
65204	65	2	4	160	29	4	21	13	7	11	15	15	8	4	20	86	0	0	0	0	0	0	0	0
65205	65	2	5	201	36	5	26	17	9	14	18	18	10	5	25	108	0	0	0	0	0	0	0	0
65206	65	2	6	241	44	6	31	20	11	17	22	22	12	6	30	129	0	0	0	0	0	0	0	0
65207	65	2	7	281	51	7	36	23	13	20	26	26	14	7	34	151	0	0	0	0	0	0	0	0
65208	65	2	8	321	58	8	42	27	15	22	30	30	16	8	39	172	0	0	0	0	0	0	0	0
65209	65	2	9	362	66	9	47	30	17	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
65210	65	2	10	402	73	10	52	34	18	28	37	37	19	10	49	215	0	0	0	0	0	0	0	0
70201	70	2	1	45	8	1	5	3	2	3	4	4	2	1	6	24	0	0	0	0	0	0	0	0
70202	70	2	2	91	16	2	11	7	4	6	8	8	4	2	11	48	0	0	0	0	0	0	0	0
70203	70	2	3	137	24	3	17	11	6	9	12	12	7	3	17	73	0	0	0	0	0	0	0	0
70204	70	2	4	182	33	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
70205	70	2	5	228	41	6	29	19	10	16	21	21	11	6	28	121	0	0	0	0	0	0	0	0
70206	70	2	6	274	49	7	35	23	12	19	25	25	13	7	33	145	0	0	0	0	0	0	0	0
70207	70	2	7	319	58	8	41	26	15	22	29	29	15	8	39	170	0	0	0	0	0	0	0	0
70208	70	2	8	365	66	9	47	30	17	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
70209	70	2	9	411	74	10	53	34	19	29	37	37	20	10	50	218	0	0	0	0	0	0	0	0
70210	70	2	10	456	83	12	59	38	21	32	42	42	22	11	55	242	0	0	0	0	0	0	0	0
75201	75	2	1	51	9	1	6	4	2	3	5	5	2	1	6	27	0	0	0	0	0	0	0	0
75202	75	2	2	102	18	2	13	8	4	7	9	9	5	2	12	54	0	0	0	0	0	0	0	0
75203	75	2	3	153	27	4	20	12	7	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
75204	75	2	4	204	37	5	26	17	9	14	18	18	10	5	25	108	0	0	0	0	0	0	0	0
75205	75	2	5	255	46	6	33	21	12	18	23	23	12	6	31	135	0	0	0	0	0	0	0	0
75206	75	2	6	306	55	8	40	25	14	21	28	28	15	7	37	162	0	0	0	0	0	0	0	0
75207	75	2	7	357	64	9	46	30	16	25	32	32	17	9	43	188	0	0	0	0	0	0	0	0
75208	75	2	8	408	74	10	53	34	19	29	37	37	19	10	49	215	0	0	0	0	0	0	0	0
75209	75	2	9	460	83	12	60	38	21	32	42	42	22	11	55	242	0	0	0	0	0	0	0	0
75210	75	2	10	511	92	13	66	43	24	36	46	46	24	12	62	269	0	0	0	0	0	0	0	0
//蓝色																	0	0	0	0	0	0	0	0
10301	10	3	1	11	2	0	1	1	0	0	1	1	1	0	2	8	0	0	0	0	0	0	0	0
10302	10	3	2	22	4	0	3	2	1	1	3	3	1	1	4	16	0	0	0	0	0	0	0	0
10303	10	3	3	34	7	1	4	3	1	2	4	4	2	1	6	24	0	0	0	0	0	0	0	0
10304	10	3	4	45	9	1	6	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
10305	10	3	5	57	12	2	7	5	2	4	7	7	4	2	9	40	0	0	0	0	0	0	0	0
10306	10	3	6	68	14	2	9	6	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
10307	10	3	7	79	16	3	10	7	3	5	10	10	5	3	13	57	0	0	0	0	0	0	0	0
10308	10	3	8	91	19	3	12	8	4	6	11	11	6	3	15	65	0	0	0	0	0	0	0	0
10309	10	3	9	102	21	4	14	9	4	7	12	12	7	3	17	73	0	0	0	0	0	0	0	0
10310	10	3	10	114	24	4	15	10	5	8	14	14	7	4	18	81	0	0	0	0	0	0	0	0
20301	20	3	1	19	3	0	2	1	0	1	2	2	1	1	3	12	0	0	0	0	0	0	0	0
20302	20	3	2	39	7	1	5	3	1	2	4	4	2	1	6	24	0	0	0	0	0	0	0	0
20303	20	3	3	58	11	2	7	5	2	4	6	6	3	2	8	36	0	0	0	0	0	0	0	0
20304	20	3	4	78	15	2	10	7	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
20305	20	3	5	97	19	3	13	8	4	7	10	10	5	3	14	61	0	0	0	0	0	0	0	0
20306	20	3	6	117	23	4	15	10	5	8	12	12	7	3	17	73	0	0	0	0	0	0	0	0
20307	20	3	7	136	26	4	18	12	6	9	15	15	8	4	19	85	0	0	0	0	0	0	0	0
20308	20	3	8	156	30	5	20	14	7	11	17	17	9	4	22	97	0	0	0	0	0	0	0	0
20309	20	3	9	176	34	6	23	15	8	12	19	19	10	5	25	109	0	0	0	0	0	0	0	0
20310	20	3	10	195	38	6	26	17	9	14	21	21	11	6	28	121	0	0	0	0	0	0	0	0
30301	30	3	1	27	5	0	3	2	1	1	3	3	1	1	4	16	0	0	0	0	0	0	0	0
30302	30	3	2	55	10	1	7	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
30303	30	3	3	83	15	2	11	7	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
30304	30	3	4	110	21	3	14	9	5	7	11	11	6	3	15	65	0	0	0	0	0	0	0	0
30305	30	3	5	138	26	4	18	12	6	9	14	14	7	4	18	81	0	0	0	0	0	0	0	0
30306	30	3	6	166	31	5	22	14	7	11	17	17	9	4	22	97	0	0	0	0	0	0	0	0
30307	30	3	7	194	36	6	25	16	9	13	19	19	10	5	26	113	0	0	0	0	0	0	0	0
30308	30	3	8	221	42	6	29	19	10	15	22	22	12	6	30	129	0	0	0	0	0	0	0	0
30309	30	3	9	249	47	7	33	21	11	17	25	25	13	7	33	145	0	0	0	0	0	0	0	0
30310	30	3	10	277	52	8	36	24	13	19	28	28	15	7	37	162	0	0	0	0	0	0	0	0
40301	40	3	1	35	6	1	4	3	1	2	3	3	2	1	5	20	0	0	0	0	0	0	0	0
40302	40	3	2	71	13	2	9	6	3	5	7	7	4	2	9	40	0	0	0	0	0	0	0	0
40303	40	3	3	107	20	3	14	9	5	7	10	10	5	3	14	61	0	0	0	0	0	0	0	0
40304	40	3	4	143	26	4	18	12	6	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
40305	40	3	5	179	33	5	23	15	8	12	17	17	9	5	23	101	0	0	0	0	0	0	0	0
40306	40	3	6	215	40	6	28	18	10	15	21	21	11	6	28	121	0	0	0	0	0	0	0	0
40307	40	3	7	251	47	7	33	21	11	17	24	24	13	7	32	141	0	0	0	0	0	0	0	0
40308	40	3	8	287	53	8	37	24	13	20	28	28	15	7	37	162	0	0	0	0	0	0	0	0
40309	40	3	9	322	60	9	42	27	15	23	31	31	16	8	42	182	0	0	0	0	0	0	0	0
40310	40	3	10	358	67	10	47	30	16	25	35	35	18	9	46	202	0	0	0	0	0	0	0	0
50301	50	3	1	44	8	1	5	3	2	3	4	4	2	1	6	24	0	0	0	0	0	0	0	0
50302	50	3	2	88	16	2	11	7	4	6	8	8	4	2	11	48	0	0	0	0	0	0	0	0
50303	50	3	3	132	24	3	17	11	6	9	12	12	7	3	17	73	0	0	0	0	0	0	0	0
50304	50	3	4	176	32	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
50305	50	3	5	220	40	6	28	18	10	15	21	21	11	6	28	121	0	0	0	0	0	0	0	0
50306	50	3	6	264	48	7	34	22	12	18	25	25	13	7	33	145	0	0	0	0	0	0	0	0
50307	50	3	7	308	57	8	40	26	14	22	29	29	15	8	39	170	0	0	0	0	0	0	0	0
50308	50	3	8	352	65	9	46	30	16	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
50309	50	3	9	396	73	11	52	33	18	28	37	37	20	10	50	218	0	0	0	0	0	0	0	0
50310	50	3	10	440	81	12	57	37	20	31	42	42	22	11	55	242	0	0	0	0	0	0	0	0
60301	60	3	1	52	9	1	6	4	2	3	5	5	3	1	6	28	0	0	0	0	0	0	0	0
60302	60	3	2	104	19	2	13	8	4	7	10	10	5	3	13	57	0	0	0	0	0	0	0	0
60303	60	3	3	156	28	4	20	13	7	11	15	15	8	4	19	85	0	0	0	0	0	0	0	0
60304	60	3	4	208	38	5	27	17	9	14	19	19	10	5	26	113	0	0	0	0	0	0	0	0
60305	60	3	5	261	48	7	34	22	12	18	24	24	13	7	32	141	0	0	0	0	0	0	0	0
60306	60	3	6	313	57	8	41	26	14	22	29	29	15	8	39	170	0	0	0	0	0	0	0	0
60307	60	3	7	365	67	10	47	31	17	26	34	34	18	9	45	198	0	0	0	0	0	0	0	0
60308	60	3	8	417	76	11	54	35	19	29	39	39	20	10	52	226	0	0	0	0	0	0	0	0
60309	60	3	9	469	86	12	61	39	22	33	44	44	23	12	58	254	0	0	0	0	0	0	0	0
60310	60	3	10	522	96	14	68	44	24	37	48	48	26	13	65	283	0	0	0	0	0	0	0	0
65301	65	3	1	60	11	1	7	5	2	4	6	6	3	1	7	32	0	0	0	0	0	0	0	0
65302	65	3	2	120	22	3	15	10	5	8	11	11	6	3	15	65	0	0	0	0	0	0	0	0
65303	65	3	3	181	33	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
65304	65	3	4	241	44	6	31	20	11	17	22	22	12	6	30	129	0	0	0	0	0	0	0	0
65305	65	3	5	301	55	8	39	25	14	21	28	28	15	7	37	162	0	0	0	0	0	0	0	0
65306	65	3	6	362	66	9	47	30	17	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
65307	65	3	7	422	77	11	55	35	19	30	39	39	20	10	52	226	0	0	0	0	0	0	0	0
65308	65	3	8	482	88	13	63	40	22	34	44	44	23	12	59	258	0	0	0	0	0	0	0	0
65309	65	3	9	543	99	14	71	46	25	38	50	50	26	13	66	291	0	0	0	0	0	0	0	0
65310	65	3	10	603	110	16	78	51	28	42	55	55	29	15	74	323	0	0	0	0	0	0	0	0
70301	70	3	1	68	12	1	8	5	3	4	6	6	3	2	8	36	0	0	0	0	0	0	0	0
70302	70	3	2	137	24	3	17	11	6	9	12	12	7	3	17	73	0	0	0	0	0	0	0	0
70303	70	3	3	205	37	5	26	17	9	14	19	19	10	5	25	109	0	0	0	0	0	0	0	0
70304	70	3	4	274	49	7	35	23	12	19	25	25	13	7	33	145	0	0	0	0	0	0	0	0
70305	70	3	5	342	62	9	44	28	16	24	31	31	16	8	42	182	0	0	0	0	0	0	0	0
70306	70	3	6	411	74	10	53	34	19	29	37	37	20	10	50	218	0	0	0	0	0	0	0	0
70307	70	3	7	479	87	12	62	40	22	34	44	44	23	12	58	254	0	0	0	0	0	0	0	0
70308	70	3	8	548	99	14	71	46	25	38	50	50	26	13	66	291	0	0	0	0	0	0	0	0
70309	70	3	9	616	112	16	80	52	29	43	56	56	30	15	75	327	0	0	0	0	0	0	0	0
70310	70	3	10	685	124	18	89	57	32	48	62	62	33	17	83	363	0	0	0	0	0	0	0	0
75301	75	3	1	76	13	2	10	6	3	5	7	7	4	2	9	40	0	0	0	0	0	0	0	0
75302	75	3	2	153	27	4	20	12	7	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
75303	75	3	3	230	41	6	30	19	10	16	21	21	11	6	28	121	0	0	0	0	0	0	0	0
75304	75	3	4	306	55	8	40	25	14	21	28	28	15	7	37	162	0	0	0	0	0	0	0	0
75305	75	3	5	383	69	10	50	32	18	27	35	35	18	9	46	202	0	0	0	0	0	0	0	0
75306	75	3	6	460	83	12	60	38	21	32	42	42	22	11	55	242	0	0	0	0	0	0	0	0
75307	75	3	7	536	97	14	70	45	25	38	48	48	26	13	65	283	0	0	0	0	0	0	0	0
75308	75	3	8	613	111	16	80	51	28	43	55	55	29	15	74	323	0	0	0	0	0	0	0	0
75309	75	3	9	690	125	18	90	58	32	49	62	62	33	17	83	363	0	0	0	0	0	0	0	0
75310	75	3	10	766	139	20	100	64	36	54	69	69	37	19	92	404	0	0	0	0	0	0	0	0
//紫色																	0	0	0	0	0	0	0	0
10401	10	4	1	15	3	0	2	1	0	1	2	2	1	0	2	11	0	0	0	0	0	0	0	0
10402	10	4	2	30	6	1	4	2	1	2	4	4	2	1	5	22	0	0	0	0	0	0	0	0
10403	10	4	3	45	9	1	6	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
10404	10	4	4	60	12	2	8	5	2	4	7	7	4	2	10	43	0	0	0	0	0	0	0	0
10405	10	4	5	76	16	3	10	7	3	5	9	9	5	2	12	54	0	0	0	0	0	0	0	0
10406	10	4	6	91	19	3	12	8	4	6	11	11	6	3	15	65	0	0	0	0	0	0	0	0
10407	10	4	7	106	22	4	14	10	5	7	13	13	7	3	17	75	0	0	0	0	0	0	0	0
10408	10	4	8	121	25	5	16	11	5	8	15	15	8	4	20	86	0	0	0	0	0	0	0	0
10409	10	4	9	136	28	5	18	12	6	10	17	17	9	4	22	97	0	0	0	0	0	0	0	0
10410	10	4	10	152	32	6	20	14	7	11	18	18	10	5	25	108	0	0	0	0	0	0	0	0
20401	20	4	1	26	5	0	3	2	1	1	3	3	1	1	4	16	0	0	0	0	0	0	0	0
20402	20	4	2	52	10	1	6	4	2	3	6	6	3	1	7	32	0	0	0	0	0	0	0	0
20403	20	4	3	78	15	2	10	7	3	5	8	8	4	2	11	48	0	0	0	0	0	0	0	0
20404	20	4	4	104	20	3	13	9	4	7	11	11	6	3	15	65	0	0	0	0	0	0	0	0
20405	20	4	5	130	25	4	17	11	6	9	14	14	7	4	18	81	0	0	0	0	0	0	0	0
20406	20	4	6	156	30	5	20	14	7	11	17	17	9	4	22	97	0	0	0	0	0	0	0	0
20407	20	4	7	182	35	6	24	16	8	13	19	19	10	5	26	113	0	0	0	0	0	0	0	0
20408	20	4	8	208	40	7	27	18	9	15	22	22	12	6	30	129	0	0	0	0	0	0	0	0
20409	20	4	9	234	46	8	31	21	11	16	25	25	13	7	33	145	0	0	0	0	0	0	0	0
20410	20	4	10	260	51	8	34	23	12	18	28	28	15	7	37	162	0	0	0	0	0	0	0	0
30401	30	4	1	36	7	1	4	3	1	2	4	4	2	1	5	22	0	0	0	0	0	0	0	0
30402	30	4	2	73	14	2	9	6	3	5	7	7	4	2	10	43	0	0	0	0	0	0	0	0
30403	30	4	3	110	21	3	14	9	5	7	11	11	6	3	15	65	0	0	0	0	0	0	0	0
30404	30	4	4	147	28	4	19	12	6	10	15	15	8	4	20	86	0	0	0	0	0	0	0	0
30405	30	4	5	184	35	5	24	16	8	13	18	18	10	5	25	108	0	0	0	0	0	0	0	0
30406	30	4	6	221	42	6	29	19	10	15	22	22	12	6	30	129	0	0	0	0	0	0	0	0
30407	30	4	7	258	49	8	34	22	12	18	26	26	14	7	34	151	0	0	0	0	0	0	0	0
30408	30	4	8	295	56	9	39	25	13	21	30	30	16	8	39	172	0	0	0	0	0	0	0	0
30409	30	4	9	332	63	10	44	29	15	23	33	33	18	9	44	194	0	0	0	0	0	0	0	0
30410	30	4	10	369	70	11	48	32	17	26	37	37	19	10	49	215	0	0	0	0	0	0	0	0
40401	40	4	1	47	8	1	6	4	2	3	5	5	2	1	6	27	0	0	0	0	0	0	0	0
40402	40	4	2	95	17	2	12	8	4	6	9	9	5	2	12	54	0	0	0	0	0	0	0	0
40403	40	4	3	143	26	4	18	12	6	10	14	14	7	4	18	81	0	0	0	0	0	0	0	0
40404	40	4	4	191	35	5	25	16	9	13	18	18	10	5	25	108	0	0	0	0	0	0	0	0
40405	40	4	5	239	44	7	31	20	11	17	23	23	12	6	31	135	0	0	0	0	0	0	0	0
40406	40	4	6	287	53	8	37	24	13	20	28	28	15	7	37	162	0	0	0	0	0	0	0	0
40407	40	4	7	334	62	9	44	28	15	23	32	32	17	9	43	188	0	0	0	0	0	0	0	0
40408	40	4	8	382	71	11	50	33	18	27	37	37	19	10	49	215	0	0	0	0	0	0	0	0
40409	40	4	9	430	80	12	56	37	20	30	42	42	22	11	55	242	0	0	0	0	0	0	0	0
40410	40	4	10	478	89	14	63	41	22	34	46	46	24	12	62	269	0	0	0	0	0	0	0	0
50401	50	4	1	58	10	1	7	5	2	4	6	6	3	1	7	32	0	0	0	0	0	0	0	0
50402	50	4	2	117	21	3	15	10	5	8	11	11	6	3	15	65	0	0	0	0	0	0	0	0
50403	50	4	3	176	32	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
50404	50	4	4	234	43	6	30	20	11	16	22	22	12	6	30	129	0	0	0	0	0	0	0	0
50405	50	4	5	293	54	8	38	25	13	20	28	28	15	7	37	162	0	0	0	0	0	0	0	0
50406	50	4	6	352	65	9	46	30	16	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
50407	50	4	7	411	76	11	53	35	19	29	39	39	20	10	52	226	0	0	0	0	0	0	0	0
50408	50	4	8	469	87	13	61	40	22	33	44	44	23	12	59	258	0	0	0	0	0	0	0	0
50409	50	4	9	528	97	14	69	45	24	37	50	50	26	13	66	291	0	0	0	0	0	0	0	0
50410	50	4	10	587	108	16	77	50	27	41	55	55	29	15	74	323	0	0	0	0	0	0	0	0
60401	60	4	1	69	12	1	9	5	3	4	6	6	3	2	9	38	0	0	0	0	0	0	0	0
60402	60	4	2	139	25	3	18	11	6	9	13	13	7	3	17	75	0	0	0	0	0	0	0	0
60403	60	4	3	208	38	5	27	17	9	14	19	19	10	5	26	113	0	0	0	0	0	0	0	0
60404	60	4	4	278	51	7	36	23	13	19	26	26	14	7	34	151	0	0	0	0	0	0	0	0
60405	60	4	5	348	64	9	45	29	16	24	32	32	17	9	43	188	0	0	0	0	0	0	0	0
60406	60	4	6	417	76	11	54	35	19	29	39	39	20	10	52	226	0	0	0	0	0	0	0	0
60407	60	4	7	487	89	13	63	41	22	34	45	45	24	12	60	264	0	0	0	0	0	0	0	0
60408	60	4	8	556	102	15	72	47	26	39	52	52	27	14	69	302	0	0	0	0	0	0	0	0
60409	60	4	9	626	115	17	82	53	29	44	58	58	31	16	78	339	0	0	0	0	0	0	0	0
60410	60	4	10	696	128	19	91	59	32	49	65	65	34	17	86	377	0	0	0	0	0	0	0	0
65401	65	4	1	80	14	2	10	6	3	5	7	7	4	2	10	43	0	0	0	0	0	0	0	0
65402	65	4	2	160	29	4	21	13	7	11	15	15	8	4	20	86	0	0	0	0	0	0	0	0
65403	65	4	3	241	44	6	31	20	11	17	22	22	12	6	30	129	0	0	0	0	0	0	0	0
65404	65	4	4	321	58	8	42	27	15	22	30	30	16	8	39	172	0	0	0	0	0	0	0	0
65405	65	4	5	402	73	10	52	34	18	28	37	37	19	10	49	215	0	0	0	0	0	0	0	0
65406	65	4	6	482	88	13	63	40	22	34	44	44	23	12	59	258	0	0	0	0	0	0	0	0
65407	65	4	7	563	103	15	73	47	26	40	52	52	27	14	69	302	0	0	0	0	0	0	0	0
65408	65	4	8	643	117	17	84	54	30	45	59	59	31	16	79	345	0	0	0	0	0	0	0	0
65409	65	4	9	724	132	19	94	61	34	51	66	66	35	18	89	388	0	0	0	0	0	0	0	0
65410	65	4	10	804	147	21	105	68	37	57	74	74	39	20	98	431	0	0	0	0	0	0	0	0
70401	70	4	1	91	16	2	11	7	4	6	8	8	4	2	11	48	0	0	0	0	0	0	0	0
70402	70	4	2	182	33	4	23	15	8	12	17	17	9	4	22	97	0	0	0	0	0	0	0	0
70403	70	4	3	274	49	7	35	23	12	19	25	25	13	7	33	145	0	0	0	0	0	0	0	0
70404	70	4	4	365	66	9	47	30	17	25	33	33	18	9	44	194	0	0	0	0	0	0	0	0
70405	70	4	5	456	83	12	59	38	21	32	42	42	22	11	55	242	0	0	0	0	0	0	0	0
70406	70	4	6	548	99	14	71	46	25	38	50	50	26	13	66	291	0	0	0	0	0	0	0	0
70407	70	4	7	639	116	17	83	53	30	45	58	58	31	16	78	339	0	0	0	0	0	0	0	0
70408	70	4	8	730	133	19	95	61	34	51	66	66	35	18	89	388	0	0	0	0	0	0	0	0
70409	70	4	9	822	149	21	107	69	38	58	75	75	39	20	100	436	0	0	0	0	0	0	0	0
70410	70	4	10	913	166	24	119	77	43	64	83	83	44	22	111	485	0	0	0	0	0	0	0	0
75401	75	4	1	102	18	2	13	8	4	7	9	9	5	2	12	54	0	0	0	0	0	0	0	0
75402	75	4	2	204	37	5	26	17	9	14	18	18	10	5	25	108	0	0	0	0	0	0	0	0
75403	75	4	3	306	55	8	40	25	14	21	28	28	15	7	37	162	0	0	0	0	0	0	0	0
75404	75	4	4	408	74	10	53	34	19	29	37	37	19	10	49	215	0	0	0	0	0	0	0	0
75405	75	4	5	511	92	13	66	43	24	36	46	46	24	12	62	269	0	0	0	0	0	0	0	0
75406	75	4	6	613	111	16	80	51	28	43	55	55	29	15	74	323	0	0	0	0	0	0	0	0
75407	75	4	7	715	129	18	93	60	33	50	65	65	34	17	86	377	0	0	0	0	0	0	0	0
