//属性ID	装备类型	装备等级	装备品级(颜色)	1阶增加的属性	2阶增加的属性	3阶增加的属性	4阶增加的属性	5阶增加的属性	6阶增加的属性	7阶增加的属性	8阶增加的属性	9阶增加的属性	10阶增加的属性	1星增加属性	2星增加属性	3星增加属性	4星增加属性	5星增加属性	6星增加属性	7星增加属性	8星增加属性	9星增加属性	10星增加属性	11星增加属性	12星增加属性	生命下限	生命上限	机率	精炼+生命	内力下限	内力上限	机率	精炼+内力	体力下限	体力上限	机率	精炼+体力	攻击下限	攻击上限	机率	精炼+攻击	防御下限	防御上限	机率	精炼+防御	暴击下限	暴击上限	机率	精炼+暴击	闪避下限	闪避上限	机率	精炼+闪避	移动速度下限	移动速度上限	机率	精炼+移动	攻击速度下限	攻击速度上限	机率	精炼+攻击	伤害减免下限	伤害减免上限	机率	精炼+伤害	绝对伤害下限	绝对伤害上限	机率	精炼+绝对伤害	防御无视下限	防御无视上限	机率	精炼+防御	暴击倍数下限	暴击倍数上限	机率	精炼+暴击	冰伤害下限	冰伤害上限	机率	精炼+冰伤害	冰抗性下限	冰抗性上限	机率	精炼+冰抗性	火伤害下限	火伤害上限	机率	精炼+火伤	火抗性下限	火抗性上限	机率	精炼+火抗性	玄伤害下限	玄伤害上限	机率	精炼+玄伤害	玄抗性下限	玄抗性上限	机率	精炼+玄抗性	毒伤害下限	毒伤害上限	机率	精炼+毒伤害	毒抗性下限	毒抗性上限	机率	精炼+毒伤害	随机出1条附加属性几率	出2条附加属性几率	出3条附加属性几率	出4条附加属性几率	出5条附加属性几率	出6条附加属性几率	洗练道具ID	洗练需要的道具数量	洗练需要的钱	洗练可用锁定石ID	洗练扣除可用锁定石数量	精炼道具ID	精炼需要的道具数量	精炼需要的钱
//武器																																																																																																																											
10103001	101	30	1	0	8	13	18	23	29	34	40	47	53	5	11	17	23	29	35	41	47	53	59	59	59	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10103002	101	30	2	0	17	26	36	47	58	69	81	94	107	8	17	26	35	44	53	62	71	80	89	89	89	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10103003	101	30	3	0	25	40	55	70	87	104	122	141	161	13	26	40	53	67	80	94	107	121	134	134	134	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10103004	101	30	4	0	34	53	73	94	116	139	163	189	215	19	38	58	77	97	116	136	155	175	194	194	194	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10103005	101	30	5	0	43	66	91	118	145	174	204	236	269	26	53	80	107	134	161	188	215	242	269	269	269	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10104001	101	40	1	0	11	17	23	30	37	44	51	59	67	7	15	22	30	38	45	53	61	68	76	76	76	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10104002	101	40	2	0	22	34	47	60	74	88	103	118	134	11	22	34	45	57	68	80	91	103	114	114	114	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10104003	101	40	3	0	33	52	70	90	111	132	154	177	201	17	34	51	68	85	103	120	137	154	171	171	171	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10104004	101	40	4	0	45	69	94	120	148	176	206	236	268	24	49	74	99	124	149	173	198	223	248	248	248	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10104005	101	40	5	0	56	86	118	151	185	220	257	295	335	34	68	103	137	171	206	240	275	309	343	343	343	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10105001	101	50	1	0	13	21	28	36	45	53	62	71	80	9	18	27	37	46	55	65	74	83	92	92	92	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10105002	101	50	2	0	27	42	57	73	90	106	124	142	160	13	27	41	55	69	83	97	111	125	139	139	139	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10105003	101	50	3	0	41	63	86	110	135	160	186	213	240	20	41	62	83	104	125	146	167	188	209	209	209	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10105004	101	50	4	0	55	85	115	147	180	213	248	284	321	30	60	90	120	151	181	211	241	271	302	302	302	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10105005	101	50	5	0	69	106	144	184	225	267	310	355	401	41	83	125	167	209	250	292	334	376	418	418	418	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106001	101	60	1	0	16	25	34	43	52	62	72	82	93	10	21	32	43	54	65	76	87	98	109	109	109	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106002	101	60	2	0	33	50	68	86	105	125	145	165	186	16	32	49	65	82	98	114	131	147	164	164	164	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106003	101	60	3	0	49	75	102	130	158	187	218	248	280	24	49	73	98	123	147	172	196	221	246	246	246	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106004	101	60	4	0	66	101	136	173	211	250	290	331	373	35	71	106	142	177	213	248	284	320	355	355	355	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106005	101	60	5	0	82	126	171	217	264	313	363	414	467	49	98	147	196	246	295	344	393	443	492	492	492	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106501	101	65	1	0	19	29	39	50	60	71	83	94	106	12	25	37	50	62	75	88	100	113	125	125	125	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106502	101	65	2	0	38	58	79	100	121	143	166	189	213	18	37	56	75	94	113	132	151	169	188	188	188	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106503	101	65	3	0	57	87	118	150	182	215	249	284	320	28	56	84	113	141	169	198	226	254	283	283	283	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106504	101	65	4	0	76	116	158	200	243	287	332	379	426	40	81	122	163	204	245	286	327	368	409	409	409	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10106505	101	65	5	0	96	146	197	250	304	359	416	474	533	56	113	169	226	283	339	396	453	509	566	566	566	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107001	101	70	1	0	21	33	44	56	68	81	93	106	119	14	28	42	56	71	85	99	113	128	142	142	142	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107002	101	70	2	0	43	66	89	113	137	162	187	213	239	21	42	64	85	106	128	149	170	192	213	213	213	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107003	101	70	3	0	65	99	134	169	206	243	281	320	359	32	64	96	128	160	192	224	256	288	320	320	320	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107004	101	70	4	0	87	132	179	226	275	324	375	426	479	46	92	138	185	231	277	324	370	416	462	462	462	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107005	101	70	5	0	109	165	223	283	343	405	468	533	599	64	128	192	256	320	384	448	512	576	640	640	640	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107501	101	75	1	0	24	37	50	63	76	90	104	118	133	15	31	47	63	79	95	111	127	143	158	158	158	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107502	101	75	2	0	49	74	100	126	153	180	208	237	266	23	47	71	95	119	143	166	190	214	238	238	238	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107503	101	75	3	0	73	111	150	189	230	271	313	355	399	35	71	107	143	178	214	250	286	321	357	357	357	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107504	101	75	4	0	98	148	200	252	306	361	417	474	532	51	103	154	206	258	309	361	413	464	516	516	516	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
10107505	101	75	5	0	122	185	250	316	383	451	521	592	665	71	143	214	286	357	429	500	572	643	715	715	715	8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
//头盔																										8	67	1000	2	4	14	1250	3	2	3	1250	1	2	9	650	4	2	6	650	1	1	3	650	1	1	5	650	1	1	6	650	2	1	6	650	1	1	13	650	2	4	16	650	2	1	4	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	1	8	650	1	3000	2500	1500	1500	1000	500	4005001	1	10000	4006001	1	4005001	0	10000
