ID	Type	Position	County	Star	Rank	Power	Intelligence	Agility	MaxHealth	Physic	Magic	Armor	Resistance	Crit	HealthRecovery	EnergyRecovery	BloodLevel	OffsetArmor	OffsetResistance	AddCure	Dodge	Skill1	Skill2	Skill3	Skill4	SkillLoop	AttackCD	AttackRange	Relationship1	Relationship2	Relationship3	Relationship4	URL	
110.000	1.000	1.000	1.000	1.000	1.000	16.000	21.000	16.000	454.000	41.000	53.000	1.000	2.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11000001.000	11000002.000	11000003.000	11000004.000	1,2,0,0,0,1,2,0	1.300	8.045	1095.000	1088.000	1075.000		zji_01	
111.000	0.000	0.000	4.000	3.000	1.000	36.000	16.800	26.400	704.400	67.200	42.000	3.600	1.200	7.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11100001.000	11100002.000	11100003.000	11100004.000	2,0,1,0,0	1.300	2.515	1080.000	1099.000	1061.000	1065.000	lbu_01	
112.000	1.000	1.000	1.000	3.000	1.000	19.200	32.400	25.200	544.800	60.000	71.600	2.400	2.400	9.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11200001.000	11200002.000	11200003.000	11200004.000	0,1,0,0,2,1	1.300	8.065	1006.000	1019.000	1020.000	1017.000	jxu_01	
113.000	0.000	0.000	1.000	3.000	1.000	33.600	24.000	26.400	804.000	64.800	26.400	4.800	2.400	10.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11300001.000	11300002.000	11300003.000	11300004.000	1,2,0,0,2,0,1,0,2	1.300	2.517	1091.000	1017.000	1001.000	1083.000	xhdun_01	
114.000	2.000	0.000	2.000	3.000	1.000	25.000	19.000	30.000	612.000	61.200	43.200	5.000	0.000	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11400001.000	11400002.000	11400003.000	11400004.000	2,0,0	1.100	3.003	1024.000	1037.000			zyun_01	
115.000	0.000	0.000	4.000	1.000	1.000	22.000	13.000	17.000	580.000	51.000	32.000	4.000	1.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11500001.000	11500002.000	11500003.000	11500004.000	0,2,1,0,0,0,2,1	1.300	2.505	1102.000	1063.000	1081.000	1070.000	dzhuo_01	
117.000	2.000	0.000	1.000	2.000	1.000	25.300	20.900	26.400	558.800	72.000	63.800	3.300	2.200	11.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11700001.000	11700002.000	11700003.000	11700004.000	2,0,1,0,0,0	1.100	3.015	1011.000	1010.000	1013.000	1018.000	zhe_01	
118.000	0.000	0.000	4.000	2.000	1.000	28.600	17.600	22.000	705.100	72.600	41.800	2.200	2.200	4.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11800001.000	11800002.000	11800003.000	11800004.000	0,2,0,1,0,1	1.300	2.516	1103.000	1089.000	1066.000	1062.000	yliang_01	
119.000	2.000	0.000	3.000	3.000	1.000	28.800	18.000	30.000	676.800	78.000	48.000	3.600	2.400	12.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	11900001.000	11900002.000	11900003.000	11900004.000	2,0,0,1,0	1.100	8.088	1048.000	1101.000	1050.000	1049.000	tsci_01	
120.000	0.000	0.000	1.000	3.000	1.000	32.400	27.600	22.800	766.800	62.400	66.000	4.800	2.400	8.400	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12000001.000	12000002.000	12000003.000	12000004.000	0,1,2,0,0,0	1.300	2.512	1002.000	1003.000	1010.000	1073.000	zliao_01	
121.000	0.000	0.000	2.000	2.000	1.000	24.000	20.400	18.000	636.000	67.200	51.600	4.800	1.200	7.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12100001.000	12100002.000	12100003.000	12100004.000	0,1,2,0,0	1.300	2.525	1074.000	1096.000	1076.000	1028.000	lbei_01	
122.000	0.000	0.000	3.000	3.000	1.000	31.200	21.600	24.000	681.600	60.000	48.000	3.600	1.200	7.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12200001.000	12200002.000	12200003.000	12200004.000	0,1,2,0,1,2,0,0	1.300	2.528	1050.000	1055.000	1059.000	1042.000	gning_01	
124.000	0.000	0.000	1.000	2.000	1.000	28.000	20.000	16.000	617.000	51.000	47.000	4.000	2.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12400001.000	12400002.000	12400003.000	12400004.000	1,0,2,1,2,0	1.300	2.501	1004.000	1008.000			cren_01	
125.000	1.000	1.000	3.000	2.000	1.000	17.600	26.400	19.800	499.400	53.900	66.000	2.200	2.200	7.700	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12500001.000	12500002.000	12500003.000	12500004.000	0,1,2,0,0,1,2	1.300	8.058	1052.000	1053.000	1075.000		dqiao_01	
127.000	1.000	1.000	2.000	2.000	1.000	17.600	26.400	16.500	499.400	49.500	60.500	2.200	1.100	6.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12700001.000	12700002.000	12700003.000	12700004.000	1,2,0,0,1,2,0	1.300	8.035	1030.000	1040.000			mliang_01	
129.000	1.000	1.000	1.000	1.000	1.000	18.000	25.000	11.000	511.000	45.000	50.000	2.000	2.000	4.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	12900001.000	12900002.000	12900003.000	12900004.000	0,1,2,0,0,1	1.300	8.062	1014.000				cyu_01	
130.000	1.000	1.000	4.000	3.000	1.000	15.400	20.900	22.000	460.900	58.300	52.800	2.200	2.200	8.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13000001.000	13000002.000	13000003.000	13000004.000	0,1,2,0,0,1,0,2	1.300	8.057	1063.000	1069.000	1064.000		zjiao_01	
131.000	0.000	0.000	3.000	1.000	1.000	21.000	15.000	17.000	549.000	55.000	38.000	5.000	1.000	7.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13100001.000	13100002.000	13100003.000	13100004.000	0,1,2,0,0,1,2	1.300	2.519	1042.000	1046.000	1058.000		hgai_01	
133.000	1.000	0.000	2.000	1.000	1.000	23.000	17.000	14.000	587.000	50.000	41.000	7.000	2.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13300001.000	13300002.000	13300003.000	13300004.000	0,1,2,0,0,1,2	1.300	2.522	1031.000	1069.000	1037.000		zcang_01	
135.000	0.000	0.000	4.000	1.000	1.000	24.000	18.000	19.000	606.000	52.000	45.000	2.000	1.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13500001.000	13500002.000	13500003.000	13500004.000	0,1,2,0,0,1,0,2	1.300	2.519	1070.000	1071.000	1087.000		hxiong_01	
137.000	1.000	1.000	2.000	1.000	1.000	19.000	24.000	16.000	492.000	46.000	60.000	1.000	2.000	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13700001.000	13700002.000	13700003.000	13700004.000	0,1,2,0,0,0,1,2	1.300	8.078	1036.000	1075.000	1038.000		zrfren_01	
138.000	2.000	0.000	4.000	3.000	1.000	31.200	21.600	24.000	766.800	74.000	50.400	9.600	2.400	9.600	0.000	0.000	0.000	0.000	0.000	0.000	0.000	13800001.000	13800002.000	13800003.000	13800004.000	2,0,1,0,0	1.100	8.083	1090.000	1087.000	1062.000		wchou_01	
140.000	2.000	0.000	1.000	2.000	1.000	16.500	17.600	24.200	478.500	64.000	44.000	2.200	1.100	9.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14000001.000	14000002.000	14000003.000	14000004.000	2,0,0,0,1,0,0,0	1.100	8.084	1005.000	1013.000	1003.000		ldian_01	
141.000	2.000	0.000	2.000	1.000	1.000	19.000	16.000	21.000	468.000	62.000	38.000	4.000	2.000	9.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14100001.000	14100002.000	14100003.000	14100004.000	2,0,0,1,0	1.100	3.020	1024.000	1038.000	1075.000		gfeng_01	
142.000	0.000	0.000	2.000	3.000	1.000	31.200	21.600	25.200	748.800	66.000	51.600	4.800	2.400	6.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14200001.000	14200002.000	14200003.000	14200004.000	0,1,2,0,0,0,1,2	1.300	2.511	1022.000	1099.000	1027.000	1072.000	mchao_01	
143.000	1.000	1.000	3.000	2.000	1.000	22.800	22.800	26.400	658.800	55.200	57.600	2.400	2.400	10.800	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14300001.000	14300002.000	14300003.000	14300004.000	0,2,1,0,0,2,1	1.300	8.074					squan_01	
144.000	1.000	1.000	1.000	2.000	1.000	26.400	30.000	27.600	678.000	55.000	58.800	8.400	3.600	13.200	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14400001.000	14400002.000	14400003.000	14400004.000	2,1,0,1,0,2,0	1.300	8.061					ccao_01	
146.000	1.000	1.000	2.000	3.000	1.000	24.200	18.700	25.300	621.500	53.000	45.100	5.500	2.200	9.900	0.000	0.000	0.000	0.000	0.000	0.000	0.000	14600001.000	14600002.000	14600003.000	14600004.000	0,2,0,0,1	1.300	8.063					ptong_01	
