ID	Name	Style	InitialValue	AddValue	EffectiveTime	Interval	Count	EffectiveStyle	
9131101.000	Stun	0.000	17.000	3.000	2.750				
9131301.000	Armor	1.000	33.000	7.000	6.000		0.000	1.000	
9131401.000	Armor	1.000	100.000	11.000			0.000	0.000	
9133201.000	Health	1.000	43.000	5.000		0.500	4.000	1.000	
9133301.000	Magic	1.000	66.000	20.000	10.000		0.000	0.000	
9133302.000	Cooldown	1.000	0.100	0.001	10.000		0.000	0.000	
9133401.000	Physic	1.000	200.000	18.000	600.000		0.000	0.000	
9135101.000	Stun	0.000	123.000	6.000	2.000				
9135102.000	Armor	1.000	5.000	7.000	5.000		0.000	1.000	
9135401.000	Armor	1.000	120.000	13.000	600.000		0.000	0.000	
9137301.000	Stun	0.000	14.000	14.000	2.000				
9137401.000	Physic	1.000	240.000	22.000	600.000		0.000	0.000	
9138201.000	Stun	0.000	1.000	1.000	3.000				
9138401.000	Dodge	1.000	39.000	1.000			0.000	0.000	
9139401.000	Resistance	1.000	32.000	3.000	8.000		0.000	1.000	
9140201.000	Health	1.000	48.000	6.000	0.000	1.500	4.000	1.000	
9140301.000	Physic	1.000	91.000	27.000	6.000		0.000	0.000	
9140302.000	Cooldown	1.000	0.100	0.001	5.000		0.000	0.000	
9140401.000	Critical	1.000	55.000	8.000	600.000		0.000	0.000	
9141301.000	Critical	1.000	33.000	8.000	10.000		0.000	0.000	
9141401.000	physic	1.000	240.000	22.000	600.000		0.000	0.000	
9142101.000	Stun	0.000	1.000	1.000	2.750				
9142201.000	Stun	0.000	1.000	1.000	2.000				
9142301.000	Stun	0.000	1.000	1.000	2.000				
9142401.000	MaxHealth	1.000	2600.000	77.000	600.000		0.000	0.000	
9143301.000	Physic	1.000	16.000	5.000	3.000		1.000	2.000	
9143401.000	Resistance	1.000	125.000	11.000	600.000		0.000	0.000	
9144401.000	Magic	1.000	312.000	28.000	600.000		0.000	0.000	
9145201.000	Cooldown	1.000	0.100	0.001	5.000		0.000	1.000	
9145301.000	Silence	0.000	1.000	1.000	2.000				
9145401.000	Physic	1.000	67.000	6.000	600.000		0.000	0.000	
9146301.000	Stun	0.000	1.000	1.000	2.000				
9146401.000	Resistance	1.000	125.000	11.000	7.000		1.000	1.000	
9999901.000	Shield	1.000	999999.000	999999.000	600.000			3.000	
9999902.000	Shield	1.000	999999.000	999999.000	600.000			4.000	
