Count	Cash	Gold	MinRandom	MaxRandom	MinCrit	MaxCrit	CritOdd	
84.000	500.000	150270.000	1.000	99.000	1.000	3.000	40.000	
85.000	500.000	151670.000	1.000	99.000	1.000	3.000	40.000	
86.000	500.000	153070.000	1.000	99.000	1.000	3.000	40.000	
87.000	500.000	154470.000	1.000	99.000	1.000	3.000	40.000	
88.000	500.000	155870.000	1.000	99.000	1.000	3.000	40.000	
89.000	500.000	157270.000	1.000	99.000	1.000	3.000	40.000	
90.000	500.000	158670.000	1.000	99.000	1.000	3.000	40.000	
91.000	500.000	160070.000	1.000	99.000	1.000	3.000	40.000	
92.000	500.000	161470.000	1.000	99.000	1.000	3.000	40.000	
93.000	500.000	162870.000	1.000	99.000	1.000	3.000	40.000	
94.000	500.000	164270.000	1.000	99.000	1.000	3.000	40.000	
95.000	500.000	165670.000	1.000	99.000	1.000	3.000	40.000	
96.000	500.000	167070.000	1.000	99.000	1.000	3.000	40.000	
97.000	500.000	168470.000	1.000	99.000	1.000	3.000	40.000	
98.000	500.000	169870.000	1.000	99.000	1.000	3.000	40.000	
99.000	500.000	171270.000	1.000	99.000	1.000	3.000	40.000	
100.000	500.000	172670.000	1.000	99.000	1.000	3.000	40.000	
101.000	600.000	174170.000	1.000	99.000	1.000	3.000	40.000	
102.000	600.000	175670.000	1.000	99.000	1.000	3.000	40.000	
103.000	600.000	177170.000	1.000	99.000	1.000	3.000	40.000	
104.000	600.000	178670.000	1.000	99.000	1.000	3.000	40.000	
105.000	600.000	180170.000	1.000	99.000	1.000	3.000	40.000	
106.000	600.000	181670.000	1.000	99.000	1.000	3.000	40.000	
107.000	600.000	183170.000	1.000	99.000	1.000	3.000	40.000	
108.000	600.000	184670.000	1.000	99.000	1.000	3.000	40.000	
109.000	600.000	186170.000	1.000	99.000	1.000	3.000	40.000	
110.000	600.000	187670.000	1.000	99.000	1.000	3.000	40.000	
111.000	600.000	189170.000	1.000	99.000	1.000	3.000	40.000	
112.000	600.000	190670.000	1.000	99.000	1.000	3.000	40.000	
113.000	600.000	192170.000	1.000	99.000	1.000	3.000	40.000	
114.000	600.000	193670.000	1.000	99.000	1.000	3.000	40.000	
115.000	600.000	195170.000	1.000	99.000	1.000	3.000	40.000	
116.000	600.000	196670.000	1.000	99.000	1.000	3.000	40.000	
117.000	600.000	198170.000	1.000	99.000	1.000	3.000	40.000	
118.000	600.000	199670.000	1.000	99.000	1.000	3.000	40.000	
119.000	600.000	201170.000	1.000	99.000	1.000	3.000	40.000	
120.000	600.000	202670.000	1.000	99.000	1.000	3.000	40.000	
121.000	600.000	204170.000	1.000	99.000	1.000	3.000	40.000	
122.000	600.000	205670.000	1.000	99.000	1.000	3.000	40.000	
123.000	600.000	207170.000	1.000	99.000	1.000	3.000	40.000	
124.000	600.000	208670.000	1.000	99.000	1.000	3.000	40.000	
125.000	600.000	210170.000	1.000	99.000	1.000	3.000	40.000	
126.000	600.000	211670.000	1.000	99.000	1.000	3.000	40.000	
127.000	600.000	213170.000	1.000	99.000	1.000	3.000	40.000	
128.000	600.000	214670.000	1.000	99.000	1.000	3.000	40.000	
129.000	600.000	216170.000	1.000	99.000	1.000	3.000	40.000	
130.000	600.000	217670.000	1.000	99.000	1.000	3.000	40.000	
131.000	600.000	219170.000	1.000	99.000	1.000	3.000	40.000	
132.000	600.000	220670.000	1.000	99.000	1.000	3.000	40.000	
133.000	600.000	222170.000	1.000	99.000	1.000	3.000	40.000	
134.000	600.000	223670.000	1.000	99.000	1.000	3.000	40.000	
135.000	600.000	225170.000	1.000	99.000	1.000	3.000	40.000	
136.000	600.000	226670.000	1.000	99.000	1.000	3.000	40.000	
137.000	600.000	228170.000	1.000	99.000	1.000	3.000	40.000	
138.000	600.000	229670.000	1.000	99.000	1.000	3.000	40.000	
139.000	600.000	231170.000	1.000	99.000	1.000	3.000	40.000	
140.000	600.000	232670.000	1.000	99.000	1.000	3.000	40.000	
141.000	700.000	234270.000	1.000	99.000	1.000	3.000	40.000	
142.000	700.000	235870.000	1.000	99.000	1.000	3.000	40.000	
143.000	700.000	237470.000	1.000	99.000	1.000	3.000	40.000	
144.000	700.000	239070.000	1.000	99.000	1.000	3.000	40.000	
145.000	700.000	240670.000	1.000	99.000	1.000	3.000	40.000	
146.000	700.000	242270.000	1.000	99.000	1.000	3.000	40.000	
147.000	700.000	243870.000	1.000	99.000	1.000	3.000	40.000	
148.000	700.000	245470.000	1.000	99.000	1.000	3.000	40.000	
149.000	700.000	247070.000	1.000	99.000	1.000	3.000	40.000	
150.000	700.000	248670.000	1.000	99.000	1.000	3.000	40.000	
151.000	700.000	250270.000	1.000	99.000	1.000	3.000	40.000	
152.000	700.000	251870.000	1.000	99.000	1.000	3.000	40.000	
153.000	700.000	253470.000	1.000	99.000	1.000	3.000	40.000	
154.000	700.000	255070.000	1.000	99.000	1.000	3.000	40.000	
155.000	700.000	256670.000	1.000	99.000	1.000	3.000	40.000	
156.000	700.000	258270.000	1.000	99.000	1.000	3.000	40.000	
157.000	700.000	259870.000	1.000	99.000	1.000	3.000	40.000	
158.000	700.000	261470.000	1.000	99.000	1.000	3.000	40.000	
159.000	700.000	263070.000	1.000	99.000	1.000	3.000	40.000	
160.000	700.000	264670.000	1.000	99.000	1.000	3.000	40.000	
161.000	700.000	266270.000	1.000	99.000	1.000	3.000	40.000	
162.000	700.000	267870.000	1.000	99.000	1.000	3.000	40.000	
163.000	700.000	269470.000	1.000	99.000	1.000	3.000	40.000	
164.000	700.000	271070.000	1.000	99.000	1.000	3.000	40.000	
165.000	700.000	272670.000	1.000	99.000	1.000	3.000	40.000	
166.000	700.000	274270.000	1.000	99.000	1.000	3.000	40.000	
167.000	700.000	275870.000	1.000	99.000	1.000	3.000	40.000	
168.000	700.000	277470.000	1.000	99.000	1.000	3.000	40.000	
169.000	700.000	279070.000	1.000	99.000	1.000	3.000	40.000	
170.000	700.000	280670.000	1.000	99.000	1.000	3.000	40.000	
171.000	700.000	282270.000	1.000	99.000	1.000	3.000	40.000	
172.000	700.000	283870.000	1.000	99.000	1.000	3.000	40.000	
173.000	700.000	285470.000	1.000	99.000	1.000	3.000	40.000	
174.000	700.000	287070.000	1.000	99.000	1.000	3.000	40.000	
175.000	700.000	288670.000	1.000	99.000	1.000	3.000	40.000	
176.000	700.000	290270.000	1.000	99.000	1.000	3.000	40.000	
177.000	700.000	291870.000	1.000	99.000	1.000	3.000	40.000	
178.000	700.000	293470.000	1.000	99.000	1.000	3.000	40.000	
179.000	700.000	295070.000	1.000	99.000	1.000	3.000	40.000	
180.000	700.000	296670.000	1.000	99.000	1.000	3.000	40.000	
181.000	700.000	298270.000	1.000	99.000	1.000	3.000	40.000	
182.000	700.000	299870.000	1.000	99.000	1.000	3.000	40.000	
183.000	700.000	301470.000	1.000	99.000	1.000	3.000	40.000	
184.000	700.000	303070.000	1.000	99.000	1.000	3.000	40.000	
185.000	700.000	304670.000	1.000	99.000	1.000	3.000	40.000	
186.000	700.000	306270.000	1.000	99.000	1.000	3.000	40.000	
187.000	700.000	307870.000	1.000	99.000	1.000	3.000	40.000	
188.000	700.000	309470.000	1.000	99.000	1.000	3.000	40.000	
189.000	700.000	311070.000	1.000	99.000	1.000	3.000	40.000	
190.000	700.000	312670.000	1.000	99.000	1.000	3.000	40.000	
191.000	800.000	314370.000	1.000	99.000	1.000	3.000	40.000	
192.000	800.000	316070.000	1.000	99.000	1.000	3.000	40.000	
193.000	800.000	317770.000	1.000	99.000	1.000	3.000	40.000	
194.000	800.000	319470.000	1.000	99.000	1.000	3.000	40.000	
195.000	800.000	321170.000	1.000	99.000	1.000	3.000	40.000	
196.000	800.000	322870.000	1.000	99.000	1.000	3.000	40.000	
197.000	800.000	324570.000	1.000	99.000	1.000	3.000	40.000	
198.000	800.000	326270.000	1.000	99.000	1.000	3.000	40.000	
199.000	800.000	327970.000	1.000	99.000	1.000	3.000	40.000	
200.000	800.000	329670.000	1.000	99.000	1.000	3.000	40.000	
