Time	RewardType1	RewardID1	RewardNumber1	RewardType2	RewardID2	RewardNumber2	Double	
66.000	3.000	20007.000	4.000	1.000		1000.000	0.000	
67.000	3.000	20006.000	2.000	1.000		1000.000	0.000	
68.000	3.000	90118.000	30.000	1.000		1000.000	0.000	
69.000	2.000	0.000	60.000	1.000		1000.000	0.000	
70.000	3.000	90118.000	20.000	1.000		1000.000	0.000	
71.000	3.000	20002.000	2.000	1.000		1000.000	0.000	
72.000	3.000	20007.000	5.000	1.000		1000.000	0.000	
73.000	3.000	20006.000	3.000	1.000		1000.000	0.000	
74.000	3.000	90118.000	30.000	1.000		1000.000	0.000	
75.000	2.000	0.000	80.000	1.000		1000.000	0.000	
76.000	3.000	90118.000	20.000	1.000		1000.000	0.000	
77.000	3.000	20002.000	3.000	1.000		1000.000	0.000	
78.000	3.000	20007.000	6.000	1.000		1000.000	0.000	
79.000	3.000	20003.000	2.000	1.000		1000.000	0.000	
80.000	3.000	90118.000	30.000	1.000		1000.000	0.000	
81.000	2.000	0.000	100.000	1.000		1000.000	0.000	
82.000	3.000	90118.000	50.000	1.000		1000.000	0.000	
83.000	3.000	20002.000	4.000	1.000		1000.000	0.000	
84.000	3.000	20007.000	9.000	1.000		1000.000	0.000	
85.000	3.000	20003.000	3.000	1.000		1000.000	0.000	
86.000	3.000	90118.000	50.000	1.000		1000.000	0.000	
87.000	2.000	0.000	120.000	1.000		1000.000	0.000	
88.000	3.000	90118.000	50.000	1.000		1000.000	0.000	
89.000	3.000	20002.000	5.000	1.000		1000.000	0.000	
90.000	3.000	20007.000	15.000	1.000		1000.000	0.000	
91.000	3.000	20006.000	1.000	1.000		1000.000	0.000	
92.000	4.000	119.000	1.000	1.000		1000.000	0.000	
93.000	2.000	0.000	40.000	1.000		1000.000	0.000	
94.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
95.000	3.000	20002.000	1.000	1.000		1000.000	0.000	
96.000	3.000	20007.000	4.000	1.000		1000.000	0.000	
97.000	3.000	20006.000	2.000	1.000		1000.000	0.000	
98.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
99.000	2.000	0.000	60.000	1.000		1000.000	0.000	
100.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
101.000	3.000	20002.000	2.000	1.000		1000.000	0.000	
102.000	3.000	20007.000	5.000	1.000		1000.000	0.000	
103.000	3.000	20006.000	3.000	1.000		1000.000	0.000	
104.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
105.000	2.000	0.000	80.000	1.000		1000.000	0.000	
106.000	3.000	90119.000	20.000	1.000		1000.000	0.000	
107.000	3.000	20002.000	3.000	1.000		1000.000	0.000	
108.000	3.000	20007.000	6.000	1.000		1000.000	0.000	
109.000	3.000	20003.000	2.000	1.000		1000.000	0.000	
110.000	3.000	90119.000	30.000	1.000		1000.000	0.000	
111.000	2.000	0.000	100.000	1.000		1000.000	0.000	
112.000	3.000	90119.000	50.000	1.000		1000.000	0.000	
113.000	3.000	20002.000	4.000	1.000		1000.000	0.000	
114.000	3.000	20007.000	9.000	1.000		1000.000	0.000	
115.000	3.000	20003.000	3.000	1.000		1000.000	0.000	
116.000	3.000	90119.000	50.000	1.000		1000.000	0.000	
117.000	2.000	0.000	120.000	1.000		150000.000	14.000	
118.000	3.000	90119.000	50.000	1.000		150000.000	14.000	
119.000	3.000	20002.000	5.000	1.000		150000.000	15.000	
120.000	3.000	20007.000	15.000	1.000		150000.000		
121.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
122.000	2.000		30.000	1.000		50000.000		
123.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
124.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
125.000	3.000	90142.000	4.000	1.000		50000.000	4.000	
126.000	3.000	20010.000	20.000	1.000		50000.000		
127.000	4.000	142.000	1.000	1.000		60000.000		
128.000	2.000		50.000	1.000		60000.000		
129.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
130.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
131.000	3.000	90142.000	5.000	1.000		60000.000	8.000	
132.000	3.000	20010.000	20.000	1.000		60000.000		
133.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
134.000	2.000		80.000	1.000		80000.000		
135.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
136.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
137.000	3.000	90142.000	6.000	1.000		80000.000	12.000	
138.000	3.000	20010.000	20.000	1.000		80000.000		
139.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
140.000	2.000		120.000	1.000		100000.000		
141.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
142.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
143.000	3.000	90142.000	7.000	1.000		100000.000	13.000	
144.000	3.000	20010.000	20.000	1.000		100000.000		
145.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
146.000	2.000		150.000	1.000		150000.000		
147.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
148.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
149.000	3.000	90142.000	10.000	1.000		150000.000	15.000	
150.000	3.000	20010.000	20.000	1.000		150000.000		
151.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
152.000	2.000		30.000	1.000		50000.000		
153.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
154.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
155.000	3.000	90125.000	4.000	1.000		50000.000	4.000	
156.000	3.000	20010.000	20.000	1.000		50000.000		
157.000	4.000	125.000	1.000	1.000		60000.000		
158.000	2.000		50.000	1.000		60000.000		
159.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
160.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
161.000	3.000	90125.000	5.000	1.000		60000.000	8.000	
162.000	3.000	20010.000	20.000	1.000		60000.000		
163.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
164.000	2.000		80.000	1.000		80000.000		
165.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
166.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
167.000	3.000	90125.000	6.000	1.000		80000.000	12.000	
168.000	3.000	20010.000	20.000	1.000		80000.000		
169.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
170.000	2.000		120.000	1.000		100000.000		
171.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
172.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
173.000	3.000	90125.000	7.000	1.000		100000.000	13.000	
174.000	3.000	20010.000	20.000	1.000		100000.000		
175.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
176.000	2.000		150.000	1.000		150000.000		
177.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
178.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
179.000	3.000	90125.000	10.000	1.000		150000.000	15.000	
180.000	3.000	20010.000	20.000	1.000		150000.000		
181.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
182.000	2.000		30.000	1.000		50000.000		
183.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
184.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
185.000	3.000	90133.000	4.000	1.000		50000.000	4.000	
186.000	3.000	20010.000	20.000	1.000		50000.000		
187.000	4.000	133.000	1.000	1.000		60000.000		
188.000	2.000		50.000	1.000		60000.000		
189.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
190.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
191.000	3.000	90133.000	5.000	1.000		60000.000	8.000	
192.000	3.000	20010.000	20.000	1.000		60000.000		
193.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
194.000	2.000		80.000	1.000		80000.000		
195.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
196.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
197.000	3.000	90133.000	6.000	1.000		80000.000	12.000	
198.000	3.000	20010.000	20.000	1.000		80000.000		
199.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
200.000	2.000		120.000	1.000		100000.000		
201.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
202.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
203.000	3.000	90133.000	7.000	1.000		100000.000	13.000	
204.000	3.000	20010.000	20.000	1.000		100000.000		
205.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
206.000	2.000		150.000	1.000		150000.000		
207.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
208.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
209.000	3.000	90133.000	10.000	1.000		150000.000	15.000	
210.000	3.000	20010.000	20.000	1.000		150000.000		
211.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
212.000	2.000		30.000	1.000		50000.000		
213.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
214.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
215.000	3.000	90137.000	4.000	1.000		50000.000	4.000	
216.000	3.000	20010.000	20.000	1.000		50000.000		
217.000	4.000	137.000	1.000	1.000		60000.000		
218.000	2.000		50.000	1.000		60000.000		
219.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
220.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
221.000	3.000	90137.000	5.000	1.000		60000.000	8.000	
222.000	3.000	20010.000	20.000	1.000		60000.000		
223.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
224.000	2.000		80.000	1.000		80000.000		
225.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
226.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
227.000	3.000	90137.000	6.000	1.000		80000.000	12.000	
228.000	3.000	20010.000	20.000	1.000		80000.000		
229.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
230.000	2.000		120.000	1.000		100000.000		
231.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
232.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
233.000	3.000	90137.000	7.000	1.000		100000.000	13.000	
234.000	3.000	20010.000	20.000	1.000		100000.000		
235.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
236.000	2.000		150.000	1.000		150000.000		
237.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
238.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
239.000	3.000	90137.000	10.000	1.000		150000.000	15.000	
240.000	3.000	20010.000	20.000	1.000		150000.000		
241.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
242.000	2.000		30.000	1.000		50000.000		
243.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
244.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
245.000	3.000	90123.000	4.000	1.000		50000.000	4.000	
246.000	3.000	20010.000	20.000	1.000		50000.000		
247.000	4.000	123.000	1.000	1.000		60000.000		
248.000	2.000		50.000	1.000		60000.000		
249.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
250.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
251.000	3.000	90123.000	5.000	1.000		60000.000	8.000	
252.000	3.000	20010.000	20.000	1.000		60000.000		
253.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
254.000	2.000		80.000	1.000		80000.000		
255.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
256.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
257.000	3.000	90123.000	6.000	1.000		80000.000	12.000	
258.000	3.000	20010.000	20.000	1.000		80000.000		
259.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
260.000	2.000		120.000	1.000		100000.000		
261.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
262.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
263.000	3.000	90123.000	7.000	1.000		100000.000	13.000	
264.000	3.000	20010.000	20.000	1.000		100000.000		
265.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
266.000	2.000		150.000	1.000		150000.000		
267.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
268.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
269.000	3.000	90123.000	10.000	1.000		150000.000	15.000	
270.000	3.000	20010.000	20.000	1.000		150000.000		
271.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
272.000	2.000		30.000	1.000		50000.000		
273.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
274.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
275.000	3.000	90115.000	4.000	1.000		50000.000	4.000	
276.000	3.000	20010.000	20.000	1.000		50000.000		
277.000	4.000	115.000	1.000	1.000		60000.000		
278.000	2.000		50.000	1.000		60000.000		
279.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
280.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
281.000	3.000	90115.000	5.000	1.000		60000.000	8.000	
282.000	3.000	20010.000	20.000	1.000		60000.000		
283.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
284.000	2.000		80.000	1.000		80000.000		
285.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
286.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
287.000	3.000	90115.000	6.000	1.000		80000.000	12.000	
288.000	3.000	20010.000	20.000	1.000		80000.000		
289.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
290.000	2.000		120.000	1.000		100000.000		
291.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
292.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
293.000	3.000	90115.000	7.000	1.000		100000.000	13.000	
294.000	3.000	20010.000	20.000	1.000		100000.000		
295.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
296.000	2.000		150.000	1.000		150000.000		
297.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
298.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
299.000	3.000	90115.000	10.000	1.000		150000.000	15.000	
300.000	3.000	20010.000	20.000	1.000		150000.000		
301.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
302.000	2.000		30.000	1.000		50000.000		
303.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
304.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
305.000	3.000	90129.000	4.000	1.000		50000.000	4.000	
306.000	3.000	20010.000	20.000	1.000		50000.000		
307.000	4.000	129.000	1.000	1.000		60000.000		
308.000	2.000		50.000	1.000		60000.000		
309.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
310.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
311.000	3.000	90129.000	5.000	1.000		60000.000	8.000	
312.000	3.000	20010.000	20.000	1.000		60000.000		
313.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
314.000	2.000		80.000	1.000		80000.000		
315.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
316.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
317.000	3.000	90129.000	6.000	1.000		80000.000	12.000	
318.000	3.000	20010.000	20.000	1.000		80000.000		
319.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
320.000	2.000		120.000	1.000		100000.000		
321.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
322.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
323.000	3.000	90129.000	7.000	1.000		100000.000	13.000	
324.000	3.000	20010.000	20.000	1.000		100000.000		
325.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
326.000	2.000		150.000	1.000		150000.000		
327.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
328.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
329.000	3.000	90129.000	10.000	1.000		150000.000	15.000	
330.000	3.000	20010.000	20.000	1.000		150000.000		
331.000	3.000	20006.000	1.000	1.000		50000.000	1.000	
332.000	2.000		30.000	1.000		50000.000		
333.000	3.000	20001.000	1.000	1.000		50000.000	2.000	
334.000	3.000	20007.000	1.000	1.000		50000.000	3.000	
335.000	3.000	90113.000	4.000	1.000		50000.000	4.000	
336.000	3.000	20010.000	20.000	1.000		50000.000		
337.000	4.000	113.000	1.000	1.000		60000.000		
338.000	2.000		50.000	1.000		60000.000		
339.000	3.000	20001.000	2.000	1.000		60000.000	6.000	
340.000	3.000	20008.000	1.000	1.000		60000.000	7.000	
341.000	3.000	90113.000	5.000	1.000		60000.000	8.000	
342.000	3.000	20010.000	20.000	1.000		60000.000		
343.000	3.000	20006.000	4.000	1.000		80000.000	9.000	
344.000	2.000		80.000	1.000		80000.000		
345.000	3.000	20001.000	3.000	1.000		80000.000	10.000	
346.000	3.000	20008.000	1.000	1.000		80000.000	11.000	
347.000	3.000	90113.000	6.000	1.000		80000.000	12.000	
348.000	3.000	20010.000	20.000	1.000		80000.000		
349.000	3.000	20003.000	5.000	1.000		100000.000	13.000	
350.000	2.000		120.000	1.000		100000.000		
351.000	3.000	20001.000	6.000	1.000		100000.000	13.000	
352.000	3.000	20009.000	1.000	1.000		100000.000	13.000	
353.000	3.000	90113.000	7.000	1.000		100000.000	13.000	
354.000	3.000	20010.000	20.000	1.000		100000.000		
355.000	3.000	20003.000	8.000	1.000		150000.000	14.000	
356.000	2.000		150.000	1.000		150000.000		
357.000	3.000	20002.000	6.000	1.000		150000.000	14.000	
358.000	3.000	20009.000	2.000	1.000		150000.000	14.000	
359.000	3.000	90113.000	10.000	1.000		150000.000	15.000	
360.000	3.000	20010.000	20.000	1.000		150000.000		
