ID	SkillType	EffectRatio	Factor	Damage	AddDamage	ExtraDamage	Effective	BuffID1	BuffID2	SelfBuff	
12100001.000			0.000	0.000	0.000	0.000	0.000	9121101.000	0.000		
12100002.000	1.000		1.720	22.880	22.880	34.320	0.000		0.000		
12100003.000			0.000	0.000	0.000	0.000	0.000	9121301.000	0.000		
12100004.000			0.000	0.000	0.000	0.000	0.000	9121401.000	0.000		
12200001.000			0.740	9.800	9.800	14.700	0.000	9122101.000	0.000		
12200002.000			1.550	20.680	20.680	31.020	0.000	0.000	0.000		
12200003.000			0.750	10.010	10.010	15.020	0.000	9122301.000	0.000		
12200004.000			0.000	0.000	0.000	0.000	0.000	9122401.000	0.000		
12300001.000			1.460	19.500	19.500	29.250	0.000	0.000	0.000		
12300002.000			1.870	24.960	24.960	37.440	0.000	0.000	0.000		
12300003.000			0.910	12.160	12.160	18.230	0.000	0.000	0.000		
12300004.000			0.000	0.000	0.000	0.000	0.000	9123401.000	0.000		
12400001.000		2.000	3.300	44.000	44.000	66.000	0.000			9124101.000	
12400002.000			1.190	15.840	15.840	23.760	0.000	9124201.000			
12400003.000	1.000	1.500	1.540	20.570	20.570	30.860	0.000				
12400004.000			0.000	0.000	0.000	0.000	0.000	9124401.000			
12500001.000			1.490	19.800	19.800	29.700	0.000	0.000	0.000		
12500002.000			1.090	14.520	14.520	21.780	0.000	9125201.000	0.000		
12500003.000			0.700	9.350	9.350	14.030	0.000	0.000	0.000		
12500004.000			0.000	0.000	0.000	0.000	0.000	9125401.000	0.000		
12600001.000			1.950	26.000	26.000	39.000	0.000				
12600002.000			1.400	18.720	18.720	28.080	0.000	9126201.000			
12600003.000			0.910	12.160	12.160	18.230	0.000				
12600004.000			0.000	0.000	0.000	0.000	0.000	9126401.000			
12700001.000			2.640	35.200	35.200	132.000	0.000	9127101.000			
12700002.000			0.530	7.040	7.040	10.560	0.000				
12700003.000	1.000		1.400	18.700	18.700	28.050	0.000				
12700004.000			0.000	0.000	0.000	0.000	0.000	9127401.000			
12900001.000			0.750	10.000	10.000	15.000	0.000	0.000	0.000		
12900002.000			0.540	7.200	7.200	10.800	0.000	9129201.000	0.000		
12900003.000			1.400	18.700	18.700	28.050	0.000	0.000	0.000		
12900004.000			0.000	0.000	0.000	0.000	0.000	9129401.000	0.000		
13000001.000			0.680	9.100	9.100	13.650	0.000	9130101.000	0.000		
13000002.000			0.640	8.580	8.580	12.870	0.000	9130201.000	0.000		
13000003.000			1.060	14.080	14.080	21.130	0.000	9130301.000	0.000		
13000004.000			0.000	0.000	0.000	0.000	0.000	9130401.000	0.000		
13100001.000			1.050	14.000	14.000	21.000	0.000	9131101.000	0.000		
13100002.000			1.440	19.200	19.200	28.800	0.000	0.000	0.000		
13100003.000			1.070	14.300	14.300	21.450	0.000	9131301.000	0.000		
13100004.000			0.000	0.000	0.000	0.000	0.000	9131401.000	0.000		
13300001.000			1.880	25.000	25.000	37.500	0.000	0.000	0.000		
13300002.000			1.080	14.400	14.400	21.600	0.000	9133201.000	0.000		
13300003.000			0.000	0.000	0.000	0.000	0.000	9133301.000	9133302.000		
13300004.000			0.000	0.000	0.000	0.000	0.000	9133401.000	0.000		
13500001.000			0.790	10.500	10.500	15.750	0.000	9135101.000	9135102.000		
13500002.000			1.200	16.000	16.000	24.000	0.000	0.000	0.000		
13500003.000			1.400	18.700	18.700	28.050	0.000	0.000	0.000		
13500004.000			0.000	0.000	0.000	0.000	0.000	9135401.000	0.000		
13700001.000			2.250	50.000	30.000	100.000	0.000	0.000	0.000		
13700002.000			1.200	16.000	16.000	24.000	0.000	0.000	0.000		
13700003.000			1.070	14.300	14.300	21.450	0.000	9137301.000	0.000		
13700004.000			0.000	0.000	0.000	0.000	0.000	9137401.000	0.000		
13800001.000			3.120	139.000	41.600	50.000	0.000	0.000	0.000		
13800002.000			1.400	18.720	18.720	28.080	0.000	9138201.000	0.000		
13800003.000			0.830	11.050	11.050	16.580	0.000	0.000	0.000		
13800004.000			0.000	0.000	0.000	0.000	0.000	9138401.000	0.000		
13900001.000			2.250	30.000	30.000	85.000	0.000				
13900002.000			1.320	17.600	17.600	26.400	0.000				
13900003.000			0.980	13.000	13.000	19.500	0.000				
13900004.000			0.000	0.000	0.000	0.000	0.000	9139401.000			
14000001.000	1.000		2.480	33.000	33.000	100.000	0.000				
14000002.000			1.190	15.840	15.840	23.760	0.000	9140201.000	0.000		
14000003.000			0.000	0.000	0.000	0.000	0.000	9140301.000	9140302.000		
14000004.000			0.000	0.000	0.000	0.000	0.000	9140401.000	0.000		
14100001.000			1.500	20.000	20.000	30.000	0.000	0.000	0.000		
14100002.000			1.200	16.000	16.000	24.000	0.000	0.000	0.000		
14100003.000			0.000	0.000	0.000	0.000	0.000	9141301.000	0.000		
14100004.000			0.000	0.000	0.000	0.000	0.000	9141401.000	0.000		
14200001.000			1.020	13.650	13.650	20.480	0.000	9142101.000	0.000		
14200002.000			0.700	9.360	9.360	14.040	0.000	9142201.000	0.000		
14200003.000			0.700	9.300	9.300	13.940	0.000	9142301.000	0.000		
14200004.000			0.000	0.000	0.000	0.000	0.000	9142401.000	0.000		
14300001.000			0.980	13.000	13.000	19.500	0.000	0.000	0.000		
14300002.000			1.140	15.250	15.250	22.880	0.000	0.000	0.000		
14300003.000			0.420	5.630	5.630	8.450	0.000	9143301.000	0.000		
14300004.000			0.000	0.000	0.000	0.000	0.000	9143401.000	0.000		
14400001.000			2.930	39.000	39.000	58.500	0.000	0.000	0.000		
14400002.000			0.620	8.320	8.320	12.480	0.000	0.000	0.000		
14400003.000			1.080	14.370	14.370	21.550	0.000	0.000	0.000		
14400004.000			0.000	0.000	0.000	0.000	0.000	9144401.000	0.000		
14500001.000			1.580	21.000	21.000	31.500	0.000				
14500002.000			1.440	19.200	19.200	28.800	0.000	9145201.000			
14500003.000			0.000	0.000	0.000	0.000	0.000	9145301.000			
14500004.000			0.000	0.000	0.000	0.000	0.000	9145401.000			
14600001.000			1.460	19.500	19.500	29.250	0.000				
14600002.000	1.000		0.420	5.550	5.550	8.320	0.000				
14600003.000			0.460	6.200	6.200	9.300	0.000	9146301.000			
14600004.000			0.000	0.000	0.000	0.000	0.000	9146401.000			
