ID	Type	Value1	Value2	AwardType	AwardID	AwardNum	
9087.000	3.000	200057.000	1.000	2.000		40.000	
9088.000	3.000	200059.000	1.000	2.000		40.000	
9089.000	3.000	200061.000	1.000	2.000		40.000	
9090.000	3.000	200063.000	1.000	2.000		40.000	
9091.000	3.000	200065.000	1.000	2.000		40.000	
9092.000	3.000	200067.000	1.000	2.000		40.000	
9093.000	3.000	200069.000	1.000	2.000		40.000	
9094.000	3.000	200071.000	1.000	2.000		40.000	
9095.000	3.000	200073.000	1.000	2.000		40.000	
9096.000	3.000	200075.000	1.000	2.000		40.000	
9097.000	3.000	200077.000	1.000	2.000		40.000	
9098.000	3.000	200079.000	1.000	2.000		40.000	
9099.000	4.000	200001.000	2.000	1.000	90141.000	5.000	
9100.000	4.000	200003.000	2.000	1.000	90141.000	5.000	
9101.000	4.000	200005.000	2.000	1.000	90141.000	5.000	
9102.000	4.000	200007.000	2.000	1.000	90141.000	5.000	
9103.000	4.000	200009.000	2.000	1.000	90141.000	5.000	
9104.000	4.000	200011.000	2.000	1.000	90141.000	5.000	
9105.000	4.000	200013.000	2.000	1.000	90141.000	5.000	
9106.000	4.000	200015.000	2.000	1.000	90141.000	5.000	
9107.000	4.000	200017.000	2.000	1.000	90141.000	5.000	
9108.000	4.000	200019.000	2.000	1.000	90141.000	5.000	
9109.000	4.000	200021.000	2.000	1.000	90141.000	5.000	
9110.000	4.000	200023.000	2.000	1.000	90141.000	5.000	
9111.000	4.000	200025.000	2.000	1.000	90141.000	5.000	
9112.000	4.000	200027.000	2.000	1.000	90141.000	5.000	
9113.000	4.000	200029.000	2.000	1.000	90141.000	5.000	
9114.000	4.000	200031.000	2.000	1.000	90141.000	5.000	
9115.000	4.000	200033.000	2.000	1.000	90141.000	5.000	
9116.000	4.000	200035.000	2.000	1.000	90141.000	5.000	
9117.000	4.000	200037.000	2.000	1.000	90141.000	5.000	
9118.000	4.000	200039.000	2.000	1.000	90141.000	5.000	
9300.000	5.000	2.000	1.000	4.000		10000.000	
9301.000	5.000	2.000	1.000	4.000		15000.000	
9302.000	5.000	2.000	3.000	4.000		20000.000	
9303.000	5.000	3.000	1.000	4.000		15000.000	
9304.000	5.000	3.000	1.000	4.000		25000.000	
9305.000	5.000	3.000	3.000	4.000		35000.000	
9306.000	5.000	4.000	1.000	4.000		20000.000	
9307.000	5.000	4.000	1.000	4.000		35000.000	
9308.000	5.000	4.000	3.000	4.000		50000.000	
9309.000	5.000	5.000	1.000	4.000		30000.000	
9310.000	5.000	5.000	2.000	4.000		45000.000	
9311.000	5.000	5.000	3.000	4.000		60000.000	
9312.000	5.000	6.000	1.000	4.000		40000.000	
9313.000	5.000	6.000	1.000	4.000		55000.000	
9314.000	5.000	6.000	3.000	4.000		70000.000	
9315.000	5.000	7.000	1.000	4.000		50000.000	
9316.000	5.000	7.000	1.000	4.000		65000.000	
9317.000	5.000	7.000	3.000	4.000		80000.000	
9400.000	6.000	5.000	1.000	1.000	90110.000	5.000	
9401.000	6.000	10.000	1.000	1.000	90110.000	5.000	
9402.000	6.000	15.000	1.000	1.000	90110.000	5.000	
9403.000	6.000	20.000	1.000	1.000	90110.000	5.000	
9404.000	6.000	25.000	1.000	1.000	90137.000	5.000	
9405.000	6.000	30.000	1.000	1.000	90137.000	5.000	
9406.000	6.000	35.000	1.000	1.000	90137.000	5.000	
9407.000	6.000	40.000	1.000	1.000	90137.000	5.000	
9408.000	6.000	45.000	1.000	1.000	90105.000	5.000	
9409.000	6.000	50.000	1.000	1.000	90105.000	5.000	
9410.000	6.000	55.000	1.000	1.000	90105.000	5.000	
9411.000	6.000	60.000	1.000	1.000	90105.000	5.000	
9412.000	6.000	65.000	1.000	1.000	90108.000	5.000	
9413.000	6.000	70.000	1.000	1.000	90108.000	5.000	
9414.000	6.000	75.000	1.000	1.000	90108.000	5.000	
9415.000	6.000	80.000	1.000	1.000	90108.000	5.000	
9500.000	7.000		6.000	2.000		10.000	
9501.000	7.000		1.000	2.000		10.000	
9502.000	7.000		1.000	2.000		10.000	
9503.000	7.000		1.000	2.000		10.000	
9504.000	7.000		1.000	2.000		10.000	
9505.000	7.000		1.000	2.000		20.000	
9506.000	7.000		1.000	2.000		20.000	
9507.000	7.000		1.000	2.000		20.000	
9508.000	7.000		1.000	2.000		20.000	
9509.000	7.000		1.000	2.000		20.000	
9510.000	7.000		1.000	2.000		30.000	
9511.000	7.000		1.000	2.000		30.000	
9512.000	7.000		1.000	2.000		30.000	
9513.000	7.000		1.000	2.000		30.000	
9514.000	7.000		1.000	2.000		30.000	
