Level	Experience	PlusNormal	NormalConsume	PlusEnhance	EnhanceConsume	PlusLimit	LimitConsume	EndConsume	
27.000	3.480	1.000	9375.000	1.200	20600.000	2.000	38.000	0.110	
28.000	3.660	1.000	9875.000	1.200	21700.000	2.000	40.000	0.110	
29.000	3.850	1.000	10375.000	1.200	22800.000	2.000	42.000	0.120	
30.000	4.030	1.000	10875.000	1.200	23900.000	2.000	44.000	0.120	
31.000	4.220	1.000	11375.000	1.200	25000.000	2.000	46.000	0.130	
32.000	4.400	1.000	11875.000	1.200	26100.000	2.000	48.000	0.130	
33.000	4.590	1.000	12375.000	1.200	27200.000	2.000	50.000	0.140	
34.000	4.770	1.000	12875.000	1.200	28300.000	2.000	52.000	0.140	
35.000	4.960	1.000	13375.000	1.200	29400.000	2.000	54.000	0.150	
36.000	5.140	1.000	13875.000	1.200	30500.000	2.000	56.000	0.160	
37.000	5.330	1.000	14375.000	1.200	31600.000	2.000	58.000	0.160	
38.000	5.510	1.000	14875.000	1.200	32700.000	2.000	60.000	0.170	
39.000	5.700	1.000	15375.000	1.200	33800.000	2.000	62.000	0.170	
40.000	5.880	1.000	15875.000	1.200	34900.000	2.000	64.000	0.180	
41.000	6.070	1.000	16375.000	1.200	36000.000	2.000	66.000	0.180	
42.000	6.250	1.000	16875.000	1.200	37100.000	2.000	68.000	0.190	
43.000	6.440	1.000	17375.000	1.200	38200.000	2.000	70.000	0.190	
44.000	6.630	1.000	17875.000	1.200	39300.000	2.000	72.000	0.200	
45.000	6.810	1.000	18375.000	1.200	40400.000	2.000	74.000	0.210	
46.000	7.000	1.000	18875.000	1.200	41500.000	2.000	76.000	0.210	
47.000	7.180	1.000	19375.000	1.200	42600.000	2.000	78.000	0.220	
48.000	7.370	1.000	19875.000	1.200	43700.000	2.000	80.000	0.220	
49.000	7.550	1.000	20375.000	1.200	44800.000	2.000	82.000	0.230	
50.000	7.740	1.000	20875.000	1.200	45900.000	2.000	84.000	0.230	
51.000	7.920	1.000	21375.000	1.200	47000.000	2.000	86.000	0.240	
52.000	8.110	1.000	21875.000	1.200	48100.000	2.000	88.000	0.240	
53.000	8.290	1.000	22375.000	1.200	49200.000	2.000	90.000	0.250	
54.000	8.480	1.000	22875.000	1.200	50300.000	2.000	92.000	0.260	
55.000	8.660	1.000	23375.000	1.200	51400.000	2.000	94.000	0.260	
56.000	8.850	1.000	23875.000	1.200	52500.000	2.000	96.000	0.270	
57.000	9.030	1.000	24375.000	1.200	53600.000	2.000	98.000	0.270	
58.000	9.220	1.000	24875.000	1.200	54700.000	2.000	100.000	0.280	
59.000	9.400	1.000	25375.000	1.200	55800.000	2.000	102.000	0.280	
60.000	9.590	1.000	25875.000	1.200	56900.000	2.000	104.000	0.290	
61.000	9.770	1.000	26375.000	1.200	58000.000	2.000	106.000	0.290	
62.000	9.960	1.000	26875.000	1.200	59100.000	2.000	108.000	0.300	
63.000	10.140	1.000	27375.000	1.200	60200.000	2.000	110.000	0.310	
64.000	10.330	1.000	27875.000	1.200	61300.000	2.000	112.000	0.310	
65.000	10.510	1.000	28375.000	1.200	62400.000	2.000	114.000	0.320	
66.000	10.700	1.000	28875.000	1.200	63500.000	2.000	116.000	0.320	
67.000	10.880	1.000	29375.000	1.200	64600.000	2.000	118.000	0.330	
68.000	11.070	1.000	29875.000	1.200	65700.000	2.000	120.000	0.330	
69.000	11.250	1.000	30375.000	1.200	66800.000	2.000	122.000	0.340	
70.000	11.440	1.000	30875.000	1.200	67900.000	2.000	124.000	0.340	
71.000	11.630	1.000	31375.000	1.200	69000.000	2.000	126.000	0.350	
72.000	11.810	1.000	31875.000	1.200	70100.000	2.000	128.000	0.360	
73.000	12.000	1.000	32375.000	1.200	71200.000	2.000	130.000	0.360	
74.000	12.180	1.000	32875.000	1.200	72300.000	2.000	132.000	0.370	
75.000	12.370	1.000	33375.000	1.200	73400.000	2.000	134.000	0.370	
76.000	12.550	1.000	33875.000	1.200	74500.000	2.000	136.000	0.380	
77.000	12.740	1.000	34375.000	1.200	75600.000	2.000	138.000	0.380	
78.000	12.920	1.000	34875.000	1.200	76700.000	2.000	140.000	0.390	
79.000	13.110	1.000	35375.000	1.200	77800.000	2.000	142.000	0.390	
80.000	13.290	1.000	35875.000	1.200	78900.000	2.000	144.000	0.400	
