//名称	编号	脚本ID	类型	物品模型编号	最大耐久度	耐久改变方式	耐久改变数	叠加数量	购入货币类型	购买价格	使用门派	等级需求	性别需求	可否丢弃	可否卖店	可否交易	可否修理	可否存仓库	死亡掉落	可否使用	可否鉴定	冷却时间	冷却组	吟唱时间（毫秒）	道具颜色类型	任务关联	任务关联数量	图标编号	物品说明
//★【新手装备】★	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
地化	2000008	0	101	208	4000	16	0	1	1	0	3	65	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，江湖侠士惯用武器。
斗魁	2000009	0	101	208	4000	16	0	1	1	0	3	70	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，江湖侠士惯用武器。
震涽 	2000010	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
少林白色武器11	2000011	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
少林白色武器12	2000012	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，民间习武之人惯用武器。
少林白色武器13	2000013	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，江湖侠士惯用武器。
少林白色武器14	2000014	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	兵器的一种，江湖侠士惯用武器。
少林白色武器15	2000015	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
少林白色武器16	2000016	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
少林白色武器17	2000017	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
少林白色武器18	2000018	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
少林白色武器19	2000019	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
少林白色武器20	2000020	0	101	208	4000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	20009	
//【少林蓝色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
神武	2001001	0	101	200	6000	16	0	1	1	127	3	1	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20001	兵器的一种，武林人士常用武器。
赤碧	2001002	0	101	201	6000	16	0	1	1	1040	3	10	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20002	兵器的一种，武林人士常用武器。
虎啸	2001003	0	101	201	6000	16	0	1	1	2614	3	20	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20002	兵器的一种，武林人士常用武器。
天门	2001004	0	101	202	6000	16	0	1	1	4534	3	30	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20003	兵器的一种，武林人士常用武器。
伏魂	2001005	0	101	202	6000	16	0	1	1	6780	3	40	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20003	兵器的一种，武林高手首选武器。
雷纹	2001006	0	101	202	6000	16	0	1	1	9312	3	50	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20003	兵器的一种，武林高手首选武器。
金刚	2001007	0	101	203	6000	16	0	1	1	12125	3	60	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20004	兵器的一种，武林高手首选武器。
纵横	2001008	0	101	203	6000	16	0	1	1	15222	3	65	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20004	兵器的一种，武林高手首选武器。
无上	2001009	0	101	208	6000	16	0	1	1	18605	3	70	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	兵器的一种，武林高手首选武器。
金蝉	2001010	0	101	208	6000	16	0	1	1	22284	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	兵器的一种，武林顶尖高手必用武器，内力深厚者方能穿戴自如。
少林蓝色武器11	2001011	0	101	208	6000	16	0	1	1	26266	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	绝世兵器，除了前朝史书记载，从未有人提过它的存在，史书道此宝物伴随着人类的文明进步销声匿迹。
少林蓝色武器12	2001012	0	101	208	6000	16	0	1	1	30565	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	少林专为达摩院武僧特别制作出来的。
少林蓝色武器13	2001013	0	101	208	6000	16	0	1	1	35192	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	传闻此物中有迦叶禅师的舍利粉存在。
少林蓝色武器14	2001014	0	101	208	6000	16	0	1	1	40163	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	据传乃是达摩从西域所带之物，曾用金丝匣子存放。
少林蓝色武器15	2001015	0	101	208	6000	16	0	1	1	45494	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	据说达摩弟子坐化，化身佛门金刚之后遗留下来的。
少林蓝色武器16	2001016	0	101	208	6000	16	0	1	1	51201	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	
少林蓝色武器17	2001017	0	101	208	6000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	
少林蓝色武器18	2001018	0	101	208	6000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	
少林蓝色武器19	2001019	0	101	208	6000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	
少林蓝色武器20	2001020	0	101	208	6000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	20009	
//【少林紫色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
亢天	2002001	0	101	203	7000	16	0	1	1	24251	3	1	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20004	宫庭宝物，兵器的一种，宫内宝库历年收集，少数流落民间。
白金	2002002	0	101	208	7000	16	0	1	1	30444	3	10	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭宝物，兵器的一种，宫内宝库历年收集，少数流落民间。
金鼎	2002003	0	101	208	7000	16	0	1	1	37211	3	20	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭宝物，兵器的一种，宫内宝库历年收集，少数流落民间。
降慧	2002004	0	101	208	7000	16	0	1	1	44568	3	30	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭宝物，兵器的一种，宫内宝库历年收集，少数流落民间。
截脉	2002005	0	101	208	7000	16	0	1	1	52532	3	40	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭宝物，兵器的一种，宫内宝库历年收集，少许流落民间。
大阳	2002006	0	101	208	7000	16	0	1	1	61129	3	50	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭宝物，兵器的一种，宫内宝库历年收集，少许流落民间。
圣殒	2002007	0	101	208	7000	16	0	1	1	70385	3	60	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	宫庭至宝，兵器的一种，宫内聚宝阁珍藏，战乱时太监盗出，民间极难见其真容。
大渡	2002008	0	101	208	7000	16	0	1	1	80326	3	65	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	神话中提到过的兵器，称其身暗纹藏有符咒，在某种环境下，能爆发出难以想像的力量。
金顶	2002009	0	101	208	7000	16	0	1	1	90988	3	70	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	空禅大师平生喜好炼制稀奇之物，为炼制这套物品，寻觅了所有山川大地，才完全集成所有材料。
藏武	2002010	0	101	208	7000	16	0	1	1	102401	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	万物皆有宝相，为少林所藏之宝物。
少林紫色武器11	2002011	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	传闻中，是由金菩提叶制造而成的。
少林紫色武器12	2002012	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	据说由神佛赐下之物。
少林紫色武器13	2002013	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	万物皆有宝相，为少林所藏之宝物。
少林紫色武器14	2002014	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	传闻中，是由金菩提叶制造而成的。
少林紫色武器15	2002015	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	据说由神佛赐下之物。
少林紫色武器16	2002016	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	
少林紫色武器17	2002017	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	
少林紫色武器18	2002018	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	
少林紫色武器19	2002019	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	
少林紫色武器20	2002020	0	101	208	7000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	3	0	0	20009	
//【少林橙色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
霸天	2003001	0	101	208	8500	16	0	1	1	48501	3	1	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
秦星	2003002	0	101	208	8500	16	0	1	1	60887	3	10	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
蟠龙	2003003	0	101	208	8500	16	0	1	1	74422	3	20	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
霸决	2003004	0	101	208	8500	16	0	1	1	89135	3	30	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器，数量稀少。
慠昊	2003005	0	101	208	8500	16	0	1	1	105063	3	40	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	鬼神故事中提到过冥界兵器，只存在于上古充满鬼神的混沌世界，华丽无比望之心醉，如今只是传说。
傲世	2003006	0	101	208	8500	16	0	1	1	122258	3	50	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	少林伏虎大师用毕生心血所炼而成。
刚傲	2003007	0	101	208	8500	16	0	1	1	140769	3	60	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	曾有一奇僧，遍寻东海，偶遇恶蛟害人。杀之！才得知此蛟将已成龙，衣裳以及所带饰物被恶蛟鲜血所溅，出现万般变化。
极渡	2003008	0	101	208	8500	16	0	1	1	160653	3	65	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	据说乃是佛祖释迦传于达摩之物。
乾坤	2003009	0	101	208	8500	16	0	1	1	181975	3	70	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
宝明	2003010	0	101	208	8500	16	0	1	1	204802	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
少林橙色武器11	2003011	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器，数量稀少。
少林橙色武器12	2003012	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	鬼神故事中提到过冥界兵器，只存在于上古充满鬼神的混沌世界，华丽无比望之心醉，如今只是传说。
少林橙色武器13	2003013	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	少林伏虎大师用毕生心血所炼而成。
少林橙色武器14	2003014	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	曾有一奇僧，遍寻东海，偶遇恶蛟害人。杀之！才得知此蛟将已成龙，衣裳以及所带饰物被恶蛟鲜血所溅，出现万般变化。
少林橙色武器15	2003015	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	据说乃是佛祖释迦传于达摩之物。
少林橙色武器16	2003016	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	
少林橙色武器17	2003017	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	
少林橙色武器18	2003018	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	
少林橙色武器19	2003019	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	
少林橙色武器20	2003020	0	101	208	8500	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	4	0	0	20009	
//【少林金色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
乌罡	2004001	0	101	208	10000	16	0	1	1	97002	3	1	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
狼奔	2004002	0	101	208	10000	16	0	1	1	121774	3	10	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
藏星	2004003	0	101	208	10000	16	0	1	1	148843	3	20	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
无灭	2004004	0	101	208	10000	16	0	1	1	178270	3	30	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器，数量稀少。
忘悔	2004005	0	101	208	10000	16	0	1	1	210126	3	40	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	鬼神故事中提到过冥界兵器，只存在于上古充满鬼神的混沌世界，华丽无比望之心醉，如今只是传说。
四象	2004006	0	101	208	10000	16	0	1	1	244517	3	50	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	少林伏虎大师用毕生心血所炼而成。
崇刚	2004007	0	101	208	10000	16	0	1	1	281538	3	60	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	曾有一奇僧，遍寻东海，偶遇恶蛟害人。杀之！才得知此蛟将已成龙，衣裳以及所带饰物被恶蛟鲜血所溅，出现万般变化。
极乐	2004008	0	101	208	10000	16	0	1	1	321306	3	65	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	据说乃是佛祖释迦传于达摩之物。
金光	2004009	0	101	208	10000	16	0	1	1	363950	3	70	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
龙虎	2004010	0	101	208	10000	16	0	1	1	409605	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器。
少林金色武器11	2004011	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	至宝，兵器的一种，武林人士为之争斗的传世武器，数量稀少。
少林金色武器12	2004012	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	鬼神故事中提到过冥界兵器，只存在于上古充满鬼神的混沌世界，华丽无比望之心醉，如今只是传说。
少林金色武器13	2004013	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	少林伏虎大师用毕生心血所炼而成。
少林金色武器14	2004014	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	曾有一奇僧，遍寻东海，偶遇恶蛟害人。杀之！才得知此蛟将已成龙，衣裳以及所带饰物被恶蛟鲜血所溅，出现万般变化。
少林金色武器15	2004015	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	据说乃是佛祖释迦传于达摩之物。
少林金色武器16	2004016	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	
少林金色武器17	2004017	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	
少林金色武器18	2004018	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	
少林金色武器19	2004019	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	
少林金色武器20	2004020	0	101	208	10000	16	0	1	1	0	3	75	0	1	1	1	1	0	0	1	0	0	0	0	5	0	0	20009	
//★【蜀山武器】★	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
//【蜀山白色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
佩云	2020001	0	101	50	4000	16	0	1	1	64	2	1	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14001	兵器的一种，百姓日常武器。
邬风	2020002	0	101	51	4000	16	0	1	1	520	2	10	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14002	兵器的一种，百姓日常武器。
凌波	2020003	0	101	51	4000	16	0	1	1	1307	2	20	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14002	兵器的一种，民间习武之人惯用武器。
帘星	2020004	0	101	51	4000	16	0	1	1	2267	2	30	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14002	兵器的一种，民间习武之人惯用武器。
鹏羽	2020005	0	101	58	4000	16	0	1	1	0	2	40	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，民间习武之人惯用武器。
腾云	2020006	0	101	58	4000	16	0	1	1	0	2	50	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，民间习武之人惯用武器。
飞曜	2020007	0	101	58	4000	16	0	1	1	0	2	60	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，民间习武之人惯用武器。
飞灀	2020008	0	101	58	4000	16	0	1	1	0	2	65	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，江湖侠士惯用武器。
回风	2020009	0	101	58	4000	16	0	1	1	0	2	70	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，江湖侠士惯用武器。
悬天	2020010	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，习武初学武器。
蜀山白色武器11	2020011	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，百姓日常武器。
蜀山白色武器12	2020012	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，百姓日常武器。
蜀山白色武器13	2020013	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，民间习武之人惯用武器。
蜀山白色武器14	2020014	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	兵器的一种，民间习武之人惯用武器。
蜀山白色武器15	2020015	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
蜀山白色武器16	2020016	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
蜀山白色武器17	2020017	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
蜀山白色武器18	2020018	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
蜀山白色武器19	2020019	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
蜀山白色武器20	2020020	0	101	58	4000	16	0	1	1	0	2	75	0	1	1	1	1	0	0	1	0	0	0	0	1	0	0	14009	0
//【蜀山蓝色武器】	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0
炎云	2021001	0	101	50	6000	16	0	1	1	127	2	1	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	14001	兵器的一种，武林人士常用武器。
洞云	2021002	0	101	51	6000	16	0	1	1	1040	2	10	0	1	1	1	1	0	0	1	0	0	0	0	2	0	0	14002	兵器的一种，武林人士常用武器。
