//经脉	脉线序号	穴位序号	生命上限	内力上限	体力上限	攻击	防御	暴击	闪避	所需道具ID	成功率	所需真气
//【阴跷脉】	0	0	0	0	0	0	0	0	0	0	0	0
//【阳维脉】	0	0	0	0	0	0	0	0	0	0	0	0
金门	4	58	73	0	0	19	0	0	0	3500058	50	2338
阳交	4	59	0	0	5	0	0	7	0	3500059	50	668
臑俞	4	60	73	0	0	19	0	0	0	3500060	50	2338
天髎	4	61	0	0	0	0	13	0	11	3500061	50	1965
肩井	4	62	74	0	0	0	0	7	0	3500062	50	1555
头维	4	63	74	23	0	0	0	0	0	3500063	50	1155
本神	4	64	0	0	0	0	13	0	11	3500064	50	1965
隐白	4	65	74	0	0	0	0	7	0	3500065	50	1555
头临泣	4	66	73	0	4	0	0	0	0	3500066	50	943
目窗	4	67	0	23	0	0	0	7	0	3500067	50	860
正营	4	68	73	0	0	0	0	0	10	3500068	50	1813
承灵	4	69	0	23	0	0	12	0	0	3500069	50	1130
脑空	4	70	0	0	4	20	0	0	0	3500070	50	1530
天容	4	71	74	0	0	0	0	0	10	3500071	50	1825
风府	4	72	74	0	0	0	0	7	0	3500072	50	1555
哑门	4	73	0	0	5	19	0	0	0	3500073	50	1463
云门	4	74	0	23	0	0	12	0	0	3500074	50	1130
尺泽	4	75	74	23	0	0	0	0	0	3500075	50	1155
孔最	4	76	74	0	0	0	0	0	10	3500076	50	1825
列缺	4	77	0	0	0	19	0	7	0	3500077	50	2055
经渠	4	78	0	23	0	0	12	0	0	3500078	50	1130
太渊	4	79	74	23	0	0	0	0	0	3500079	50	1155
鱼际	4	80	0	0	5	0	0	0	11	3500080	50	1028
少商	4	81	0	0	0	19	12	0	0	3500081	50	2325
额外奖励	4	0	192	35	5	25	16	9	14	0	0	0
//【冲脉】	0	0	0	0	0	0	0	0	0	0	0	0
会阴	5	82	73	0	0	19	0	0	0	3500082	50	2922
阴交	5	83	0	0	5	0	0	7	0	3500083	50	835
牵正	5	84	0	0	0	19	0	7	0	3500084	50	2569
横骨	5	85	0	0	0	0	13	0	11	3500085	50	2457
大赫	5	86	73	23	0	0	0	0	0	3500086	50	1428
气穴	5	87	73	23	0	0	0	0	0	3500087	50	1428
四满	5	88	0	0	5	19	0	0	0	3500088	50	1828
中注	5	89	74	0	0	0	0	7	0	3500089	50	1944
盲俞	5	90	74	0	4	0	0	0	0	3500090	50	1194
商曲	5	91	0	0	4	20	0	0	0	3500091	50	1913
石关	5	92	74	0	0	0	0	0	10	3500092	50	2282
阴都	5	93	0	23	0	0	12	0	0	3500093	50	1413
通谷	5	94	0	0	0	0	13	0	11	3500094	50	2457
幽门	5	95	74	0	0	0	0	0	10	3500095	50	2282
关门	5	96	74	0	0	0	0	7	0	3500096	50	1944
太乙	5	97	0	23	0	0	0	7	0	3500097	50	1075
天枢	5	98	0	23	0	0	12	0	0	3500098	50	1413
大巨	5	99	74	0	0	0	0	7	0	3500099	50	1944
气舍	5	100	74	0	0	0	0	0	10	3500100	50	2282
水突	5	101	74	0	0	19	0	0	0	3500101	50	2938
水道	5	102	0	23	0	0	12	0	0	3500102	50	1413
外陵	5	103	73	23	0	0	0	0	0	3500103	50	1428
滑肉门	5	104	0	0	5	0	0	0	11	3500104	50	1285
归来	5	105	0	0	0	19	12	0	0	3500105	50	2907
额外奖励	5	0	288	52	8	38	24	14	20	0	0	0
//【带脉】	0	0	0	0	0	0	0	0	0	0	0	0
带脉	6	106	0	0	4	0	0	7	0	3500106	50	825
五枢	6	107	87	0	0	18	0	0	0	3500107	50	3047
维道	6	108	0	0	4	0	0	7	0	3500108	50	825
天冲	6	109	0	25	0	0	12	0	0	3500109	50	1438
浮白	6	110	0	0	3	19	0	0	0	3500110	50	1810
头窍阴	6	111	0	0	0	0	12	0	10	3500111	50	2250
完骨	6	112	88	0	0	0	0	6	0	3500112	50	2050
周荣	6	113	87	0	0	18	0	0	0	3500113	50	3047
阳白	6	114	0	26	0	0	0	0	10	3500114	50	1450
睛明	6	115	0	25	0	0	12	0	0	3500115	50	1438
大迎	6	116	0	26	0	0	0	6	0	3500116	50	1000
建里	6	117	87	0	0	0	11	0	0	3500117	50	2391
海泉	6	118	0	0	3	18	0	0	0	3500118	50	1716
桥弓	6	119	87	0	0	0	0	0	10	3500119	50	2485
外丘	6	120	0	25	0	0	0	0	10	3500120	50	1438
光明	6	121	87	0	0	0	12	0	0	3500121	50	2485
阳辅	6	122	87	0	0	18	0	0	0	3500122	50	3047
悬钟	6	123	0	0	4	0	0	7	0	3500123	50	825
丘墟	6	124	87	0	0	0	0	0	10	3500124	50	2485
额外奖励	6	0	288	52	8	38	24	14	20	0	0	0
//【任脉】	0	0	0	0	0	0	0	0	0	0	0	0
曲骨	7	125	0	0	0	19	12	0	0	3500125	25	3488
中极	7	126	0	0	5	0	0	7	0	3500126	25	1002
关元	7	127	0	0	0	19	0	7	0	3500127	25	3083
下脘	7	128	73	23	0	0	0	0	0	3500128	25	1714
中脘	7	129	0	0	5	19	0	0	0	3500129	25	2194
上脘	7	130	74	0	4	0	0	0	0	3500130	25	1433
天突	7	131	74	0	0	0	0	0	10	3500131	25	2738
囟会	7	132	0	0	0	0	13	0	11	3500132	25	2948
承浆	7	133	74	0	0	0	0	7	0	3500133	25	2333
大钟	7	134	0	23	0	0	12	0	0	3500134	25	1695
水泉	7	135	74	0	0	0	0	0	10	3500135	25	2738
灵台	7	136	74	0	0	19	0	0	0	3500136	25	3525
灵墟	7	137	73	23	0	0	0	0	0	3500137	25	1714
箕门	7	138	73	0	0	19	0	0	0	3500138	25	3507
涌泉	7	139	0	0	0	0	13	0	11	3500139	25	2948
神封	7	140	74	0	0	0	0	7	0	3500140	25	2333
地机	7	141	0	23	0	0	12	0	0	3500141	25	1695
血海	7	142	74	0	0	0	0	7	0	3500142	25	2333
腹通谷	7	143	74	0	0	0	0	0	10	3500143	25	2738
步廊	7	144	0	23	0	0	12	0	0	3500144	25	1695
神藏	7	145	0	0	5	0	0	0	11	3500145	25	1542
俞府	7	146	0	23	0	0	0	7	0	3500146	25	1290
复溜	7	147	0	0	4	20	0	0	0	3500147	25	2295
阴陵泉	7	148	73	23	0	0	0	0	0	3500148	25	1714
额外奖励	7	0	383	70	10	50	32	18	27	0	0	0
//【督脉】	0	0	0	0	0	0	0	0	0	0	0	0
长强	8	149	0	0	5	0	0	7	0	3500149	25	1002
腰俞	8	150	0	0	0	0	13	0	11	3500150	25	2948
阳关	8	151	73	23	0	0	0	0	0	3500151	25	1714
悬枢	8	152	74	0	0	0	0	7	0	3500152	25	2333
脊中	8	153	0	0	4	20	0	0	0	3500153	25	2295
中枢	8	154	0	23	0	0	12	0	0	3500154	25	1695
筋缩	8	155	74	0	0	0	0	0	10	3500155	25	2738
至阳	8	156	0	23	0	0	0	7	0	3500156	25	1290
神道	8	157	74	0	0	0	0	7	0	3500157	25	2333
身柱	8	158	74	0	0	19	0	0	0	3500158	25	3525
陶道	8	159	73	23	0	0	0	0	0	3500159	25	1714
大椎	8	160	0	0	0	19	12	0	0	3500160	25	3488
哑门	8	161	73	0	0	19	0	0	0	3500161	25	3507
脑户	8	162	0	0	0	19	0	7	0	3500162	25	3083
强间	8	163	73	23	0	0	0	0	0	3500163	25	1714
后顶	8	164	0	0	5	19	0	0	0	3500164	25	2194
百会	8	165	74	0	4	0	0	0	0	3500165	25	1433
前顶	8	166	74	0	0	0	0	0	10	3500166	25	2738
上星	8	167	0	0	0	0	13	0	11	3500167	25	2948
神庭	8	168	74	0	0	0	0	7	0	3500168	25	2333
素髎	8	169	0	23	0	0	12	0	0	3500169	25	1695
水沟	8	170	74	0	0	0	0	0	10	3500170	25	2738
兑端	8	171	0	23	0	0	12	0	0	3500171	25	1695
龈交	8	172	0	0	5	0	0	0	11	3500172	25	1542
额外奖励	8	0	383	70	10	50	32	18	27	0	0	0
//【经外奇脉】	0	0	0	0	0	0	0	0	0	0	0	0
神聪	9	173	0	25	0	0	0	7	0	3500173	25	1540
印堂	9	174	77	0	0	19	0	0	0	3500174	25	4178
鱼腰	9	175	0	26	0	0	11	0	0	3500175	25	1899
太阳	9	176	77	0	5	0	0	0	0	3500176	25	1750
金津	9	177	0	0	0	19	0	0	9	3500177	25	3912
梁丘	9	178	77	0	0	0	12	0	0	3500178	25	3260
耳尖	9	179	0	25	0	0	0	7	0	3500179	25	1540
球后	9	180	77	0	0	18	0	0	0	3500180	25	4047
翳明	9	181	0	0	6	0	0	0	9	3500181	25	1497
定喘	9	182	78	0	0	0	0	6	0	3500182	25	2652
八邪	9	183	0	26	0	0	12	0	0	3500183	25	2030
四缝	9	184	77	0	0	0	0	0	8	3500184	25	2945
二白	9	185	77	0	0	18	0	0	0	3500185	25	4047
夹脊	9	186	0	0	6	0	0	7	0	3500186	25	1182
十宣	9	187	77	0	0	0	0	0	8	3500187	25	2945
鹤顶	9	188	0	26	0	0	12	0	0	3500188	25	2030
腰奇	9	189	77	0	0	0	0	6	0	3500189	25	2630
腰痛	9	190	77	0	0	18	0	0	0	3500190	25	4047
百虫窝	9	191	77	0	0	0	0	0	8	3500191	25	2945
膝眼	9	192	0	26	0	0	12	0	0	3500192	25	2030
胆囊	9	193	0	0	0	19	0	7	0	3500193	25	3597
阑尾	9	194	0	0	5	0	0	0	9	3500194	25	1483
八风	9	195	0	0	0	0	12	0	9	3500195	25	2993
额外奖励	9	0	527	96	14	69	44	25	37	0	0	0
