[2013-12-20 10:44:55] 当前服务器玩家数量0,[2013-12-20,10:44:55]
[2013-12-20 10:47:20] 发错一个错误的道具-1
[2013-12-20 10:51:41] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:51:45] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:51:48] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:51:49] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:51:50] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:51:51] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:51:52] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:51:53] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:51:55] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:51:56] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:51:57] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:0] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:1] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:2] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:3] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:4] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:5] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:7] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:8] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:9] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:12] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:13] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:14] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:15] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:16] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:17] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:19] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:20] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:21] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:24] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:28] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:29] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:30] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:31] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:32] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:33] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:35] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:36] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:37] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:40] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:41] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:42] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:44] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:45] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:46] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:47] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:48] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:49] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:52] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:53] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:54] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:56] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:52:57] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:52:58] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:52:59] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:0] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:1] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:4] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:8] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:9] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:10] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:11] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:12] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:13] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:14] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:15] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:16] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:20] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:21] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:22] 发错一个错误的道具-1
[2013-12-20 10:53:22] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:23] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:24] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:25] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:27] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:28] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:29] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:32] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:33] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:34] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:36] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:37] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:38] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:39] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:40] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:41] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:45] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:48] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:49] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:50] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:51] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:52] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:53] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:53:55] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:53:56] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:53:57] 发错一个错误的道具-1
[2013-12-20 10:53:57] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:0] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:1] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:54:2] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:54:3] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:4] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:54:5] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:54:7] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:8] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:54:9] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:54:12] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:13] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 10:54:14] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 10:54:16] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 10:54:55] 当前服务器玩家数量1,[2013-12-20,10:54:55]
[2013-12-20 17:2:45] 当前服务器玩家数量0,[2013-12-20,17:2:45]
[2013-12-20 17:3:59] 发错一个错误的道具-1
[2013-12-20 17:3:59] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 17:4:0] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 17:4:1] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 17:4:2] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 17:4:3] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 17:4:4] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 17:4:5] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 17:4:10] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 17:4:11] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 17:4:12] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 17:4:13] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 17:12:45] 当前服务器玩家数量0,[2013-12-20,17:12:45]
[2013-12-20 17:22:46] 当前服务器玩家数量0,[2013-12-20,17:22:46]
[2013-12-20 17:32:46] 当前服务器玩家数量0,[2013-12-20,17:32:46]
[2013-12-20 17:42:46] 当前服务器玩家数量0,[2013-12-20,17:42:46]
[2013-12-20 17:52:46] 当前服务器玩家数量0,[2013-12-20,17:52:46]
[2013-12-20 18:2:46] 当前服务器玩家数量0,[2013-12-20,18:2:46]
[2013-12-20 18:6:29] 发错一个错误的道具-1
[2013-12-20 18:6:29] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:30] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:31] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:32] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:33] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:39] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:40] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:41] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:42] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:43] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:44] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:45] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:46] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:47] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:51] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:52] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:53] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:54] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:55] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:56] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:6:57] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:6:58] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:6:59] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:3] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:4] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:5] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:6] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:7] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:8] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:9] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:10] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:11] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:15] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:19] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:20] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:21] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:22] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:23] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:24] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:26] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:27] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:28] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:31] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:32] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:33] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:34] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:35] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:36] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:38] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:39] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:40] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:41] 发错一个错误的道具-1
[2013-12-20 18:7:41] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:43] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:44] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:45] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:46] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:47] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:48] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:51] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:52] SendDamageMessageBySkillAttack_Normal 2
[2013-12-20 18:7:53] SendDamageMessageBySkillAttack_Normal 0
[2013-12-20 18:7:55] SendDamageMessageBySkillAttack_Normal 1
[2013-12-20 18:7:58] SendDamageMessageBySkillAttack_Normal 0
