//±‡∫≈	√˚≥∆	Õ‚π€±‡∫≈&Õ∑œÒ±‡∫≈	µ»º∂	…˙√¸	ƒ⁄¡¶	 ∆¡¶	∑«’Ω∂∑“∆∂ØÀŸ∂»	’Ω∂∑“∆∂ØÀŸ∂»	÷ÿ…˙ ±º‰£®∫¡√Î£©	ø… ”æ‡¿Î	…ÌÃÂƒ£–Õ¥Û–°	◊‘”…ªÓ∂Ø∑∂Œß	◊∑◊Ÿ∑∂Œß	π•ª˜÷µ	∑¿”˘÷µ	…¡±‹÷µ	±©ª˜÷µ	π•ª˜ÀŸ∂»	π÷ŒÔ¿‡–Õ	π•ª˜¿‡–Õ	–Ø¥¯æ≠—È	–Ø¥¯’Ê∆¯	—™π÷±‰…Ìº∏¬ 	π•π÷±‰…Ìº∏¬ 	∑¿π÷±‰…Ìº∏¬ 	π•ª˜º‰∏Ù£®º‰∏Ù£©	…±π÷»ŒŒÒ∑÷◊È	≥ØœÚΩ«∂»	◊∑ª˜Õ£÷πÃıº˛	“∆∂Ø¿‡–Õ	À—À˜ƒø±Íº‰∏Ù	Õ£¡Ù ±º‰œ¬œﬁ	Õ£¡Ù ±º‰…œœﬁ	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	ººƒ‹ID	Ai¿‡–Õ	GROUPID	øπ±©	∆∆ª˜	øπ∆∆	¥©¥Ã	øπ¥©	√¸÷–
//°æ • ﬁπ»°ø	±‡∫≈1-50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
18	Œ“ «¥ÃøÕ	20002	1	2908	0	0	100	100	10000	500	100	200	500	8	0	0	0	2000	0	0	0	9	0	0	0	2000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
//°æ√‘ŒÌ¡÷°ø	±‡∫≈51-200	0	0	0	0	0	100	0	0	0	0	0	500	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
51	“∞¿«	20002	11	100	93	0	100	500	10000	500	100	200	500	10	22	30	0	3000	1	1	87	9	10	20	30	2000	0	0	0	1	5000	15	25	12001	12001	12001	12001	12001	1	1	0	0	0	0	0	0
52	“∞–‹	20002	14	100	93	0	100	500	10000	500	100	200	500	10	22	30	0	3000	1	1	87	9	10	20	30	2000	0	0	0	1	5000	15	25	12001	12001	12001	12001	12001	1	1	0	0	0	0	0	0
53	ÕÚΩŸΩÃæ´±¯	20002	17	100	93	0	100	500	10000	500	100	200	500	10	22	30	0	3000	1	1	87	9	10	20	30	2000	0	0	0	1	5000	15	25	12001	12001	12001	12001	12001	1	1	0	0	0	0	0	0
54	ÕÚΩŸΩÃ≥§¿œ	20002	18	100	93	0	100	500	10000	500	100	200	500	10	22	30	0	3000	1	1	87	9	10	20	30	2000	0	0	0	1	5000	15	25	12001	12001	12001	12001	12001	1	1	0	0	0	0	0	0
55	ÕÚΩŸΩÃΩÃ÷˜	20002	18	100	93	0	100	500	10000	500	100	200	500	10	22	30	0	3000	1	1	87	9	10	20	30	2000	0	0	0	1	5000	15	25	12001	12001	12001	12001	12001	1	1	0	0	0	0	0	0
//°æπ÷ŒÔ≥¬¡– “°ø	0	0	0	0	0	0	100	0	0	0	0	0	500	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0
9001	¥ÛΩ£ ø±¯	20002	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50022	50022	50022	50022	3	1	0	0	0	0	0	0
9002	»À¿‡≈Æ∑® ¶	20011	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	50111	50112	50111	50111	50111	3	1	0	0	0	0	0	0
9003	±¨∆∆±¯	20010	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9004	¿«	20012	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50122	12001	12001	12001	3	1	0	0	0	0	0	0
9005	 ØœÒπÌ	20013	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9006	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9007	ƒæƒÀ“¡	20015	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	58152	12001	12001	12001	3	1	0	0	0	0	0	0
9008	Ú·ÚÊ»À≥§«π	20016	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9009	¡∂”¸¿œ Û	20017	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9010	¿«»ÀÀ´≥÷	20018	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50182	12001	12001	12001	3	1	0	0	0	0	0	0
9011	¿«»ÀÀ´ ÷∏´	20019	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50192	12001	12001	12001	3	1	0	0	0	0	0	0
9012	 ÿ“π’ﬂ	20020	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50202	12001	12001	12001	3	1	0	0	0	0	0	0
9013	Ã·œﬂƒæ≈º	20021	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9014	÷– ¿ºÕ∏´Õ∑±¯	20022	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50222	12001	12001	12001	3	1	0	0	0	0	0	0
9015	π˙Õı	20023	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58231	58231	58233	12001	12001	3	1	0	0	0	0	0	0
9016	¿«»Àπ˛¬ﬁµ¬	20024	1	100	0	0	100	100	10000	500	60	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58241	58242	58243	58244	12001	3	1	0	0	0	0	0	0
9017	ƒßÕı¿«	20025	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50252	12001	12001	12001	3	1	0	0	0	0	0	0
9018	∞Î”„»À	20026	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9019	ÃÏ√®	20027	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9020	–ﬁµ¿‘∫æ´¡È	20028	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58281	58282	58283	58281	58281	3	1	0	0	0	0	0	0
9021	 ØÕ∑»À	20029	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58291	58292	58293	12001	12001	3	1	0	0	0	0	0	0
9022	»À√Ê≈Æ ◊¡Ï	20030	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50302	12001	12001	12001	3	1	0	0	0	0	0	0
9023	µæ≤›»À	20031	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9024	∞Î”„»À	20032	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9025	Ã¯‘Èƒ–	20033	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9026	π≈¡È	20034	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50342	12001	12001	12001	3	1	0	0	0	0	0	0
9027	¿«»ÀÕı◊”	20035	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58351	58352	58353	12001	12001	3	1	0	0	0	0	0	0
9028	»ˆµ©	20036	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	58361	58362	12001	12001	12001	3	1	0	0	0	0	0	0
9029	·˜¡‘∞Î”„»À	20037	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
9030	À¿–Ã÷¥––’ﬂ	20038	1	100	0	0	100	100	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50382	12001	12001	12001	3	1	0	0	0	0	0	0
9031	˜º˜√π≠º˝ ÷	20054	1	1288	0	0	100	100	10000	1000	100	200	500	2	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	50541	50542	50541	50541	50541	5	1	0	0	0	0	0	0
//°æ≥ËŒÔ≥¬¡– “°ø	0	0	0	0	0	0	100	0	0	0	0	0	500	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0
8001	ƒÒ»À	30001	1	100	0	0	100	300	10000	500	100	200	500	1	1	0	0	2000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	3	1	0	0	0	0	0	0
//°æπÿø®π÷ŒÔ°ø	0	0	0	0	0	0	100	0	0	0	0	0	500	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	1	0	0	0	0	0	12000	0	0	0	0	0	0	0	0	0	0
10021	–°∫¸¿Í	20039	1	360	0	0	100	1	10000	500	100	100	1000	34	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50392	12001	12001	12001	5	1	0	0	0	0	0	0
10022	µæ≤›»À	20031	1	360	0	0	100	1	10000	1000	100	100	10000	34	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50312	12001	12001	12001	5	1	0	0	0	0	0	0
10023	˜»ƒß	20055	1	2831	0	0	80	1	10000	1000	100	100	10000	45	1	0	0	1000	2	0	10	9	0	0	0	1000	0	180	0	1	1	5	15	12001	50552	12001	12001	12001	7	1	0	0	0	0	0	0
10024	Ú·ÚÊ»À	20014	1	800	0	0	80	1	10000	1000	300	100	10000	40	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50142	12001	12001	12001	7	1	0	0	0	0	0	0
10031	æÁ∂æ ı ø	20033	2	2861	0	0	100	1	10000	1000	200	100	10000	50	1	0	0	1000	2	0	10	9	0	0	0	1000	0	180	0	1	1	1	3	12001	50332	12001	12001	12001	7	1	0	0	0	0	0	0
10032	æﬁƒß¿«	20082	2	1400	0	0	100	1	10000	1000	100	100	10000	36	1	0	0	1000	2	0	0	9	0	0	0	1000	0	180	0	1	1	1	3	12001	12001	12001	12001	12001	11	1	0	0	0	0	0	0
10033	 µ—È»À≈º	20057	2	600	0	0	100	1	10000	1000	80	100	10000	36	1	0	0	1000	0	0	0	9	0	0	0	1000	0	180	0	1	1	1	3	12001	50572	12001	12001	12001	5	1	0	0	0	0	0	0
10041	∑ΩøÈ ÿŒ¿	20002	3	630	0	0	100	1	10000	1000	100	100	10000	39	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
10042	∑ΩøÈ«πŒ¿	20065	3	630	0	0	100	1	10000	1000	100	100	10000	39	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50652	12001	12001	12001	5	1	0	0	0	0	0	0
10043	÷– ¿ºÕ∏´Õ∑±¯	20022	3	2906	0	0	100	1	10000	1000	100	100	10000	60	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50222	12001	12001	12001	7	1	0	0	0	0	0	0
10051	∫Ï–ƒ∆Ô ø	20002	4	650	0	0	100	1	10000	1000	100	100	10000	44	1	0	0	1000	0	0	0	9	0	0	0	1000	0	180	0	1	1	1	3	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
10052	≈Æ∑® ¶	20011	4	650	0	0	100	1	10000	1000	100	100	10000	44	1	0	0	1000	0	0	0	9	0	0	0	1000	0	180	0	1	1	1	3	50111	50111	12001	12001	12001	5	1	0	0	0	0	0	0
10053	ø¥√≈»À	20065	4	650	0	0	100	1	10000	1000	100	100	10000	44	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50652	12001	12001	12001	5	1	0	0	0	0	0	0
10054	∂¿—€ Øπ÷	20029	4	2966	0	0	70	1	10000	1000	100	100	10000	80	1	0	0	1000	2	0	10	9	0	0	0	1000	0	0	0	1	1	1	3	12001	58293	58292	12001	12001	7	1	0	0	0	0	0	0
10061	∑ΩøÈ ÿŒ¿	20002	5	1013	0	0	100	1	10000	1000	100	100	10000	49	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
10062	∑ΩøÈ«πŒ¿	20065	5	1013	0	0	100	1	10000	1000	100	100	10000	49	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50652	12001	12001	12001	5	1	0	0	0	0	0	0
10063	≈Æπ≠º˝ ÷	20051	5	1013	0	0	100	1	10000	1000	100	100	10000	24	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	50511	50512	50511	50511	50511	5	1	0	0	0	0	0	0
10064	∫ÏÃ“ª ∫Û	20028	5	3043	0	0	70	1	10000	1000	100	100	10000	100	1	0	0	1000	2	0	10	9	0	0	0	1000	0	0	0	1	1	1	3	58281	58283	58282	58281	58281	7	1	0	0	0	0	0	0
10071	∑ΩøÈ ÿŒ¿	20002	6	1083	0	0	100	1	10000	1000	100	100	10000	77	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
10072	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	6	1083	0	0	100	1	10000	1000	100	100	10000	77	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50142	12001	12001	12001	5	1	0	0	0	0	0	0
10073	∫⁄∞µµÿ ﬁ	20075	6	3251	0	0	100	1	10000	1000	100	100	10000	116	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50752	12001	12001	12001	7	1	0	0	0	0	0	0
10081	∑ΩøÈ«πŒ¿	20065	7	1128	0	0	60	1	10000	1000	100	100	10000	79	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	1	3	12001	50652	12001	12001	12001	5	1	0	0	0	0	0	0
10082	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	7	1128	0	0	60	1	10000	1000	100	100	10000	79	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50142	12001	12001	12001	5	1	0	0	0	0	0	0
10083	Ú·ÚÊ»À≥§«π±¯	20016	7	3386	0	0	60	1	10000	1000	100	100	10000	120	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50162	12001	12001	12001	7	1	0	0	0	0	0	0
10091	Œ¸—™πÌ ØœÒ	20070	8	1178	0	0	60	1	10000	1000	100	100	10000	82	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50702	12001	12001	12001	5	1	0	0	0	0	0	0
10092	Ú·ÚÊ»Àπ≠º˝ ÷	20067	8	1178	0	0	60	1	10000	1000	100	100	10000	41	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	50541	50672	12001	12001	12001	5	1	0	0	0	0	0	0
10093	Ú·ÚÊ»À≥§«π	20016	8	3536	0	0	60	1	10000	1000	100	100	10000	125	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50162	12001	12001	12001	7	1	0	0	0	0	0	0
10101	Ú·ÚÊ»À≥§«π	20016	9	1233	0	0	100	1	10000	1000	100	100	10000	86	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	12001	12001	12001	12001	5	1	0	0	0	0	0	0
10102	Ú·ÚÊ»Àπ≠º˝±¯	20067	9	1233	0	0	100	1	10000	1000	100	100	10000	43	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	50541	50672	12001	12001	12001	5	1	0	0	0	0	0	0
10103	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	9	3701	0	0	100	1	10000	1000	100	100	10000	130	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50142	12001	12001	12001	7	1	0	0	0	0	0	0
10111	Ú·ÚÊ»À≥§«π	20016	10	1293	0	0	100	1	10000	1000	100	100	10000	90	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50162	12001	12001	12001	5	1	0	0	0	0	0	0
10112	Ú·ÚÊ»Àπ≠º˝±¯	20067	10	1293	0	0	100	1	10000	1000	100	100	10000	45	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	50541	50672	12001	12001	12001	5	1	0	0	0	0	0	0
10113	Œ¸—™πÌ ØœÒ	20070	10	3881	0	0	100	1	10000	1000	100	100	10000	136	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50702	12001	12001	12001	101	1	0	0	0	0	0	0
10121	¡È∫¸	20039	11	1358	0	0	60	1	10000	1000	100	100	10000	94	1	0	0	1000	0	0	0	9	0	0	0	1000	0	180	0	1	1	1	3	12001	50392	12001	12001	12001	5	1	0	0	0	0	0	0
10122	˜º˜√π≠º˝ ÷	20054	11	1358	0	0	60	1	10000	1000	100	100	10000	47	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	50541	50542	50541	50541	50541	5	1	0	0	0	0	0	0
10123	˜º˜√µ∂∂‹’Ω ø	20066	11	4076	0	0	60	1	10000	1000	100	100	10000	142	1	0	0	1000	2	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50662	12001	12001	12001	7	1	0	0	0	0	0	0
10131	 ÿŒ¿	20002	12	1428	0	0	60	1	10000	1000	100	100	10000	98	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50022	12001	12001	12001	5	1	0	0	0	0	0	0
10132	œ¨≈£æ´	20043	12	1428	0	0	60	1	10000	1000	100	100	10000	98	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50432	12001	12001	12001	5	1	0	0	0	0	0	0
10133	–ﬁµ¿‘∫æ´¡È	20028	12	4286	0	0	60	1	10000	1000	100	100	10000	149	1	0	0	1000	2	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	58281	58282	58283	58281	58281	7	1	0	0	0	0	0	0
10141	Œ¸—™πÌ ØœÒ	20070	13	1503	0	0	60	1	10000	1000	100	100	10000	103	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50702	12001	12001	12001	5	1	0	0	0	0	0	0
10142	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	13	1503	0	0	60	1	10000	1000	100	100	10000	103	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50142	12001	12001	12001	5	1	0	0	0	0	0	0
10143	…≥ƒÆ¿«Õı	20024	13	4511	0	0	60	1	10000	1000	100	100	10000	157	1	0	0	1000	0	0	10	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50242	12001	12001	12001	7	1	0	0	0	0	0	0
10151	Ú·ÚÊ»Àµ∂∂‹’Ω ø	20014	14	1583	0	0	100	1	10000	1000	100	100	10000	109	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50142	12001	12001	12001	5	1	0	0	0	0	0	0
10152	Ú·ÚÊ»À≥§«π	20016	14	1583	0	0	100	1	10000	1000	100	100	10000	109	1	0	0	1000	0	0	0	9	0	0	0	1000	0	0	0	1	1	5	15	12001	50162	12001	12001	12001	5	1	0	0	0	0	0	0
